Depth,TVD,DX,DY,RT,RXO,SH,POR,SW,PERM,ACN,DENN,CNLN,GRN
4557.25,4551.236,117.864,-35.625,58.376,55.457,4.206,2.101,35.613,0.109,58.471,2.68,3.558,35.716
4557.375,4551.355,117.883,-35.594,61.894,58.8,5.209,1.442,55.943,0.069,57.274,2.702,3.208,38.092
4557.5,4551.476,117.902,-35.564,71.254,67.691,5.06,0.853,99.99,0.036,55.739,2.721,2.729,37.744
4557.625,4551.595,117.92,-35.533,81.254,77.191,4.386,0.77,99.99,0.032,54.815,2.724,2.465,36.146
4557.75,4551.715,117.939,-35.503,136.835,129.993,2.533,1.042,54.392,0.046,54.815,2.712,1.999,31.603
4557.875,4551.834,117.958,-35.472,196.469,186.645,1.765,1.27,45.684,0.059,53.814,2.699,1.805,29.653
4558,4551.955,117.977,-35.442,390.772,371.233,0.979,1.765,34.179,0.088,52.354,2.666,1.528,27.609
4558.125,4552.074,117.996,-35.411,662.168,629.059,0.7,2.335,26.714,0.124,51.441,2.639,1.514,26.873
4558.25,4552.194,118.015,-35.381,810.694,770.159,0.534,2.801,22.758,0.155,51.108,2.632,1.597,26.434
4558.375,4552.313,118.034,-35.35,1014.27,963.557,0.182,2.7,23.506,0.148,51.293,2.636,1.741,25.491
4558.5,4552.433,118.053,-35.32,918.453,872.531,0.18,2.23,27.821,0.117,51.293,2.661,1.714,25.486
4558.625,4552.553,118.072,-35.289,761.983,723.883,0.356,1.973,30.993,0.101,51.315,2.676,1.701,25.957
4558.75,4552.672,118.091,-35.258,419.001,398.051,0.789,1.649,36.286,0.081,51.441,2.698,1.85,27.109
4558.875,4552.792,118.11,-35.228,242.851,230.708,0.777,1.647,36.329,0.081,52.064,2.703,2.201,27.077
4559,4552.912,118.129,-35.197,217.155,206.297,0.497,1.865,32.568,0.094,52.655,2.703,2.381,26.335
4559.125,4553.031,118.149,-35.166,216.47,205.647,0.01,2.164,28.558,0.113,52.655,2.705,2.624,23.937
4559.25,4553.151,118.168,-35.135,260.167,247.158,0.01,2.128,28.994,0.111,52.689,2.708,2.621,21.596
4559.375,4553.271,118.187,-35.104,292.035,277.434,0.01,2.078,29.605,0.108,51.85,2.708,2.559,20.865
4559.5,4553.39,118.206,-35.074,347.466,330.093,0.01,2.206,28.085,0.116,51.142,2.696,2.547,20.808
4559.625,4553.51,118.226,-35.043,365.356,347.089,0.01,2.421,25.879,0.13,50.952,2.685,2.657,21.448
4559.75,4553.629,118.245,-35.012,398.354,378.436,0.01,3.314,19.625,0.191,51.004,2.657,2.962,23.525
4559.875,4553.749,118.264,-34.981,449.857,427.364,0.367,4.4,15.285,0.27,51.004,2.627,3.088,25.988
4560,4553.869,118.284,-34.95,469.249,445.787,0.837,4.714,14.386,0.294,51.05,2.615,3.107,27.235
4560.125,4553.988,118.303,-34.919,441.868,419.775,1.704,5.021,13.608,0.317,51.26,2.604,3.281,29.496
4560.25,4554.107,118.323,-34.888,326.379,310.06,2.255,5.064,13.505,0.32,51.661,2.611,3.642,30.903
4560.375,4554.227,118.342,-34.857,262.994,249.844,2.422,4.939,13.806,0.311,52.523,2.62,3.813,31.324
4560.5,4554.347,118.362,-34.826,175.044,166.292,2.663,4.521,14.924,0.279,52.523,2.641,4.068,31.931
4560.625,4554.466,118.381,-34.795,138.235,131.323,2.606,4.127,16.174,0.249,53.273,2.664,4.244,31.788
4560.75,4554.585,118.401,-34.764,130.102,123.597,2.377,3.938,16.855,0.236,53.707,2.674,4.261,31.211
4560.875,4554.705,118.42,-34.732,127.252,120.89,1.713,3.26,19.91,0.187,53.53,2.692,4.008,29.518
4561,4554.824,118.44,-34.701,129.702,123.217,1.46,2.761,23.048,0.153,53.669,2.699,3.756,28.865
4561.125,4554.944,118.46,-34.67,132.013,125.412,1.367,2.32,26.867,0.123,53.448,2.705,3.261,28.624
4561.25,4555.063,118.479,-34.639,129.391,122.922,1.768,2.106,29.253,0.11,53.448,2.7,3.054,29.66
4561.375,4555.183,118.499,-34.608,129.393,122.923,2.101,2.065,29.766,0.107,53.329,2.695,3.04,30.512
4561.5,4555.302,118.519,-34.576,135.52,128.744,2.776,2.425,25.84,0.13,52.752,2.679,3.024,32.212
4561.625,4555.421,118.539,-34.545,158.771,150.832,2.874,2.613,24.189,0.143,52.226,2.667,2.975,32.457
4561.75,4555.541,118.558,-34.514,185.31,176.044,2.671,2.894,22.113,0.162,51.76,2.665,2.956,31.95
4561.875,4555.66,118.578,-34.482,265.066,251.812,2.31,3.088,20.885,0.175,51.76,2.669,2.94,31.042
4562,4555.78,118.598,-34.451,324.762,308.523,2.307,3.024,21.27,0.17,51.515,2.677,2.909,31.034
4562.125,4555.899,118.618,-34.42,329.374,312.906,2.326,2.99,21.487,0.168,50.999,2.676,2.863,31.081
4562.25,4556.018,118.638,-34.388,304.847,289.605,2.324,2.994,21.461,0.168,50.745,2.659,2.655,31.077
4562.375,4556.138,118.658,-34.357,294.156,279.448,2.55,3.104,20.787,0.176,50.65,2.629,2.374,31.646
4562.5,4556.257,118.678,-34.325,307.894,292.499,2.775,3.176,20.372,0.181,50.817,2.618,2.302,32.21
4562.625,4556.376,118.698,-34.294,404.07,383.866,3.218,3.23,20.072,0.185,50.817,2.62,2.389,33.309
4562.75,4556.496,118.718,-34.262,503.35,478.182,3.287,3.181,20.344,0.181,50.753,2.632,2.488,33.479
4562.875,4556.615,118.738,-34.23,772.624,733.993,2.989,2.823,22.601,0.157,50.724,2.666,2.539,32.743
4563,4556.734,118.758,-34.199,988.641,939.208,2.343,2.253,27.571,0.119,50.3,2.693,2.269,31.126
4563.125,4556.853,118.778,-34.167,1047.757,856.266,2.059,1.963,31.119,0.1,49.886,2.7,2.074,30.405
4563.25,4556.972,118.799,-34.136,1127.069,910.04,1.774,1.38,42.446,0.065,49.84,2.709,1.784,29.676
4563.375,4557.092,118.819,-34.104,1177.643,953.787,1.735,1.321,44.121,0.062,49.84,2.716,1.817,29.575
4563.5,4557.211,118.839,-34.072,1153.607,948.939,1.731,1.429,41.174,0.068,50.483,2.719,1.955,29.566
4563.625,4557.33,118.859,-34.04,976.21,837.458,1.892,1.953,31.26,0.1,50.688,2.716,2.253,29.977
4563.75,4557.449,118.88,-34.009,769.085,673.142,2.317,2.015,30.417,0.104,50.544,2.696,2.157,31.059
4563.875,4557.568,118.9,-33.977,710.253,617.479,2.52,1.641,36.456,0.081,49.973,2.683,1.889,31.572
4564,4557.688,118.92,-33.945,746.242,607.601,2.672,1.088,52.337,0.049,49.973,2.664,1.171,31.952
4564.125,4557.807,118.941,-33.913,1668.085,869.366,2.486,0.817,67.395,0.034,49.58,2.659,0.788,31.485
4564.25,4557.926,118.961,-33.881,3636.475,1192.777,2.351,0.908,61.399,0.039,49.575,2.66,0.832,31.145
4564.375,4558.045,118.982,-33.849,14912.101,2268.413,2.094,1.403,41.843,0.067,49.261,2.662,1.195,30.494
4564.5,4558.164,119.002,-33.818,24675.271,2909.199,1.923,1.87,32.481,0.095,48.939,2.663,1.353,30.058
4564.625,4558.283,119.023,-33.786,48978.5,3945.642,1.492,1.942,31.416,0.099,48.878,2.668,1.337,28.947
4564.75,4558.402,119.043,-33.754,71422.063,4413.351,1.107,1.224,47.193,0.056,48.878,2.68,0.978,27.945
4564.875,4558.521,119.064,-33.722,78470.313,4535.622,0.985,0.993,56.736,0.044,49.234,2.685,0.813,27.626
4565,4558.64,119.085,-33.69,80833.102,4887.264,0.917,0.959,58.479,0.042,49.421,2.685,0.762,27.446
4565.125,4558.759,119.105,-33.657,70907.391,5436.211,0.715,1.897,32.085,0.096,49.49,2.672,1.124,26.913
4565.25,4558.878,119.126,-33.625,63560.266,5646.01,0.417,2.481,25.325,0.134,49.23,2.662,1.361,26.122
4565.375,4558.998,119.147,-33.593,46923.734,5555.102,0.01,3.005,21.391,0.169,49.23,2.646,1.588,23.874
4565.5,4559.116,119.167,-33.561,28764.961,4686.608,0.01,2.706,23.458,0.149,48.683,2.639,1.296,22.768
4565.625,4559.235,119.188,-33.529,20673.676,4130.455,0.01,2.107,29.24,0.11,48.433,2.64,1.051,23.335
4565.75,4559.354,119.209,-33.497,10473.106,3317.281,0.478,1.594,37.392,0.078,48.364,2.65,0.71,26.285
4565.875,4559.473,119.23,-33.465,8285.771,3175.47,1.085,1.316,44.266,0.062,48.455,2.655,0.701,27.888
4566,4559.592,119.251,-33.432,7430.3,3294.163,1.787,1.247,46.416,0.058,48.457,2.666,1.015,29.709
4566.125,4559.711,119.272,-33.4,11583.383,3598.617,1.472,2.16,28.613,0.113,48.457,2.675,1.598,28.897
4566.25,4559.83,119.293,-33.368,16239.561,3796.068,0.955,2.665,23.775,0.146,48.612,2.679,1.889,27.547
4566.375,4559.949,119.313,-33.335,28342.18,4403.227,0.01,3.086,20.894,0.175,48.91,2.685,2.243,24.084
4566.5,4560.068,119.334,-33.303,35497.918,5184.433,0.01,3.078,20.942,0.174,49.181,2.682,2.167,21.314
4566.625,4560.187,119.356,-33.271,34884.414,5489.602,0.01,2.986,21.509,0.168,49.364,2.677,2.019,20.489
4566.75,4560.306,119.377,-33.238,27831.918,5883.557,0.01,2.825,22.586,0.157,49.364,2.663,1.69,20.238
4566.875,4560.424,119.398,-33.206,21395.084,6370.252,0.01,2.704,23.47,0.149,49.432,2.65,1.404,21.558
4567,4560.543,119.419,-33.173,20044.707,6661.431,0.01,2.586,24.411,0.141,49.212,2.647,1.268,22.438
4567.125,4560.662,119.44,-33.141,20361.873,7001.167,0.01,2.046,30.017,0.106,48.807,2.646,1.019,23.53
4567.25,4560.781,119.461,-33.108,24684.822,6935.204,0.01,1.909,31.899,0.097,48.25,2.652,0.99,23.188
4567.375,4560.9,119.482,-33.076,29024.143,6930.072,0.01,2.051,29.951,0.106,47.764,2.655,1.153,22.87
4567.5,4561.019,119.504,-33.043,41093.602,7238.346,0.01,2.809,22.697,0.156,47.764,2.66,1.606,22.667
4567.625,4561.138,119.525,-33.011,48131.266,7475.895,0.01,2.75,23.124,0.152,47.425,2.662,1.587,22.545
4567.75,4561.256,119.546,-32.978,64175.758,8021.265,0.01,1.318,44.225,0.062,47.437,2.664,0.643,21.284
4567.875,4561.375,119.568,-32.945,81892.875,8667.682,0.01,0.068,99.99,0.002,47.873,2.666,-0.542,19.01
4568,4561.494,119.589,-32.913,89573.141,8980.545,0.01,0.01,99.99,0,48.459,2.667,-0.781,18
4568.125,4561.612,119.61,-32.88,98447.695,9363.607,0.01,0.015,99.99,0,48.459,2.669,-0.565,16.973
4568.25,4561.731,119.632,-32.847,99990,9424.415,0.01,0.364,99.99,0.013,48.971,2.669,-0.131,16.803
4568.375,4561.85,119.653,-32.815,99990,9468.096,0.01,0.468,99.99,0.017,49.419,2.668,-0.016,16.631
4568.5,4561.969,119.675,-32.782,99990,9777.436,0.01,0.499,99.99,0.019,49.918,2.664,-0.034,16.171
4568.625,4562.087,119.696,-32.749,99990,10219.607,0.01,0.412,99.99,0.015,50.861,2.66,-0.199,16.433
4568.75,4562.206,119.718,-32.716,99990,10336.117,0.01,0.405,99.99,0.015,51.477,2.657,-0.251,17.12
4568.875,4562.325,119.739,-32.683,99990,10051.025,0.01,0.411,99.99,0.015,51.477,2.653,-0.301,19.348
4569,4562.443,119.761,-32.65,99990,9716.474,0.01,0.389,99.99,0.014,51.332,2.65,-0.371,20.382
4569.125,4562.562,119.783,-32.618,99990,9199.399,0.01,0.207,99.99,0.006,51.336,2.644,-0.683,21.343
4569.25,4562.681,119.804,-32.585,99990,9303.482,0.01,0.07,99.99,0.002,51.083,2.638,-0.939,20.786
4569.375,4562.799,119.826,-32.552,99990,9504.477,0.01,0.121,99.99,0.003,51.213,2.636,-0.905,20.253
4569.5,4562.917,119.848,-32.519,99990,9768.896,0.01,0.447,99.99,0.016,51.063,2.636,-0.499,19.282
4569.625,4563.036,119.87,-32.486,99470.945,9650.684,0.01,0.924,60.46,0.04,51.063,2.64,-0.055,18.601
4569.75,4563.155,119.891,-32.453,97972.023,9471.486,0.01,0.965,58.184,0.042,50.947,2.643,0.025,18.461
4569.875,4563.273,119.913,-32.42,89245.883,9034.41,0.01,0.69,78.19,0.028,50.646,2.651,-0.094,18.63
4570,4563.392,119.935,-32.387,74440.18,8765.56,0.01,0.387,99.99,0.014,50.15,2.658,-0.259,19.022
4570.125,4563.51,119.957,-32.353,67644.625,8737.969,0.01,0.336,99.99,0.012,50.127,2.662,-0.266,19.251
4570.25,4563.629,119.979,-32.32,61084.168,8760.463,0.01,0.416,99.99,0.015,50.127,2.664,-0.137,19.841
4570.375,4563.748,120.001,-32.287,66256.484,8732.899,0.01,0.645,82.968,0.026,50.394,2.661,0.013,20.748
4570.5,4563.866,120.023,-32.254,72259.891,8702.308,0.01,0.71,76.223,0.029,50.548,2.657,0.013,21.21
4570.625,4563.984,120.045,-32.221,86411.461,8715.285,0.01,0.652,82.204,0.026,50.584,2.643,-0.238,21.782
4570.75,4564.103,120.067,-32.188,92389.516,8783.815,0.01,0.497,99.99,0.019,50.485,2.634,-0.465,21.93
4570.875,4564.221,120.089,-32.154,98867.852,9021.188,0.01,0.3,99.99,0.01,50.113,2.62,-0.91,22.252
4571,4564.34,120.111,-32.121,99974.797,9249.046,0.01,0.188,99.99,0.006,50.113,2.62,-1.05,22.364
4571.125,4564.458,120.133,-32.088,99990,9355.837,0.01,0.162,99.99,0.005,49.569,2.628,-0.968,22.117
4571.25,4564.577,120.156,-32.054,99990,9729.634,0.01,0.122,99.99,0.003,49.475,2.656,-0.617,20.841
4571.375,4564.695,120.178,-32.021,99707.641,10430.396,0.01,0.139,99.99,0.004,49.797,2.68,-0.254,19.77
4571.5,4564.813,120.2,-31.988,98171.102,10770.721,0.01,0.173,99.99,0.005,50.098,2.685,-0.14,19.962
4571.625,4564.932,120.222,-31.954,86427.766,10956.271,0.01,0.284,99.99,0.009,50.098,2.675,-0.144,21.845
4571.75,4565.05,120.245,-31.921,62243.516,10236.018,0.01,0.267,99.99,0.009,50.577,2.655,-0.451,24.121
4571.875,4565.168,120.267,-31.887,49220.629,9654.182,0.01,0.219,99.99,0.007,50.753,2.647,-0.625,24.881
4572,4565.287,120.29,-31.854,31142.523,8561.372,0.152,0.156,99.99,0.005,50.8,2.641,-0.744,25.409
4572.125,4565.405,120.312,-31.82,27491.051,8213.907,0.082,0.224,99.99,0.007,50.554,2.643,-0.653,25.222
4572.25,4565.523,120.334,-31.787,28933.574,8030.149,0.01,0.382,99.99,0.014,49.962,2.651,-0.366,24.165
4572.375,4565.642,120.357,-31.753,40524.016,8337.46,0.01,0.299,99.99,0.01,49.962,2.662,-0.311,22.474
4572.5,4565.76,120.379,-31.72,49657.617,8585.469,0.01,0.173,99.99,0.005,49.647,2.667,-0.397,21.555
4572.625,4565.878,120.402,-31.686,68884.57,9167.634,0.01,0.01,99.99,0,49.515,2.674,-0.536,20.304
4572.75,4565.997,120.425,-31.652,81209.016,9755.93,0.01,0.095,99.99,0.002,49.516,2.677,-0.351,20.444
4572.875,4566.115,120.447,-31.619,83168.242,9946.078,0.01,0.246,99.99,0.008,49.731,2.677,-0.163,20.88
4573,4566.233,120.47,-31.585,76814.367,9903.604,0.01,0.504,99.99,0.019,49.731,2.677,0.158,21.582
4573.125,4566.351,120.492,-31.551,57982.695,9342.952,0.01,0.772,70.799,0.032,49.779,2.671,0.26,21.597
4573.25,4566.469,120.515,-31.517,46797.184,8967.949,0.01,0.858,64.501,0.037,50.209,2.666,0.267,21.515
4573.375,4566.587,120.538,-31.484,28781.053,8226.157,0.01,1.098,51.933,0.049,50.338,2.651,0.267,21.545
4573.5,4566.706,120.561,-31.45,19903.457,7574.848,0.01,1.255,46.169,0.058,51.037,2.635,0.181,21.773
4573.625,4566.824,120.583,-31.416,17574.148,7294.424,0.01,1.226,47.133,0.056,51.094,2.631,0.103,21.911
4573.75,4566.942,120.606,-31.382,15010.842,6893.677,0.01,1.1,51.828,0.049,51.094,2.631,0.002,22.159
4573.875,4567.06,120.629,-31.348,14593.576,6791.87,0.01,1.072,53.045,0.048,51.459,2.634,0.022,22.196
4574,4567.178,120.652,-31.314,14737.576,6764.213,0.01,1.124,50.889,0.051,51.377,2.642,0.181,22.097
4574.125,4567.296,120.675,-31.28,15006.287,6810.046,0.01,1.342,43.51,0.063,51.021,2.642,0.367,22.591
4574.25,4567.415,120.698,-31.247,14827.549,6793.563,0.01,1.472,40.111,0.071,50.857,2.639,0.435,23.193
4574.375,4567.533,120.721,-31.213,13571.986,6691.387,0.01,1.671,35.871,0.082,50.544,2.632,0.506,24.612
4574.5,4567.65,120.744,-31.179,11714.412,6595.698,0.228,1.997,30.66,0.103,50.544,2.631,0.52,25.615
4574.625,4567.769,120.767,-31.145,10927.067,6544.823,0.336,1.909,31.9,0.097,50.81,2.635,0.515,25.904
4574.75,4567.887,120.79,-31.11,10015.002,6394.051,0.537,1.388,42.252,0.066,50.83,2.647,0.471,26.44
4574.875,4568.005,120.813,-31.076,10049.702,6258.49,0.638,1.06,53.566,0.047,51.078,2.659,0.389,26.709
4575,4568.123,120.836,-31.042,10424.209,6242.597,0.563,0.994,56.706,0.044,51.356,2.663,0.367,26.509
4575.125,4568.241,120.86,-31.008,11577.338,6343.984,0.141,1.053,53.884,0.047,51.356,2.669,0.424,25.38
4575.25,4568.359,120.883,-30.974,12095.442,6439.881,0.01,1.012,55.796,0.045,51.366,2.67,0.491,24.63
4575.375,4568.477,120.906,-30.94,12443.547,6635.876,0.01,1.166,49.26,0.053,51.17,2.669,0.605,23.616
4575.5,4568.595,120.929,-30.906,11761.168,6653.43,0.01,1.243,46.563,0.057,51.083,2.664,0.599,23.445
4575.625,4568.713,120.952,-30.872,11139.368,6544.899,0.01,1.243,46.563,0.057,50.895,2.661,0.558,23.441
4575.75,4568.831,120.976,-30.837,9566.45,6123.48,0.01,1.212,47.599,0.056,50.803,2.656,0.468,23.459
4575.875,4568.949,120.999,-30.803,7874.598,5604.853,0.01,1.223,47.235,0.056,50.803,2.654,0.459,23.989
4576,4569.067,121.022,-30.769,7101.475,5350.587,0.01,1.268,45.759,0.059,50.769,2.654,0.503,24.418
4576.125,4569.185,121.045,-30.735,5885.357,4883.794,0.01,1.419,41.428,0.068,50.719,2.655,0.658,24.991
4576.25,4569.303,121.068,-30.701,5261.359,4594.323,0.047,1.532,38.715,0.074,50.911,2.659,0.789,25.126
4576.375,4569.42,121.092,-30.667,5190.659,4572.81,0.084,1.553,38.269,0.075,50.87,2.661,0.812,25.227
4576.5,4569.539,121.115,-30.632,5504.257,4768.704,0.144,1.548,38.361,0.075,50.87,2.662,0.794,25.39
4576.625,4569.657,121.138,-30.598,6296.374,5104.971,0.061,1.525,38.869,0.074,50.676,2.661,0.788,25.164
4576.75,4569.774,121.161,-30.564,6735.976,5256.172,0.01,1.494,39.595,0.072,50.584,2.661,0.798,24.911
4576.875,4569.893,121.184,-30.53,7142.544,5378.789,0.01,1.427,41.227,0.068,50.832,2.664,0.781,24.438
4577,4570.01,121.208,-30.496,6909.142,5278.572,0.01,1.326,43.986,0.062,50.984,2.667,0.74,24.359
4577.125,4570.128,121.231,-30.461,5585.153,4208.023,0.01,1.064,53.367,0.047,50.723,2.674,0.647,24.798
4577.25,4570.247,121.254,-30.427,3923.642,3380.957,0.275,1.03,54.956,0.046,50.723,2.681,0.619,25.74
4577.375,4570.364,121.277,-30.393,3277.594,2995.231,0.394,0.975,57.677,0.043,50.447,2.683,0.621,26.06
4577.5,4570.482,121.3,-30.359,2457.07,2441.669,0.378,0.905,61.555,0.039,50.586,2.686,0.612,26.018
4577.625,4570.6,121.324,-30.324,2025.176,2108.451,0.201,0.878,63.208,0.038,50.904,2.688,0.636,25.542
4577.75,4570.718,121.347,-30.29,1865,1969.328,0.169,0.909,61.359,0.039,50.842,2.688,0.689,25.455
4577.875,4570.836,121.37,-30.256,1578.113,1690.591,0.404,1.099,51.868,0.049,50.842,2.687,0.843,26.085
4578,4570.954,121.393,-30.222,1343.869,1439.14,0.926,1.127,50.748,0.051,50.283,2.685,0.952,27.47
4578.125,4571.072,121.417,-30.187,1270.185,1351.39,1.103,1.098,51.912,0.049,50.001,2.684,0.963,27.936
4578.25,4571.19,121.44,-30.153,1237.972,1285.746,0.926,1.093,52.124,0.049,49.927,2.684,0.915,27.472
4578.375,4571.308,121.463,-30.119,1335.952,1345.909,0.204,1,56.368,0.044,50.138,2.685,0.793,25.551
4578.5,4571.426,121.486,-30.084,1420.018,1407.779,0.01,0.847,65.266,0.036,50.033,2.685,0.699,24.517
4578.625,4571.544,121.509,-30.05,1629.512,1562.999,0.01,0.662,81.074,0.027,50.033,2.685,0.469,22.818
4578.75,4571.662,121.533,-30.016,1725.195,1633.357,0.01,0.586,90.313,0.023,49.994,2.685,0.374,22.216
