采出方式,生产日期,生产时间_(H),套压(MPa)_关井,套压(MPa)_平均,油压(MPa)_关井,油压(MPa)_平均,井口温度,日产气量_(m^3),日产水量_(t),日产油量_(t),日放空气量_(m^3),月产气量_(m^3),月产水量_(t),月产油量_(t),月放空气量_(m^3),年产气量_(10^4m^3),年产水量_(10^4t),年产油量_(10^4t),年放空气量_(10^4m^3),累产气量_(10^8m^3),累产水量_(10^4t),累产油量_(10^4t),累放空气量_(10^8m^3),输压_(MPa),气举注气量_(m^3),备注
自喷,2013/6/1,24,,43.1,,62.79,,300903,2.2,,,300903,2.2,,,631.3095,0.0048,0,0,0.06313095,0.0048,0,0,4.8,,
自喷,2013/6/2,24,,42.85,,62.77,,306755,2.5,,,607658,4.7,,,661.985,0.00505,0,0,0.0661985,0.00505,0,0,4.8,,
自喷,2013/6/3,11.66,41.19,37.57,63.2,62.82,,94844,0.5,,,702502,5.2,,,671.4694,0.0051,0,0,0.06714694,0.0051,0,0,4.4,,3日8:30因磨47井倒换流程关井，套压42.743MPa，油压62.758MPa；20:50开井，套压34.789MPa，油压63.027MPa，针阀开度12/100.
自喷,2013/6/4,24,,39.84,,62.79,,215693,4.1,,,918195,9.3,,,693.0387,0.00551,0,0,0.06930387,0.00551,0,0,4.6,,4日天然气中硫化氢含量7.32g/m3 ，水中硫化氢含量375.20mg/L
自喷,2013/6/5,24,,40.81,,62.8,,228628,2.2,,,1146823,11.5,,,715.9015,0.00573,0,0,0.07159015,0.00573,0,0,4.7,,
自喷,2013/6/6,24,,40.6,,62.82,,209787,1.7,,,1356610,13.2,,,736.8802,0.0059,0,0,0.07368802,0.0059,0,0,4.6,,
自喷,2013/6/7,24,,40.71,,62.81,,217263,1.6,,,1573873,14.8,,,758.6065,0.00606,0,0,0.07586065,0.00606,0,0,4.5,,
自喷,2013/6/8,16.33,39.39,39.82,63.08,62.8,,153775,0.9,,,1727648,15.7,,,773.984,0.00615,0,0,0.0773984,0.00615,0,0,4.5,,8日17:00因磨47井倒换流程关井，套压41.233MPa，油压62.803MPa；0:40开井，套压35.636MPa，油压63.013MPa，针阀开度10/100.
自喷,2013/6/9,24,,41.54,,62.73,,253736,2.1,,,1981384,17.8,,,799.3576,0.00636,0,0,0.07993576,0.00636,0,0,4.4,,
自喷,2013/6/10,24,,42.57,,62.78,,265125,1.9,,,2246509,19.7,,,825.8701,0.00655,0,0,0.08258701,0.00655,0,0,4.5,,
自喷,2013/6/11,24,,43.14,,62.77,,278789,2.3,,,2525298,22,,,853.749,0.00678,0,0,0.0853749,0.00678,0,0,4.6,,
自喷,2013/6/12,24,,42.87,,62.79,,259319,1.9,,,2784617,23.9,,,879.6809,0.00697,0,0,0.08796809,0.00697,0,0,4.6,,12日11:55针阀开度由10/100调至8/100
自喷,2013/6/13,24,,42.99,,62.75,,280867,2.3,,,3065484,26.2,,,907.7676,0.0072,0,0,0.09077676,0.0072,0,0,4.8,,13日20:15针阀开度由8/100调至10/100
自喷,2013/6/14,14.5,43.95,43.88,62.72,62.72,,183968,1.3,,0,3249452,27.5,,0,926.1644,0.00733,0,0,0.09261644,0.00733,0,0,4.8,,14日22:30因磨47井倒换流程关井，套压43.946MPa，油压62.721MPa。
自喷,2013/6/15,0,36.03,36.03,63,63,,,,,,3249452,27.5,,0,926.1644,0.00733,0,0,0.09261644,0.00733,0,0,,,
自喷,2013/6/16,11.5,34.05,39.38,62.89,62.63,,140523,0.9,,,3389975,28.4,,0,940.2167,0.00742,0,0,0.09402167,0.00742,0,0,4.7,,16日20:30开井，针阀开度15/100
自喷,2013/6/17,24,,43.24,,62.67,,312168,2.3,,,3702143,30.7,,0,971.4335,0.00765,0,0,0.09714335,0.00765,0,0,4.9,,17日4:15针阀开度由15/100调至10/100
自喷,2013/6/18,24,,43.92,,62.72,,299381,2.5,,,4001524,33.2,,0,1001.3716,0.0079,0,0,0.10013716,0.0079,0,0,5,,
自喷,2013/6/19,24,,44.16,,62.71,,302193,2.3,,,4303717,35.5,,0,1031.5909,0.00813,0,0,0.10315909,0.00813,0,0,5,,
自喷,2013/6/20,20.08,44.35,44.31,62.71,62.71,,261984,2.1,,,4565701,37.6,,0,1057.7893,0.00834,0,0,0.10577893,0.00834,0,0,5,,20日4:05因9号阀门本体注脂孔压丝扣处漏关井
自喷,2013/6/21,18.67,38.44,42.28,62.95,62.66,,234054,1.4,,,4799755,39,,0,1081.1947,0.00848,0,0,0.10811947,0.00848,0,0,4.9,,21日13:20开井，针阀开度15/100
自喷,2013/6/22,24,,44.23,,62.68,,306394,2.6,,,5106149,41.6,,0,1111.8341,0.00874,0,0,0.11118341,0.00874,0,0,5,,
自喷,2013/6/23,24,,44.39,,62.69,,303748,2.3,,,5409897,43.9,,0,1142.2089,0.00897,0,0,0.11422089,0.00897,0,0,4.8,,
自喷,2013/6/24,24,,44.49,,62.68,,307695,2.3,,,5717592,46.2,,0,1172.9784,0.0092,0,0,0.11729784,0.0092,0,0,5,,
自喷,2013/6/25,24,,44.48,,62.68,,303671,2.3,,,6021263,48.5,,0,1203.3455,0.00943,0,0,0.12033455,0.00943,0,0,4.9,,本月5日～30日水样半分析氯根含量：1708mg/L～3412mg/L，PH值：6。 
自喷,2013/6/26,24,,44.63,,62.66,,314424,2.6,,,6335687,51.1,,0,1234.7879,0.00969,0,0,0.12347879,0.00969,0,0,5,,
自喷,2013/6/27,24,,44.49,,62.67,,305162,2.3,,,6640849,53.4,,0,1265.3041,0.00992,0,0,0.12653041,0.00992,0,0,5,,27日10:00针阀开度15/100调至10/100
自喷,2013/6/28,24,,44.62,,62.66,,310599,2.2,,,6951448,55.6,,0,1296.364,0.01014,0,0,0.1296364,0.01014,0,0,5,,
自喷,2013/6/29,24,,44.57,,62.66,,306037,2.5,,,7257485,58.1,,0,1326.9677,0.01039,0,0,0.13269677,0.01039,0,0,4.9,,29日9:00针阀开度10/100调至7/100
自喷,2013/6/30,24,,44.28,,62.66,,301634,2.5,,,7559119,60.6,,0,1357.1311,0.01064,0,0,0.13571311,0.01064,0,0,5,,
自喷,2013/7/1,24,,44.32,,62.64,,307719,2.6,,,307719,2.6,,,1387.903,0.0109,0,0,0.1387903,0.0109,0,0,4.8,,本月1日～31日水样半分析氯根含量：3412mg/L～1708mg/L，PH值：6。
自喷,2013/7/2,24,,44.3,,62.63,,310453,2.5,,,618172,5.1,,,1418.9483,0.01115,0,0,0.14189483,0.01115,0,0,4.9,,
自喷,2013/7/3,24,,44.15,,62.63,,307206,2.3,,,925378,7.4,,,1449.6689,0.01138,0,0,0.14496689,0.01138,0,0,5,,
自喷,2013/7/4,24,,42.04,,62.73,,216891,1.7,,,1142269,9.1,,,1471.358,0.01155,0,0,0.1471358,0.01155,0,0,4.6,,4日10:15针阀开度7/100调至5/100
自喷,2013/7/5,24,,44.45,,62.69,,220692,1.6,,,1362961,10.7,,,1493.4272,0.01171,0,0,0.14934272,0.01171,0,0,4.7,,
自喷,2013/7/6,24,,41.78,,62.7,,217982,1.8,,,1580943,12.5,,,1515.2254,0.01189,0,0,0.15152254,0.01189,0,0,4.7,,
自喷,2013/7/7,24,,41.72,,62.69,,202821,1.5,,,1783764,14,,,1535.5075,0.01204,0,0,0.15355075,0.01204,0,0,4.6,,
自喷,2013/7/8,24,,42.18,,62.68,,210767,1.8,,,1994531,15.8,,,1556.5842,0.01222,0,0,0.15565842,0.01222,0,0,4.7,,
自喷,2013/7/9,22.5,42.8,42.33,62.68,62.68,,198094,1.3,,,2192625,17.1,,,1576.3936,0.01235,0,0,0.15763936,0.01235,0,0,4.7,,"9日18:30因整改计量装置关井，关井套压42.802 MPa，油压 62.675MPa,20:00开井，开井套压40.573 MPa，油压 62.976MPa"
自喷,2013/7/10,18,41.02,40.74,62.84,62.66,,116326,0.2,,,2308951,17.3,,,1588.0262,0.01237,0,0,0.15880262,0.01237,0,0,4.4,,10日10:00因整改井口流程关井，关井套压42.568 MPa，油压 62.659MPa，16:00开井，开井套压38.120 MPa，油压 62.842MPa，针阀8/100
自喷,2013/7/11,24,,41.18,,62.45,,150542,1.5,,,2459493,18.8,,,1603.0804,0.01252,0,0,0.16030804,0.01252,0,0,4.3,,11日天然气中硫化氢含量7.78g/m3 ，水中硫化氢含量326.74mg/L，18:00针阀由8/100调至3/100 
自喷,2013/7/12,24,,43.05,,62.62,,205350,1.7,,,2664843,20.5,,,1623.6154,0.01269,0,0,0.16236154,0.01269,0,0,4.3,,
自喷,2013/7/13,24,,44.73,,62.68,,224638,1.8,,,2889481,22.3,,,1646.0792,0.01287,0,0,0.16460792,0.01287,0,0,4.4,,12日18:00针阀由3/100调至13/100
自喷,2013/7/14,24,,44.92,,62.69,,204489,1.7,,,3093970,24,,,1666.5281,0.01304,0,0,0.16665281,0.01304,0,0,4.4,,14日7:00针阀由13/100调至10/100
自喷,2013/7/15,24,,45.53,,62.68,,211734,1.7,,,3305704,25.7,,,1687.7015,0.01321,0,0,0.16877015,0.01321,0,0,4.5,,
自喷,2013/7/16,24,,46.64,,62.67,,227772,2.8,,,3533476,28.5,,,1710.4787,0.01349,0,0,0.17104787,0.01349,0,0,4.6,,
自喷,2013/7/17,24,,46.38,,62.68,,206067,1.7,,,3739543,30.2,,,1731.0854,0.01366,0,0,0.17310854,0.01366,0,0,4.5,,17日9:00针阀由10/100调至9/100
自喷,2013/7/18,24,,47,,62.67,,226272,1.8,,,3965815,32,,,1753.7126,0.01384,0,0,0.17537126,0.01384,0,0,4.6,,
自喷,2013/7/19,24,,46.81,,62.68,,209238,1.9,,,4175053,33.9,,,1774.6364,0.01403,0,0,0.17746364,0.01403,0,0,4.3,,19日19:00针阀由9/100调至7/100
自喷,2013/7/20,24,,46.96,,62.67,,212341,1.9,,,4387394,35.8,,,1795.8705,0.01422,0,0,0.17958705,0.01422,0,0,4.4,,20日17:10针阀由7/100调至5/100
自喷,2013/7/21,24,,47.1,,62.66,,210994,1.6,,,4598388,37.4,,,1816.9699,0.01438,0,0,0.18169699,0.01438,0,0,4.4,,21日11:00针阀由5/100调至3/100
自喷,2013/7/22,24,,46.78,,62.67,,175283,0.9,,,4773671,38.3,,,1834.4982,0.01447,0,0,0.18344982,0.01447,0,0,4.3,,22日23:10针阀由3/100调至1/100
自喷,2013/7/23,24,,43.66,,62.11,,94602,0,,,4868273,38.3,,,1843.9584,0.01447,0,0,0.18439584,0.01447,0,0,3.9,,
自喷,2013/7/24,24,,43.53,,61.82,,102626,0.7,,,4970899,39,,,1854.221,0.01454,0,0,0.1854221,0.01454,0,0,4,,
自喷,2013/7/25,24,,43.95,,61.89,,111112,1,,,5082011,40,,,1865.3322,0.01464,0,0,0.18653322,0.01464,0,0,4.1,,
自喷,2013/7/26,24,,44.95,,62.26,,139371,2.4,,,5221382,42.4,,,1879.2693,0.01488,0,0,0.18792693,0.01488,0,0,4.2,,26日15:00针阀由1/100调至2/100
自喷,2013/7/27,24,,46.15,,62.57,,161203,1.4,,,5382585,43.8,,,1895.3896,0.01502,0,0,0.18953896,0.01502,0,0,4.4,,
自喷,2013/7/28,24,,46.56,,62.56,,156677,1.2,,,5539262,45,,,1911.0573,0.01514,0,0,0.19110573,0.01514,0,0,4.4,,
自喷,2013/7/29,24,,46.59,,62.58,,153383,1.5,,,5692645,46.5,,,1926.3956,0.01529,0,0,0.19263956,0.01529,0,0,4.3,,
自喷,2013/7/30,24,,46.89,,62.61,,158052,1.3,,,5850697,47.8,,,1942.2008,0.01542,0,0,0.19422008,0.01542,0,0,4.4,,
自喷,2013/7/31,24,,50.07,,62.57,,275450,2.5,,,6126147,50.3,,,1969.7458,0.01567,0,0,0.19697458,0.01567,0,0,4.6,,
自喷,2013/8/1,24,,51.3,,62.58,,295633,1.7,,,295633,1.7,,,1999.3091,0.01584,0,0,0.19993091,0.01584,0,0,4.9,,本月1日～31日水样半分析氯根含量：3416mg/L～5124mg/L，PH值：6。
自喷,2013/8/2,24,,51.18,,62.59,,294679,2.9,,,590312,4.6,,,2028.777,0.01613,0,0,0.2028777,0.01613,0,0,4.7,,2日23:35针阀开度19/100调至23/100
自喷,2013/8/3,24,,50.2,,62.56,,304925,2.8,,,895237,7.4,,,2059.2695,0.01641,0,0,0.20592695,0.01641,0,0,5,,3日8:30针阀开度23/100调至20/100
自喷,2013/8/4,24,,49.6,,62.54,,313559,2.6,,,1208796,10,,,2090.6254,0.01667,0,0,0.20906254,0.01667,0,0,5,,
自喷,2013/8/5,24,,48.62,,62.55,,306438,2.5,,,1515234,12.5,,,2121.2692,0.01692,0,0,0.21212692,0.01692,0,0,5.1,,5日8:50针阀开度20/100调至19/100
自喷,2013/8/6,24,,47.67,,62.54,,308455,2.6,,,1823689,15.1,,,2152.1147,0.01718,0,0,0.21521147,0.01718,0,0,5,,本月1日～31日表层套管压力0MPa~0.3MPa，技术套管压力0MPa～20.0MPa
自喷,2013/8/7,24,,47.18,,62.55,,306165,2.3,,,2129854,17.4,,,2182.7312,0.01741,0,0,0.21827312,0.01741,0,0,4.9,,
自喷,2013/8/8,24,,47.04,,62.54,,306732,2.2,,,2436586,19.6,,,2213.4044,0.01763,0,0,0.22134044,0.01763,0,0,4.9,,
自喷,2013/8/9,24,,46.65,,62.58,,304891,2.3,,,2741477,21.9,,,2243.8935,0.01786,0,0,0.22438935,0.01786,0,0,4.9,,9日天然气中硫化氢含量7.97g/m3
自喷,2013/8/10,1,44.48,46.71,63.19,62.59,,15556,0.3,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,4.9,,10日9:00因关井测压，关井套压46.710MPa，油压62.592MPa
自喷,2013/8/11,0,37.99,37.99,63.08,63.08,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/12,0,37.28,37.28,62.88,62.88,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/13,0,37.6,37.6,62.94,62.94,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/14,0,38.05,38.05,62.97,62.97,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/15,0,38.56,38.56,62.99,62.99,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/16,0,39.09,39.09,63,63,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/17,0,39.63,39.63,62.8,62.8,,,,,,2757033,22.2,,,2245.4491,0.01789,0,0,0.22454491,0.01789,0,0,,,
自喷,2013/8/18,13.5,39.95,46.3,62.51,62.51,,149664,1,,,2906697,23.2,,,2260.4155,0.01799,0,0,0.22604155,0.01799,0,0,4.5,,18日18:30开井，开井套压39.947MPa，油压62.707MPa，针阀开度21/100
自喷,2013/8/19,24,,47.71,,62.59,,188424,1.3,,,3095121,24.5,,,2279.2579,0.01812,0,0,0.22792579,0.01812,0,0,4.2,,
自喷,2013/8/20,17.83,47.84,50.4,62.55,62.52,,216859,1.3,,,3311980,25.8,,,2300.9438,0.01825,0,0,0.23009438,0.01825,0,0,4.9,,20日10:50~17:00更换井口一级针阀关井，18:00针阀开度21/100调至25/100
自喷,2013/8/21,24,,53.14,,62.5,,346951,2.8,,,3658931,28.6,,,2335.6389,0.01853,0,0,0.23356389,0.01853,0,0,5,,
自喷,2013/8/22,24,,54.18,,62.5,,353890,2.6,,,4012821,31.2,,,2371.0279,0.01879,0,0,0.23710279,0.01879,0,0,4.9,,"22日10:00针阀开度25/100调至23/100 ,21:20针阀开度23/100调至13/100"
自喷,2013/8/23,24,,50.79,,62.62,,269136,1.7,,,4281957,32.9,,,2397.9415,0.01896,0,0,0.23979415,0.01896,0,0,4.8,,
自喷,2013/8/24,24,,50.51,,62.62,,225982,2.2,,,4507939,35.1,,,2420.5397,0.01918,0,0,0.24205397,0.01918,0,0,4.1,,
自喷,2013/8/25,24,,50.35,,62.65,,220952,1.6,,,4728891,36.7,,,2442.6349,0.01934,0,0,0.24426349,0.01934,0,0,4.1,,
自喷,2013/8/26,24,,52.21,,62.71,,319552,2.8,,,5048443,39.5,,,2474.5901,0.01962,0,0,0.24745901,0.01962,0,0,4.8,,26日11:00针阀开度13/100调至22/100
自喷,2013/8/27,24,,53.85,,62.47,,347103,2.4,,,5395546,41.9,,,2509.3004,0.01986,0,0,0.25093004,0.01986,0,0,4.7,,
自喷,2013/8/28,24,,53.62,,62.5,,347861,2.7,,,5743407,44.6,,,2544.0865,0.02013,0,0,0.25440865,0.02013,0,0,4.8,,
自喷,2013/8/29,24,,53.2,,62.48,,343942,2.4,,,6087349,47,,,2578.4807,0.02037,0,0,0.25784807,0.02037,0,0,4.7,,
自喷,2013/8/30,24,,52.74,,62.48,,344461,2.8,,,6431810,49.8,,,2612.9268,0.02065,0,0,0.26129268,0.02065,0,0,4.8,,
自喷,2013/8/31,24,,52.22,,62.48,,339997,3.2,,,6771807,53,,,2646.9265,0.02097,0,0,0.26469265,0.02097,0,0,4.7,,
自喷,2013/9/1,24,,51.79,,62.47,,342686,3.6,,,342686,3.6,,,2681.1951,0.02133,0,0,0.26811951,0.02133,0,0,4.7,,本月1日～31日水样半分析氯根含量：10241mg/L~13664mg/L，PH值：6。
自喷,2013/9/2,24,,51.19,,62.46,,342110,2.3,,,684796,5.9,,,2715.4061,0.02156,0,0,0.27154061,0.02156,0,0,4.7,,本月1日～31日表层套管压力0.2MPa~0.3MPa，技术套管压力2.3MPa～20.1MPa
自喷,2013/9/3,24,,50.07,,62.53,,309294,2.7,,,994090,8.6,,,2746.3355,0.02183,0,0,0.27463355,0.02183,0,0,4.6,,3日10:10针阀开度22/100调至20/100
自喷,2013/9/4,24,,49.45,,6.51,,311056,2.5,,,1305146,11.1,,,2777.4411,0.02208,0,0,0.27774411,0.02208,0,0,4.6,,
自喷,2013/9/5,24,,47.19,,62.62,,221728,1.4,,,1526874,12.5,,,2799.6139,0.02222,0,0,0.27996139,0.02222,0,0,4.3,,5日发现节流针阀刺大。
自喷,2013/9/6,24,,46.03,,62.6,,205848,1.5,,,1732722,14,,,2820.1987,0.02237,0,0,0.28201987,0.02237,0,0,4.2,,
自喷,2013/9/7,24,,45.22,,62.58,,193367,2.9,,,1926089,16.9,,,2839.5354,0.02266,0,0,0.28395354,0.02266,0,0,4,,
自喷,2013/9/8,24,,45.06,,62.58,,197182,1.8,,,2123271,18.7,,,2859.2536,0.02284,0,0,0.28592536,0.02284,0,0,4,,
自喷,2013/9/9,24,,45.12,,62.58,,202800,2,,,2326071,20.7,,,2879.5336,0.02304,0,0,0.28795336,0.02304,0,0,4.1,,
自喷,2013/9/10,24,,45.31,,62.58,,211136,2,,,2537207,22.7,,,2900.6472,0.02324,0,0,0.29006472,0.02324,0,0,4.2,,
自喷,2013/9/11,24,,45.5,,62.58,,217823,1,,,2755030,23.7,,,2922.4295,0.02334,0,0,0.29224295,0.02334,0,0,4.2,,
自喷,2013/9/12,24,,45.7,,62.58,,224978,2,,,2980008,25.7,,,2944.9273,0.02354,0,0,0.29449273,0.02354,0,0,4,,
自喷,2013/9/13,24,,45.76,,62.58,,226640,1.8,,,3206648,27.5,,,2967.5913,0.02372,0,0,0.29675913,0.02372,0,0,4.2,,
自喷,2013/9/14,24,,45.89,,62.58,,231760,2,,,3438408,29.5,,,2990.7673,0.02392,0,0,0.29907673,0.02392,0,0,4.3,,
自喷,2013/9/15,24,,46.1,,62.57,,237340,2.1,,,3675748,31.6,,,3014.5013,0.02413,0,0,0.30145013,0.02413,0,0,4.3,,
自喷,2013/9/16,24,,46.29,,62.57,,242585,2,,,3918333,33.6,,,3038.7598,0.02433,0,0,0.30387598,0.02433,0,0,4.4,,
自喷,2013/9/17,24,,46.45,,62.57,,246194,1.9,,,4164527,35.5,,,3063.3792,0.02452,0,0,0.30633792,0.02452,0,0,4.3,,
自喷,2013/9/18,24,,46.62,,62.57,,248726,1.7,,,4413253,37.2,,,3088.2518,0.02469,0,0,0.30882518,0.02469,0,0,4.4,,
自喷,2013/9/19,22.83,46.67,46.37,62.32,62.57,,232983,2,,,4646236,39.2,,,3111.5501,0.02489,0,0,0.31115501,0.02489,0,0,4.3,,19日23:00因整改井口测温套预留头漏点关井，关井套压46.786MPa，油压62.567MPa
自喷,2013/9/20,24,,46.43,,62.56,,249399,2,,,4895635,41.2,,,3136.49,0.02509,0,0,0.313649,0.02509,0,0,4.3,,20日0:10开井，开井套压44.537MPa，油压62.088MPa
自喷,2013/9/21,24,,46.99,,62.55,,265231,2.1,,,5160866,43.3,,,3163.0131,0.0253,0,0,0.31630131,0.0253,0,0,4.4,,
自喷,2013/9/22,24,,47.34,,62.55,,273951,1.9,,,5434817,45.2,,,3190.4082,0.02549,0,0,0.31904082,0.02549,0,0,4.4,,
自喷,2013/9/23,24,,47.51,,62.54,,277315,2.5,,,5712132,47.7,,,3218.1397,0.02574,0,0,0.32181397,0.02574,0,0,4.3,,
自喷,2013/9/24,24,,47.66,,62.54,,281275,2.2,,,5993407,49.9,,,3246.2672,0.02596,0,0,0.32462672,0.02596,0,0,4,,
自喷,2013/9/25,24,,47.75,,62.53,,284020,2.6,,,6277427,52.5,,,3274.6692,0.02622,0,0,0.32746692,0.02622,0,0,4.2,,
自喷,2013/9/26,24,,47.69,,62.53,,280679,2.3,,,6558106,54.8,,,3302.7371,0.02645,0,0,0.33027371,0.02645,0,0,4.4,,
自喷,2013/9/27,24,,47.68,,62.53,,260913,2.1,,,6819019,56.9,,,3328.8284,0.02666,0,0,0.33288284,0.02666,0,0,4.4,,
自喷,2013/9/28,24,,47.69,,62.53,,283639,2.5,,,7102658,59.4,,,3357.1923,0.02691,0,0,0.33571923,0.02691,0,0,4.4,,
自喷,2013/9/29,24,,47.68,,62.52,,284519,2.2,,,7387177,61.6,,,3385.6442,0.02713,0,0,0.33856442,0.02713,0,0,4.5,,
自喷,2013/9/30,24,,47.71,,62.52,,286487,2.3,,,7673664,63.9,,,3414.2929,0.02736,0,0,0.34142929,0.02736,0,0,4.4,,
自喷,2013/10/1,24,,47.78,,62.51,,286517,2.2,,,286517,2.2,,,3442.9446,0.02758,0,0,0.34429446,0.02758,0,0,4.3,,本月1日～31日水样半分析氯根含量：13664mg/L，PH值：6。
自喷,2013/10/2,24,,47.74,,62.52,,284705,2.2,,,571222,4.4,,,3471.4151,0.0278,0,0,0.34714151,0.0278,0,0,4.3,,
自喷,2013/10/3,24,,47.76,,62.51,,286428,2.2,,,857650,6.6,,,3500.0579,0.02802,0,0,0.35000579,0.02802,0,0,4.3,,
自喷,2013/10/4,24,,47.8,,62.5,,288595,2.3,,,1146245,8.9,,,3528.9174,0.02825,0,0,0.35289174,0.02825,0,0,4.4,,
自喷,2013/10/5,24,,47.85,,62.5,,290411,2.3,,,1436656,11.2,,,3557.9585,0.02848,0,0,0.35579585,0.02848,0,0,4.4,,
