Depth,TVD,DX,DY,GR,CAL,RT,RXO,SH,POR,SW,PERM,ACN,DENN,CNLN
4504.75,4501.042,106.831,-46.021,21.989,8.627,59306.148,8400.551,1.538,1.071,5.518,0.004,49.135,2.699,0.641
4504.875,4501.167,106.835,-46.022,22.264,8.624,83936.375,10426.434,1.603,1.069,4.755,0.005,48.97,2.715,0.622
4505,4501.292,106.839,-46.024,23.414,8.628,97882.938,11086.918,1.704,0.972,4.849,0.003,48.963,2.719,0.472
4505.125,4501.417,106.843,-46.026,24.247,8.636,99487.055,10484.068,1.911,0.865,5.343,0.002,48.746,2.72,0.29
4505.25,4501.542,106.847,-46.028,25.332,8.637,95855.063,8115.441,1.856,0.849,5.606,0.002,48.542,2.724,0.266
4505.375,4501.667,106.851,-46.03,23.989,8.633,78303.344,5883.108,1.643,1.01,5.288,0.004,48.542,2.727,0.475
4505.5,4501.792,106.855,-46.032,22.378,8.642,62679.098,4872.104,0.987,1.447,4.174,0.012,48.344,2.729,0.99
4505.625,4501.917,106.859,-46.033,19.041,8.652,32273.738,3460.638,0.548,1.79,4.561,0.024,48.192,2.718,1.29
4505.75,4502.042,106.863,-46.035,17.456,8.67,11585.267,2419.933,0.464,2.026,6.012,0.036,48.022,2.712,1.866
4505.875,4502.167,106.867,-46.037,17.898,8.661,7667.507,2108.956,0.528,2.115,7.812,0.042,47.968,2.706,2.032
4506,4502.292,106.871,-46.039,19.905,8.644,4823.093,1725.669,0.602,2.137,9.338,0.044,47.966,2.711,2.058
4506.125,4502.417,106.875,-46.041,20.329,8.606,4472.059,1667.411,0.56,1.948,10.94,0.032,48.188,2.718,1.795
4506.25,4502.542,106.879,-46.043,19.737,8.591,4942.593,1804.768,0.369,1.74,11.298,0.022,48.113,2.711,1.62
4506.375,4502.667,106.883,-46.044,19.007,8.584,8555.882,2368.953,0.347,1.474,10.576,0.013,48.151,2.697,1.307
4506.5,4502.792,106.887,-46.046,19.396,8.59,14198.556,2907.817,0.621,1.275,9.077,0.008,48.32,2.687,0.96
4506.625,4502.917,106.891,-46.048,21.429,8.592,36369.57,4326.077,1.122,1.184,6.454,0.006,48.584,2.673,0.789
4506.75,4503.042,106.895,-46.05,23.269,8.593,67960.273,5893.324,1.349,1.084,5.35,0.005,48.594,2.668,0.468
4506.875,4503.167,106.899,-46.051,23.495,8.593,77258.313,6302.16,1.525,1.054,5.044,0.004,48.99,2.669,0.376
4507,4503.292,106.903,-46.053,23.117,8.594,71772.125,6064.617,1.534,1.115,5.065,0.005,49.058,2.678,0.457
4507.125,4503.417,106.907,-46.055,22.611,8.598,42819.695,4728.848,1.515,1.271,5.43,0.008,49.134,2.682,0.876
4507.25,4503.542,106.911,-46.057,22.364,8.594,26775.949,3868.227,1.435,1.464,6.324,0.013,48.879,2.682,1.185
4507.375,4503.667,106.915,-46.058,21.712,8.585,9226.461,2557.386,1.267,1.831,7.871,0.027,48.887,2.678,1.709
4507.5,4503.792,106.919,-46.06,20.821,8.565,3317.517,1626.012,1.177,2.048,10.991,0.038,48.887,2.678,2.068
4507.625,4503.917,106.923,-46.062,20.643,8.566,2552.267,1356.326,1.098,2.18,13.198,0.047,48.826,2.679,2.155
4507.75,4504.042,106.927,-46.064,20.707,8.577,1845.4,1033.062,1.066,2.219,14.722,0.049,49.06,2.672,2.22
4507.875,4504.167,106.931,-46.065,21.256,8.61,1749.757,975.342,1.105,2.104,16.336,0.041,49.183,2.664,2.173
4508,4504.292,106.935,-46.067,21.97,8.627,1819.069,1005.722,1.398,1.847,18.213,0.028,49.18,2.644,2.095
4508.125,4504.417,106.939,-46.069,24.103,8.661,2240.941,1269.51,1.616,1.373,23.169,0.011,49.18,2.638,1.808
4508.25,4504.542,106.943,-46.071,25.265,8.744,2840.014,1564.729,1.972,0.819,30.579,0.002,48.89,2.64,1.339
4508.375,4504.667,106.947,-46.072,26.097,8.809,8625.92,2599.994,1.985,0.481,31.18,0,48.334,2.659,1.129
4508.5,4504.792,106.951,-46.074,25.063,8.951,30752.58,4535.029,1.897,0.35,26.15,0,47.958,2.674,0.858
4508.625,4504.917,106.955,-46.076,24.181,8.99,46816.285,5618.77,1.675,0.5,13.651,0,47.875,2.696,0.839
4508.75,4505.042,106.959,-46.077,22.138,8.965,80144.258,7517.368,1.438,0.644,8.27,0.001,47.765,2.695,0.883
4508.875,4505.167,106.963,-46.079,20.436,8.88,96515.336,8055.287,1.352,0.723,6.551,0.001,47.765,2.687,0.991
4509,4505.292,106.967,-46.081,19.868,8.816,99534.867,7880.625,1.302,0.761,6.061,0.001,47.752,2.675,1.031
4509.125,4505.417,106.971,-46.082,20.624,8.8,98506.547,7030.768,1.487,0.792,5.858,0.001,47.882,2.672,1.062
4509.25,4505.542,106.975,-46.084,22.843,8.777,94916.43,6457.569,1.577,0.865,5.522,0.002,48.157,2.67,1.131
4509.375,4505.667,106.979,-46.086,23.515,8.768,79229.773,5423.627,1.647,0.974,5.399,0.003,48.288,2.663,1.197
4509.5,4505.792,106.983,-46.087,23.23,8.757,54992.641,4554.587,1.561,1.235,4.936,0.007,48.293,2.67,1.388
4509.625,4505.917,106.986,-46.089,22.539,8.761,44622.027,4296.807,1.473,1.621,4.338,0.018,48.462,2.682,1.535
4509.75,4506.042,106.99,-46.091,21.105,8.768,29161.654,3916.896,1.354,2.031,4.097,0.038,48.804,2.708,1.586
4509.875,4506.167,106.994,-46.092,19.984,8.784,21304.385,3628.338,1.295,2.356,4.131,0.061,49.503,2.715,1.653
4510,4506.292,106.998,-46.094,19.281,8.796,18470.232,3516.242,1.084,2.551,4.168,0.079,49.989,2.71,1.822
4510.125,4506.417,107.002,-46.095,18.385,8.8,16459.402,3498.264,0.92,2.543,4.36,0.079,49.751,2.693,1.922
4510.25,4506.542,107.006,-46.097,18.401,8.81,17513.824,3681.597,0.891,2.44,4.47,0.068,49.742,2.684,2.001
4510.375,4506.667,107.01,-46.099,18.956,8.814,19725.865,3821.885,0.952,2.204,4.49,0.049,49.558,2.678,1.844
4510.5,4506.792,107.014,-46.1,21.214,8.806,33003.109,4297.733,1.064,1.978,3.987,0.035,49.286,2.676,1.715
4510.625,4506.917,107.018,-46.102,24.374,8.763,58051.313,5091.132,1.176,1.622,3.86,0.019,49.276,2.674,1.496
4510.75,4507.042,107.022,-46.104,26.686,8.695,73227.531,5600.833,1.84,1.059,5.483,0.005,48.829,2.671,1.405
4510.875,4507.167,107.026,-46.105,31.597,8.664,92307.398,6194.417,2.618,0.588,8.311,0.001,48.829,2.676,1.374
4511,4507.292,107.03,-46.107,34.813,8.612,95259.188,6171.905,2.888,0.567,8.572,0,48.499,2.683,1.603
4511.125,4507.417,107.034,-46.108,34.339,8.593,81220.172,5332.465,2.921,0.815,6.632,0.002,48.393,2.703,1.787
4511.25,4507.542,107.038,-46.11,29.992,8.562,48305.227,3881.125,2.804,1.242,5.242,0.008,48.42,2.721,2.174
4511.375,4507.667,107.042,-46.111,27.467,8.543,32203.879,3215.493,2.337,1.706,5.034,0.022,48.649,2.723,2.412
4511.5,4507.792,107.046,-46.113,23.423,8.536,9196.75,2076.731,1.828,2.072,6.774,0.039,48.904,2.713,2.484
4511.625,4507.917,107.049,-46.115,21.838,8.533,2894.024,1400.424,1.727,2.242,10.718,0.051,48.904,2.704,2.533
4511.75,4508.042,107.053,-46.116,21.695,8.546,1910.108,1156.04,1.739,2.302,14.354,0.056,49.228,2.686,2.655
4511.875,4508.167,107.057,-46.118,22.087,8.557,1335.146,913.699,1.714,2.413,16.048,0.066,49.382,2.674,2.78
4512,4508.292,107.061,-46.119,21.967,8.584,1131.369,812.64,1.597,2.562,16.538,0.08,49.414,2.671,3.082
4512.125,4508.417,107.065,-46.121,21.486,8.602,1123.932,809.974,1.308,2.56,16.705,0.08,49.124,2.67,3.136
4512.25,4508.542,107.069,-46.122,20.493,8.605,1244.994,883.236,1.136,2.34,17.656,0.06,48.749,2.673,2.912
4512.375,4508.667,107.073,-46.124,20.347,8.595,1361.441,957.504,1.11,2.017,19.239,0.036,48.749,2.673,2.541
4512.5,4508.792,107.077,-46.125,20.394,8.589,1682.178,1201.168,1.092,1.822,19.472,0.026,48.285,2.671,2.408
4512.625,4508.917,107.081,-46.127,20.381,8.59,2003.143,1536.449,1.154,1.667,19.608,0.019,48.027,2.668,2.298
4512.75,4509.042,107.085,-46.128,20.379,8.613,2172.671,1745.131,1.234,1.544,19.956,0.015,48.09,2.668,2.082
4512.875,4509.167,107.089,-46.13,20.555,8.624,2567.759,2123.143,1.409,1.438,19.455,0.011,48.42,2.669,1.896
4513,4509.292,107.093,-46.131,20.882,8.64,3724.171,2590.12,1.481,1.314,18.04,0.008,48.433,2.67,1.414
4513.125,4509.417,107.096,-46.133,21.099,8.695,5347.598,2872.303,1.571,1.179,15.376,0.006,48.912,2.671,1.017
4513.25,4509.542,107.1,-46.134,21.775,8.756,17627.137,3746.272,1.536,1.046,10.352,0.004,49.017,2.668,0.862
4513.375,4509.667,107.104,-46.136,21.981,8.894,45215.988,5658.505,1.433,0.921,7.669,0.003,48.716,2.664,0.689
4513.5,4509.792,107.108,-46.137,21.794,8.996,63439.547,7535.659,1.098,0.87,6.591,0.002,48.441,2.654,0.508
4513.625,4509.917,107.112,-46.139,21.941,9.021,89020.852,12537.162,0.912,0.757,6.577,0.002,48.214,2.647,0.413
4513.75,4510.042,107.116,-46.14,23.849,9.078,99332.266,18673.092,0.902,0.661,7.03,0.001,48.205,2.645,0.242
4513.875,4510.167,107.12,-46.142,25.206,9.142,99932.188,21551.748,1.069,0.698,6.579,0.001,48.091,2.634,0.184
4514,4510.292,107.124,-46.143,27.983,9.147,99990,28194.295,1.362,0.773,5.944,0.001,48.225,2.619,0.056
4514.125,4510.417,107.128,-46.145,29.977,9.04,99990,31492.195,1.486,0.87,5.284,0.002,48.48,2.615,-0.059
4514.25,4510.542,107.131,-46.146,30.698,8.934,99990,36580.43,1.592,0.98,4.685,0.003,48.827,2.626,-0.064
4514.375,4510.667,107.135,-46.148,30.677,8.747,99990,35649.293,1.566,1.051,4.361,0.004,48.827,2.662,0.086
4514.5,4510.792,107.139,-46.149,30.228,8.694,99990,32787.738,1.509,1.042,4.397,0.004,49.1,2.687,0.295
4514.625,4510.917,107.143,-46.151,29.657,8.734,99990,25486.311,1.686,0.968,4.772,0.003,49.075,2.719,0.34
4514.75,4511.042,107.147,-46.152,30.271,8.886,99990,18566.877,1.885,0.797,5.8,0.002,48.798,2.721,0.295
4514.875,4511.167,107.151,-46.153,30.751,9.005,99990,16241.064,2.216,0.67,6.855,0.001,48.674,2.703,0.152
4515,4511.292,107.155,-46.155,30.382,9.032,99990,13005.842,2.344,0.641,7.168,0.001,48.57,2.675,0.067
4515.125,4511.417,107.159,-46.156,27.094,9.002,99990,11939.271,2.315,0.736,6.274,0.001,48.57,2.667,-0.008
4515.25,4511.542,107.163,-46.158,24.617,8.954,99990,11918.825,1.959,0.881,5.228,0.002,48.732,2.666,0.012
4515.375,4511.667,107.166,-46.159,21.002,8.949,99990,12137.563,1.559,0.983,4.661,0.003,48.962,2.677,0.104
4515.5,4511.792,107.17,-46.16,19.943,8.968,99990,11932.522,1.47,0.975,4.709,0.003,48.99,2.681,0.096
4515.625,4511.917,107.174,-46.162,20.314,9.001,99990,11814.376,1.518,0.919,4.984,0.003,48.812,2.68,0.054
4515.75,4512.042,107.178,-46.163,21.381,9.037,99990,11877.479,1.576,0.95,4.833,0.003,48.805,2.68,0.014
4515.875,4512.167,107.182,-46.165,21.66,9.131,99990,11983.476,1.578,1.048,4.38,0.004,48.836,2.683,0.108
4516,4512.292,107.186,-46.166,21.568,9.161,99990,11983.785,1.562,1.115,4.108,0.005,49.112,2.693,0.155
4516.125,4512.417,107.19,-46.167,21.817,9.083,99990,11760.828,1.614,1.102,4.165,0.005,49.259,2.698,0.149
4516.25,4512.542,107.193,-46.169,22.514,8.876,99990,11705.417,1.957,0.959,4.854,0.003,49.245,2.702,0.151
4516.375,4512.667,107.197,-46.17,25.065,8.792,99990,11933.24,2.498,0.737,6.299,0.002,48.941,2.705,0.202
4516.5,4512.792,107.201,-46.171,27.759,8.711,99990,12671.814,2.694,0.593,7.766,0.001,48.929,2.707,0.363
4516.625,4512.917,107.205,-46.173,27.922,8.698,99990,13192.894,2.608,0.546,8.402,0,48.712,2.708,0.456
4516.75,4513.042,107.209,-46.174,25.559,8.697,99990,14329.999,2.136,0.597,7.694,0.001,48.537,2.698,0.473
4516.875,4513.167,107.213,-46.176,22.244,8.713,99990,14543.141,1.932,0.675,6.816,0.001,48.549,2.687,0.468
4517,4513.292,107.216,-46.177,21.067,8.76,99564.969,14123.045,1.753,0.765,6.06,0.001,48.595,2.661,0.463
4517.125,4513.417,107.22,-46.178,20.742,8.777,92032.719,12432.431,1.894,0.822,5.835,0.002,48.595,2.647,0.451
4517.25,4513.542,107.224,-46.18,21.027,8.779,81795.609,11263.035,1.992,0.77,6.854,0.002,48.812,2.645,0.459
4517.375,4513.667,107.228,-46.181,21.189,8.772,54218.551,9238.577,2.156,0.662,9.51,0.001,48.799,2.654,0.474
4517.5,4513.792,107.232,-46.182,21.479,8.778,33508.605,7789.913,2.182,0.611,12.163,0.001,48.568,2.665,0.502
4517.625,4513.917,107.236,-46.183,21.609,8.823,34485.496,7545.745,2.195,0.656,11.482,0.001,48.558,2.666,0.549
4517.75,4514.042,107.24,-46.185,22.592,8.86,56196,7839.671,2.171,0.791,7.962,0.002,48.781,2.661,0.584
4517.875,4514.167,107.243,-46.186,24.308,8.935,81878.281,9162.299,2.092,0.948,5.479,0.003,48.781,2.658,0.612
4518,4514.292,107.247,-46.187,25.202,9.035,91810.102,10538.08,1.844,0.981,4.889,0.003,49.166,2.656,0.573
4518.125,4514.417,107.251,-46.189,26.156,9.085,98966.297,14742.603,1.691,0.923,5.031,0.003,49.111,2.656,0.554
4518.25,4514.542,107.255,-46.19,26.949,9.149,99990,20609.092,1.609,0.853,5.381,0.002,48.811,2.655,0.6
4518.375,4514.667,107.259,-46.191,27.408,9.109,99990,23415.484,1.442,0.859,5.344,0.002,48.515,2.65,0.661
4518.5,4514.792,107.262,-46.193,27.564,9.054,99990,28422.016,1.257,0.896,5.112,0.002,48.318,2.649,0.771
4518.625,4514.917,107.266,-46.194,25.887,8.94,99990,28775.994,1.19,0.891,5.143,0.002,48.318,2.651,0.743
4518.75,4515.042,107.27,-46.195,24.85,8.834,99990,26454.309,1.121,0.869,5.286,0.002,48.232,2.658,0.677
4518.875,4515.167,107.274,-46.196,24.115,8.793,99990,19197.1,1.262,0.803,5.712,0.002,48.267,2.666,0.551
4519,4515.292,107.278,-46.198,25.116,8.736,99990,15522.215,1.456,0.731,6.307,0.001,48.403,2.67,0.547
4519.125,4515.417,107.282,-46.199,25.83,8.726,99990,12576.672,1.881,0.617,7.466,0.001,48.467,2.674,0.597
4519.25,4515.542,107.285,-46.2,26.609,8.719,99990,15163.621,2.042,0.53,8.699,0,48.47,2.678,0.749
4519.375,4515.667,107.289,-46.201,26.447,8.695,99990,20262.34,2.054,0.474,9.667,0,48.414,2.678,0.823
4519.5,4515.792,107.293,-46.203,25.252,8.672,99990,42836.617,1.839,0.48,9.543,0,48.251,2.667,0.786
4519.625,4515.917,107.297,-46.204,23.39,8.623,99990,72045.93,1.751,0.493,9.291,0,48.196,2.659,0.556
4519.75,4516.042,107.301,-46.205,22.354,8.568,99990,85534.063,1.669,0.486,9.441,0,48.135,2.649,0.293
4519.875,4516.167,107.304,-46.206,21.095,8.551,99990,96238.461,1.733,0.439,10.535,0,48.09,2.656,0.245
4520,4516.292,107.308,-46.207,20.858,8.537,99990,87927.969,1.797,0.369,12.454,0,48.088,2.666,0.326
4520.125,4516.417,107.312,-46.209,20.873,8.54,99990,77834.18,1.831,0.363,12.722,0,47.961,2.686,0.413
4520.25,4516.542,107.316,-46.21,20.299,8.542,99990,50913.59,1.717,0.401,11.467,0,47.935,2.7,0.533
4520.375,4516.667,107.319,-46.211,19.846,8.539,99990,39310.266,1.679,0.363,12.629,0,47.949,2.699,0.439
4520.5,4516.792,107.323,-46.212,20.067,8.536,99990,23364.992,1.672,0.352,13.016,0,47.902,2.682,0.333
4520.625,4516.917,107.327,-46.214,21.114,8.533,99990,16727.377,1.623,0.336,13.67,0,47.902,2.657,0.179
4520.75,4517.042,107.331,-46.215,21.73,8.542,99527.891,14026.954,1.608,0.315,14.721,0,47.827,2.647,0.147
4520.875,4517.167,107.335,-46.216,22.887,8.554,91351.109,9986.847,1.572,0.315,15.631,0,47.752,2.642,0.19
4521,4517.292,107.338,-46.217,23.759,8.573,64972.75,6563.522,1.5,0.421,14.344,0,47.736,2.645,0.435
4521.125,4517.417,107.342,-46.218,23.468,8.561,48196.23,5280.746,1.379,0.713,9.866,0.001,47.822,2.645,0.824
4521.25,4517.542,107.346,-46.219,21.179,8.543,17469.951,3117.119,1.275,0.978,10.893,0.003,48.032,2.637,1.033
4521.375,4517.667,107.35,-46.221,18.812,8.507,4761.917,1918.891,1.211,1.222,15.188,0.007,48.032,2.638,1.25
4521.5,4517.792,107.353,-46.222,18.167,8.488,2565.5,1552.011,1.153,1.383,19.962,0.01,48.351,2.654,1.317
4521.625,4517.917,107.357,-46.223,17.901,8.484,1902.054,1339.238,1.089,1.515,20.825,0.014,48.622,2.672,1.333
4521.75,4518.042,107.361,-46.224,17.426,8.48,2270.597,1496.87,1.033,1.535,19.708,0.014,48.864,2.675,1.325
4521.875,4518.167,107.365,-46.225,17.356,8.493,2883.7,1719.309,1.024,1.383,18.722,0.01,48.717,2.671,1.276
4522,4518.292,107.368,-46.226,18.103,8.521,5385.371,2503.074,1.134,1.079,19.135,0.005,48.711,2.671,1.093
4522.125,4518.417,107.372,-46.227,20.085,8.616,7064.75,2961.333,1.249,0.697,25.908,0.001,48.412,2.676,0.881
4522.25,4518.542,107.376,-46.229,21.463,8.677,10676.684,3801.219,1.681,0.38,38.501,0,47.842,2.691,0.762
4522.375,4518.667,107.38,-46.23,23.785,8.751,12826.253,4148.053,1.9,0.25,54.391,0,47.64,2.704,0.521
4522.5,4518.792,107.383,-46.231,24.809,8.754,13468.95,4180.298,2.265,0.159,79.269,0,47.471,2.707,0.29
4522.625,4518.917,107.387,-46.232,25.562,8.737,14623.624,4120.329,2.355,0.149,82.305,0,47.437,2.711,0.246
4522.75,4519.042,107.391,-46.233,25.184,8.697,18423.572,4205.719,2.348,0.225,50.447,0,47.436,2.713,0.322
4522.875,4519.167,107.395,-46.234,25.018,8.67,21730.449,4342.927,2.341,0.331,29.937,0,47.488,2.721,0.516
4523,4519.292,107.398,-46.235,25.199,8.66,29897.684,4718.563,2.373,0.416,20.629,0,47.437,2.735,0.604
4523.125,4519.417,107.402,-46.236,25.522,8.647,34015.145,4981.127,2.343,0.458,17.375,0,47.431,2.743,0.628
4523.25,4519.542,107.406,-46.237,25.318,8.645,34129.215,5082.358,2.089,0.493,16.079,0,47.328,2.748,0.599
4523.375,4519.667,107.41,-46.239,24.679,8.657,31240.688,5215.808,1.885,0.56,14.658,0,47.609,2.737,0.564
4523.5,4519.792,107.413,-46.24,24.441,8.692,28719.414,5237.114,1.795,0.643,13.505,0.001,47.62,2.728,0.57
4523.625,4519.917,107.417,-46.241,24.181,8.698,22831.203,5059.353,1.54,0.79,12.445,0.002,48.094,2.71,0.55
4523.75,4520.042,107.421,-46.242,22.723,8.669,16420.063,4693.855,1.104,1.074,10.328,0.004,48.604,2.693,0.434
4523.875,4520.167,107.425,-46.243,21.699,8.614,14458.745,4558.368,0.937,1.294,9.321,0.008,49.002,2.687,0.36
4524,4520.292,107.428,-46.244,20.141,8.593,12706.118,4416.29,0.818,1.416,9.022,0.011,49.281,2.683,0.367
4524.125,4520.417,107.432,-46.245,20.193,8.591,11885.77,4318.03,0.857,1.535,8.663,0.014,49.281,2.683,0.459
4524.25,4520.542,107.436,-46.246,20.534,8.616,11173.529,4218.893,1.011,1.607,8.649,0.016,49.428,2.677,0.587
4524.375,4520.667,107.439,-46.247,21.71,8.627,9292.201,3940.9,1.34,1.517,10.034,0.014,49.568,2.671,0.637
4524.5,4520.792,107.443,-46.248,24.005,8.631,7164.617,3687.523,1.64,1.305,13.063,0.009,49.636,2.672,0.686
4524.625,4520.917,107.447,-46.249,25.514,8.634,6531.067,3691.425,2.32,1.03,17.294,0.004,49.484,2.685,0.679
4524.75,4521.042,107.451,-46.25,28.639,8.651,6923.867,4112.657,2.793,0.884,18.105,0.002,49.301,2.696,0.689
4524.875,4521.167,107.454,-46.251,29.602,8.702,16937.893,5536.785,2.833,0.886,12.78,0.002,49.301,2.693,0.739
4525,4521.292,107.458,-46.252,29.255,8.729,29424.137,7240.079,2.69,0.914,9.077,0.002,49.383,2.672,0.749
4525.125,4521.417,107.462,-46.253,27.922,8.722,61573.336,12128.141,2.497,0.955,6.343,0.003,49.319,2.651,0.68
4525.25,4521.542,107.465,-46.254,27.005,8.697,78523.211,14783.945,2.401,0.971,5.353,0.003,49.346,2.647,0.589
4525.375,4521.667,107.469,-46.255,26.716,8.69,94070.539,16583.783,2.129,1,4.869,0.003,49.215,2.655,0.578
4525.5,4521.792,107.473,-46.256,25.818,8.702,84390.461,14099.196,1.915,1.093,4.577,0.004,49.21,2.662,0.605
4525.625,4521.917,107.476,-46.257,25.34,8.721,72357.383,12360.141,1.627,1.153,4.813,0.005,49.309,2.663,0.657
4525.75,4522.042,107.48,-46.258,24.964,8.723,45353.801,9891.211,1.684,1.163,5.604,0.006,49.249,2.662,0.701
4525.875,4522.167,107.484,-46.259,25.551,8.704,39418.719,9671.92,1.819,1.132,6.273,0.005,49.205,2.659,0.84
4526,4522.292,107.488,-46.26,25.808,8.672,44798.391,10139.191,2.114,1.035,6.592,0.004,49.151,2.647,1.023
4526.125,4522.417,107.491,-46.261,25.808,8.656,54602,11213.909,2.518,0.897,7.109,0.003,49.181,2.635,1.084
4526.25,4522.542,107.495,-46.262,26.326,8.617,50357.066,11754.379,2.882,0.787,8.389,0.002,49.182,2.634,1.098
4526.375,4522.667,107.499,-46.263,27.014,8.584,45240.816,11815.683,3.622,0.577,12.418,0.001,49.291,2.64,1.057
4526.5,4522.792,107.502,-46.264,28.924,8.575,36270.449,11797.761,4.049,0.395,19.608,0,49.115,2.658,0.954
4526.625,4522.917,107.506,-46.265,29.941,8.581,32692.201,11545.239,4.064,0.321,24.709,0,48.786,2.668,0.939
4526.75,4523.042,107.51,-46.266,29.907,8.619,35018.41,11518.818,3.633,0.426,18.683,0,48.75,2.683,0.96
4526.875,4523.167,107.513,-46.267,28.805,8.648,53789.848,12683.6,2.815,0.64,10.163,0.001,48.75,2.678,1.012
4527,4523.292,107.517,-46.268,27.618,8.7,68892.266,14042.063,2.436,0.838,6.673,0.002,48.938,2.666,1.007
