Depth,TVD,DX,DY,GR,CAL,AC,CNL,DEN,RT,RXO,SH,POR,SW,PERM
4855.5,4588.633,-485.825,197.867,121.426,8.674,48.353,1.782,2.834,748.597,462.573,-9999,-9999,-9999,-9999
4855.625,4588.691,-485.926,197.912,126.036,8.656,48.955,1.745,2.797,739.241,453.768,-9999,-9999,-9999,-9999
4855.75,4588.75,-486.027,197.956,129.056,8.651,49.098,1.791,2.782,742.4,455.186,-9999,-9999,-9999,-9999
4855.875,4588.808,-486.129,198.001,133.919,8.651,49.108,1.887,2.766,777.299,473.822,-9999,-9999,-9999,-9999
4856,4588.867,-486.23,198.045,133.667,8.67,48.96,1.827,2.76,849.002,514.137,-9999,-9999,-9999,-9999
4856.125,4588.925,-486.331,198.09,131.73,8.683,48.752,1.751,2.759,881.488,534.261,-9999,-9999,-9999,-9999
4856.25,4588.983,-486.432,198.134,127.201,8.702,48.454,1.639,2.758,902.795,553.067,-9999,-9999,-9999,-9999
4856.375,4589.042,-486.533,198.178,124.937,8.703,48.38,1.686,2.757,871.508,540.441,-9999,-9999,-9999,-9999
4856.5,4589.101,-486.634,198.223,124.671,8.697,48.456,1.771,2.756,845.745,526.423,-9999,-9999,-9999,-9999
4856.625,4589.159,-486.736,198.267,125.445,8.677,48.655,2.018,2.754,763.526,478.769,-9999,-9999,-9999,-9999
4856.75,4589.217,-486.837,198.312,128.773,8.663,48.745,2.349,2.746,613.94,388.664,-9999,-9999,-9999,-9999
4856.875,4589.276,-486.938,198.356,131.661,8.666,48.787,2.558,2.742,524.677,332.966,-9999,-9999,-9999,-9999
4857,4589.334,-487.039,198.401,138.294,8.697,49.078,3.043,2.74,372.267,234.74,-9999,-9999,-9999,-9999
4857.125,4589.393,-487.14,198.445,141.023,8.717,49.35,3.275,2.745,323.709,202.679,-9999,-9999,-9999,-9999
4857.25,4589.451,-487.241,198.49,143.531,8.743,50.007,3.57,2.764,278.398,173.276,-9999,-9999,-9999,-9999
4857.375,4589.51,-487.342,198.534,142.98,8.725,50.652,3.575,2.782,272.145,169.559,-9999,-9999,-9999,-9999
4857.5,4589.568,-487.444,198.578,142.567,8.702,50.886,3.492,2.786,281.126,173.832,-9999,-9999,-9999,-9999
4857.625,4589.627,-487.545,198.623,142.526,8.672,50.972,3.226,2.783,342.563,207.1,-9999,-9999,-9999,-9999
4857.75,4589.685,-487.646,198.667,141.618,8.7,50.764,2.836,2.775,456.125,276.77,-9999,-9999,-9999,-9999
4857.875,4589.744,-487.747,198.712,140.485,8.722,50.672,2.635,2.77,510.487,313.102,-9999,-9999,-9999,-9999
4858,4589.802,-487.848,198.756,138.176,8.728,50.438,2.372,2.762,568.237,356.254,-9999,-9999,-9999,-9999
4858.125,4589.86,-487.949,198.801,136.482,8.682,50.09,2.381,2.756,559.415,354.23,-9999,-9999,-9999,-9999
4858.25,4589.919,-488.051,198.845,135.228,8.66,49.909,2.464,2.754,543.039,344.325,-9999,-9999,-9999,-9999
4858.375,4589.978,-488.152,198.89,131.637,8.646,49.438,2.73,2.753,497.26,316.85,-9999,-9999,-9999,-9999
4858.5,4590.036,-488.253,198.934,130.137,8.663,48.998,3.246,2.751,425.158,274.839,-9999,-9999,-9999,-9999
4858.625,4590.094,-488.354,198.978,131.426,8.673,49.003,3.621,2.75,381.472,249.239,-9999,-9999,-9999,-9999
4858.75,4590.153,-488.455,199.023,136.315,8.684,49.549,4.4,2.753,297.057,198.859,-9999,-9999,-9999,-9999
4858.875,4590.211,-488.556,199.067,138.738,8.682,49.989,4.648,2.757,262.555,177.786,-9999,-9999,-9999,-9999
4859,4590.27,-488.657,199.112,142.25,8.668,51.112,4.676,2.764,214.587,147.741,-9999,-9999,-9999,-9999
4859.125,4590.328,-488.759,199.156,143.157,8.66,52.233,4.461,2.766,188.994,131.174,-9999,-9999,-9999,-9999
4859.25,4590.387,-488.86,199.201,143.103,8.661,52.497,4.401,2.764,180.957,125.845,-9999,-9999,-9999,-9999
4859.375,4590.445,-488.961,199.245,144.285,8.665,52.196,4.51,2.758,171.405,119.125,-9999,-9999,-9999,-9999
4859.5,4590.503,-489.062,199.29,147.778,8.664,50.989,5.289,2.75,174.466,120.039,-9999,-9999,-9999,-9999
4859.625,4590.562,-489.163,199.334,148.997,8.66,50.08,5.622,2.747,183.848,125.302,-9999,-9999,-9999,-9999
4859.75,4590.621,-489.264,199.378,147,8.648,48.058,4.672,2.744,226.68,150.179,-9999,-9999,-9999,-9999
4859.875,4590.679,-489.366,199.423,141.428,8.635,46.681,2.571,2.747,309.34,198.636,-9999,-9999,-9999,-9999
4860,4590.737,-489.467,199.467,138.849,8.63,46.393,2.039,2.749,364.327,230.904,-9999,-9999,-9999,-9999
4860.125,4590.796,-489.568,199.512,133.56,8.627,46.537,2.137,2.752,479.624,297.849,-9999,-9999,-9999,-9999
4860.25,4590.854,-489.669,199.556,130.007,8.63,46.906,2.379,2.754,525.316,323.468,-9999,-9999,-9999,-9999
4860.375,4590.913,-489.77,199.601,121.792,8.655,47.914,2.42,2.758,563.873,341.702,-9999,-9999,-9999,-9999
4860.5,4590.971,-489.871,199.645,118.088,8.692,48.813,2.221,2.759,536.819,320.833,-9999,-9999,-9999,-9999
4860.625,4591.03,-489.972,199.69,119.302,8.707,49.139,2.197,2.757,513.055,305.159,-9999,-9999,-9999,-9999
4860.75,4591.088,-490.074,199.734,124.631,8.718,49.482,2.239,2.751,474.498,281.017,-9999,-9999,-9999,-9999
4860.875,4591.147,-490.175,199.778,128.352,8.714,49.53,2.251,2.75,457.975,271.362,-9999,-9999,-9999,-9999
4861,4591.205,-490.276,199.823,129.162,8.71,49.598,2.278,2.752,455.036,269.866,-9999,-9999,-9999,-9999
4861.125,4591.264,-490.377,199.867,130.413,8.693,50.025,2.435,2.759,452.51,269.508,-9999,-9999,-9999,-9999
4861.25,4591.322,-490.478,199.912,131.141,8.662,50.767,2.647,2.768,451.812,274.126,-9999,-9999,-9999,-9999
4861.375,4591.38,-490.579,199.956,130.915,8.646,51.203,2.74,2.773,443.908,274.138,-9999,-9999,-9999,-9999
4861.5,4591.439,-490.681,200.001,129.938,8.631,51.916,2.83,2.785,390.288,252.712,-9999,-9999,-9999,-9999
4861.625,4591.498,-490.782,200.045,130.276,8.645,52.286,2.772,2.787,299.763,204.274,-9999,-9999,-9999,-9999
4861.75,4591.556,-490.883,200.09,130.763,8.657,52.507,2.757,2.783,259.529,180.569,-9999,-9999,-9999,-9999
4861.875,4591.614,-490.984,200.134,131.175,8.672,53.05,2.907,2.766,217.057,154.261,-9999,-9999,-9999,-9999
4862,4591.673,-491.085,200.178,131.341,8.673,53.214,3.078,2.757,212.074,151.269,-9999,-9999,-9999,-9999
4862.125,4591.731,-491.186,200.223,133.708,8.679,53.171,3.453,2.742,211.188,151.513,-9999,-9999,-9999,-9999
4862.25,4591.79,-491.287,200.267,138.486,8.71,52.521,3.629,2.735,215.707,154.756,-9999,-9999,-9999,-9999
4862.375,4591.848,-491.389,200.312,139.872,8.735,51.797,3.654,2.736,222.413,159.225,-9999,-9999,-9999,-9999
4862.5,4591.907,-491.49,200.356,136.675,8.776,49.709,3.693,2.744,250.935,179.534,-9999,-9999,-9999,-9999
4862.625,4591.965,-491.591,200.401,127.041,8.775,47.961,3.71,2.754,296.296,213.882,-9999,-9999,-9999,-9999
4862.75,4592.023,-491.692,200.445,122.195,8.76,47.546,3.646,2.754,318.762,231.408,-9999,-9999,-9999,-9999
4862.875,4592.082,-491.793,200.49,115.714,8.733,47.552,3.28,2.756,348.898,255.422,-9999,-9999,-9999,-9999
4863,4592.141,-491.894,200.534,114.103,8.729,48.463,2.79,2.76,356.706,262.282,-9999,-9999,-9999,-9999
4863.125,4592.199,-491.996,200.578,115.404,8.733,49.322,2.596,2.761,355.919,262.308,-9999,-9999,-9999,-9999
4863.25,4592.257,-492.097,200.623,122.03,8.74,51.613,2.376,2.763,351.264,260.019,-9999,-9999,-9999,-9999
4863.375,4592.316,-492.198,200.667,129.883,8.727,53.516,2.267,2.766,357.607,257.686,-9999,-9999,-9999,-9999
4863.5,4592.375,-492.299,200.712,132.319,8.706,54.102,2.204,2.767,391.849,269.996,-9999,-9999,-9999,-9999
4863.625,4592.433,-492.4,200.756,133.535,8.649,54.772,1.94,2.769,612.309,383.19,-9999,-9999,-9999,-9999
4863.75,4592.491,-492.501,200.801,133.565,8.627,54.78,1.675,2.77,802.215,493.134,-9999,-9999,-9999,-9999
4863.875,4592.55,-492.602,200.845,134.465,8.629,53.768,0.915,2.771,1218.311,754.487,-9999,-9999,-9999,-9999
4864,4592.608,-492.704,200.89,135.973,8.681,52.097,0.238,2.772,1478.928,934.488,-9999,-9999,-9999,-9999
4864.125,4592.667,-492.805,200.934,136.437,8.706,51.365,0.055,2.773,1528.81,972.826,-9999,-9999,-9999,-9999
4864.25,4592.725,-492.906,200.978,136.396,8.729,49.998,0.002,2.773,1549.108,992.527,-9999,-9999,-9999,-9999
4864.375,4592.784,-493.007,201.023,134.698,8.724,48.85,0.143,2.773,1538.775,1002.366,-9999,-9999,-9999,-9999
4864.5,4592.842,-493.108,201.067,133.509,8.717,48.608,0.205,2.772,1505.274,1000.957,-9999,-9999,-9999,-9999
4864.625,4592.9,-493.209,201.112,131.961,8.705,48.701,0.272,2.772,1316.198,936.1,-9999,-9999,-9999,-9999
4864.75,4592.959,-493.311,201.156,132.737,8.695,48.802,0.412,2.77,990.432,765.995,-9999,-9999,-9999,-9999
4864.875,4593.018,-493.412,201.201,133.669,8.692,48.722,0.563,2.769,828.693,665.085,-9999,-9999,-9999,-9999
4865,4593.076,-493.513,201.245,135.221,8.693,48.342,0.958,2.763,608.548,508.25,-9999,-9999,-9999,-9999
4865.125,4593.134,-493.614,201.29,135.408,8.695,48.194,1.122,2.763,555.398,464.889,-9999,-9999,-9999,-9999
4865.25,4593.193,-493.715,201.334,134.432,8.693,48.735,1.299,2.766,498.91,419.544,-9999,-9999,-9999,-9999
4865.375,4593.251,-493.816,201.378,133.283,8.687,50.263,1.456,2.769,462.455,388.001,-9999,-9999,-9999,-9999
4865.5,4593.31,-493.917,201.423,133.342,8.687,50.896,1.558,2.772,457.951,380.119,-9999,-9999,-9999,-9999
4865.625,4593.368,-494.019,201.467,133.957,8.689,51.365,1.601,2.78,516.041,411.237,-9999,-9999,-9999,-9999
4865.75,4593.427,-494.12,201.512,130.735,8.671,50.575,1.301,2.796,681.874,524.516,-9999,-9999,-9999,-9999
4865.875,4593.485,-494.221,201.556,126.527,8.658,49.622,1.121,2.799,795.697,605.398,-9999,-9999,-9999,-9999
4866,4593.543,-494.322,201.601,114.687,8.66,47.401,0.935,2.797,1069.082,799.902,-9999,-9999,-9999,-9999
4866.125,4593.602,-494.423,201.645,103.459,8.742,46.301,1.009,2.789,1327.977,988.812,-9999,-9999,-9999,-9999
4866.25,4593.661,-494.524,201.69,99.193,8.809,46.26,1.105,2.786,1377.06,1030.226,-9999,-9999,-9999,-9999
4866.375,4593.719,-494.626,201.734,93.729,8.959,46.69,1.358,2.789,1202.024,919.822,-9999,-9999,-9999,-9999
4866.5,4593.777,-494.727,201.778,92.065,9.08,47.325,1.721,2.796,798.839,632.387,-9999,-9999,-9999,-9999
4866.625,4593.836,-494.828,201.823,92.852,9.121,47.594,1.952,2.799,620.71,498.665,-9999,-9999,-9999,-9999
4866.75,4593.895,-494.929,201.867,97.306,9.155,48.072,2.476,2.809,431.909,348.559,-9999,-9999,-9999,-9999
4866.875,4593.953,-495.03,201.912,100.079,9.146,48.411,2.718,2.815,403.454,323.673,-9999,-9999,-9999,-9999
4867,4594.011,-495.131,201.956,104.368,9.1,49.51,3.039,2.819,403.688,320.819,-9999,-9999,-9999,-9999
4867.125,4594.07,-495.232,202.001,106.089,9.04,50.988,3.097,2.8,467.553,367.966,-9999,-9999,-9999,-9999
4867.25,4594.128,-495.334,202.045,106.172,8.99,51.519,2.915,2.778,710.464,536.79,-9999,-9999,-9999,-9999
4867.375,4594.187,-495.435,202.09,105.009,8.741,51.473,2.545,2.769,1458.625,1003.139,-9999,-9999,-9999,-9999
4867.5,4594.245,-495.536,202.134,101.701,8.607,50.146,2.12,2.769,2678.63,1678.759,-9999,-9999,-9999,-9999
4867.625,4594.304,-495.637,202.178,99.254,8.579,49.266,1.954,2.768,3245.233,1953.708,-9999,-9999,-9999,-9999
4867.75,4594.362,-495.738,202.223,93.235,8.571,47.904,1.786,2.761,3836.031,2150.893,-9999,-9999,-9999,-9999
4867.875,4594.42,-495.839,202.267,87.961,8.609,47.954,1.846,2.752,3708.15,1963.824,-9999,-9999,-9999,-9999
4868,4594.479,-495.941,202.312,86.693,8.662,48.364,1.926,2.747,3528.999,1828.939,-9999,-9999,-9999,-9999
4868.125,4594.538,-496.042,202.356,88.562,8.831,49.049,2.05,2.739,3211.696,1607.198,-9999,-9999,-9999,-9999
4868.25,4594.596,-496.143,202.401,91.192,8.924,49.121,2.067,2.737,3139.438,1548.721,-9999,-9999,-9999,-9999
4868.375,4594.654,-496.244,202.445,96.224,9.073,48.839,2.059,2.743,3325.101,1632.506,-9999,-9999,-9999,-9999
4868.5,4594.713,-496.345,202.49,98.017,9.185,48.292,2.028,2.759,3985.849,2035.566,-9999,-9999,-9999,-9999
4868.625,4594.771,-496.446,202.534,98.095,9.238,47.968,1.998,2.767,4429.422,2329.232,-9999,-9999,-9999,-9999
4868.75,4594.83,-496.547,202.578,98.25,9.338,47.495,1.908,2.778,5323.003,2990.255,-9999,-9999,-9999,-9999
4868.875,4594.888,-496.649,202.623,98.793,9.356,47.449,1.851,2.78,5534.243,3331.255,-9999,-9999,-9999,-9999
4869,4594.947,-496.75,202.667,99.293,9.306,47.454,1.855,2.78,5108.446,3180.536,-9999,-9999,-9999,-9999
4869.125,4595.005,-496.851,202.712,101.096,9.1,47.365,1.89,2.776,3336.526,2224.056,-9999,-9999,-9999,-9999
4869.25,4595.063,-496.952,202.756,102.485,8.891,47.364,2.026,2.77,1512.688,1085.086,-9999,-9999,-9999,-9999
4869.375,4595.122,-497.053,202.801,102.36,8.836,47.48,2.187,2.767,966.134,715.352,-9999,-9999,-9999,-9999
4869.5,4595.181,-497.154,202.845,103.047,8.815,48.101,2.672,2.768,560.346,422.589,-9999,-9999,-9999,-9999
4869.625,4595.239,-497.256,202.889,108.207,8.812,49.054,3.064,2.774,491.058,370.585,-9999,-9999,-9999,-9999
4869.75,4595.297,-497.357,202.934,111.244,8.794,49.464,3.129,2.776,483.673,365.37,-9999,-9999,-9999,-9999
4869.875,4595.356,-497.458,202.978,113.902,8.736,49.939,3.113,2.776,511.736,388.309,-9999,-9999,-9999,-9999
4870,4595.415,-497.559,203.023,113.318,8.706,49.971,3.129,2.774,549.256,418.279,-9999,-9999,-9999,-9999
4870.125,4595.473,-497.66,203.067,111.583,8.66,49.508,3.128,2.772,649.931,499.025,-9999,-9999,-9999,-9999
4870.25,4595.531,-497.761,203.112,110.738,8.643,48.358,2.591,2.772,737.447,568.845,-9999,-9999,-9999,-9999
4870.375,4595.59,-497.862,203.156,109.333,8.644,47.62,2.095,2.773,771.505,594.479,-9999,-9999,-9999,-9999
4870.5,4595.648,-497.964,203.201,103.892,8.66,46.313,1.094,2.776,855.138,649.252,-9999,-9999,-9999,-9999
4870.625,4595.707,-498.065,203.245,98.75,8.684,45.969,0.527,2.78,1053.66,767.249,-9999,-9999,-9999,-9999
4870.75,4595.765,-498.166,203.289,97.314,8.696,46.206,0.416,2.78,1247.293,879.54,-9999,-9999,-9999,-9999
4870.875,4595.824,-498.267,203.334,95.768,8.705,47.201,0.362,2.774,1831.469,1209.356,-9999,-9999,-9999,-9999
4871,4595.882,-498.368,203.378,94.299,8.692,48.506,0.395,2.764,2361.683,1495.405,-9999,-9999,-9999,-9999
4871.125,4595.94,-498.469,203.423,93.931,8.679,49.026,0.479,2.76,2469.834,1546.945,-9999,-9999,-9999,-9999
4871.25,4595.999,-498.571,203.467,94.919,8.655,49.262,0.908,2.754,2351.002,1466.034,-9999,-9999,-9999,-9999
4871.375,4596.058,-498.672,203.512,96.48,8.647,49.012,1.244,2.75,2192.778,1374.879,-9999,-9999,-9999,-9999
4871.5,4596.116,-498.773,203.556,102.713,8.635,48.542,1.916,2.745,1800.451,1151.669,-9999,-9999,-9999,-9999
4871.625,4596.174,-498.874,203.601,112.357,8.626,48.832,2.187,2.75,1315.614,862.485,-9999,-9999,-9999,-9999
4871.75,4596.233,-498.975,203.645,117.204,8.628,49.192,2.139,2.757,1071.999,711.833,-9999,-9999,-9999,-9999
4871.875,4596.292,-499.076,203.689,124.873,8.647,50.059,1.907,2.774,728.107,492.273,-9999,-9999,-9999,-9999
4872,4596.35,-499.177,203.734,129.71,8.664,51.002,1.732,2.779,614.139,415.589,-9999,-9999,-9999,-9999
4872.125,4596.408,-499.279,203.778,130.646,8.663,51.253,1.674,2.775,609.444,410.696,-9999,-9999,-9999,-9999
4872.25,4596.467,-499.38,203.823,127.537,8.651,50.669,1.562,2.761,679.131,448.299,-9999,-9999,-9999,-9999
4872.375,4596.525,-499.481,203.867,118.202,8.654,49.214,1.494,2.752,967.841,619.918,-9999,-9999,-9999,-9999
4872.5,4596.583,-499.582,203.912,113.063,8.664,48.599,1.501,2.752,1202.948,764.326,-9999,-9999,-9999,-9999
4872.625,4596.642,-499.683,203.956,105.952,8.684,47.754,1.543,2.76,1652.208,1046.238,-9999,-9999,-9999,-9999
4872.75,4596.701,-499.784,204.001,104.1,8.688,47.346,1.456,2.768,1789.886,1135.061,-9999,-9999,-9999,-9999
4872.875,4596.759,-499.886,204.045,104.231,8.684,47.467,1.388,2.769,1733.029,1099.82,-9999,-9999,-9999,-9999
4873,4596.817,-499.987,204.089,104.446,8.675,48.364,1.496,2.764,1512.316,965.448,-9999,-9999,-9999,-9999
4873.125,4596.876,-500.088,204.134,104.561,8.673,48.883,1.757,2.761,1382.388,890.442,-9999,-9999,-9999,-9999
4873.25,4596.935,-500.189,204.178,107.059,8.677,49.581,2.564,2.76,1069.169,715.93,-9999,-9999,-9999,-9999
4873.375,4596.993,-500.29,204.223,112.901,8.699,49.958,3.134,2.764,741.767,532.282,-9999,-9999,-9999,-9999
4873.5,4597.051,-500.391,204.267,115.732,8.715,50.06,3.164,2.768,617.769,461.816,-9999,-9999,-9999,-9999
4873.625,4597.11,-500.492,204.312,118.478,8.74,49.905,2.999,2.78,476.432,379.425,-9999,-9999,-9999,-9999
4873.75,4597.168,-500.594,204.356,117.52,8.738,49.452,3.082,2.79,420.201,342.096,-9999,-9999,-9999,-9999
4873.875,4597.227,-500.695,204.401,116.931,8.728,49.417,3.257,2.792,400.741,327.079,-9999,-9999,-9999,-9999
4874,4597.285,-500.796,204.445,117.388,8.705,50.291,3.55,2.786,358.946,293.032,-9999,-9999,-9999,-9999
4874.125,4597.344,-500.897,204.489,119.277,8.691,52.086,3.334,2.778,310.415,252.159,-9999,-9999,-9999,-9999
4874.25,4597.402,-500.998,204.534,120.127,8.692,52.796,2.879,2.776,279.89,221.905,-9999,-9999,-9999,-9999
4874.375,4597.46,-501.099,204.578,119.228,8.73,52.896,2.653,2.769,297.699,226.888,-9999,-9999,-9999,-9999
4874.5,4597.519,-501.201,204.623,117.005,8.742,51.193,2.231,2.759,346.083,258.199,-9999,-9999,-9999,-9999
4874.625,4597.578,-501.302,204.667,115.243,8.739,49.984,1.786,2.755,369.473,274.081,-9999,-9999,-9999,-9999
4874.75,4597.636,-501.403,204.712,110.641,8.728,48.027,0.758,2.752,455.821,321.014,-9999,-9999,-9999,-9999
4874.875,4597.694,-501.504,204.756,108.129,8.725,47.561,0.374,2.753,595.106,392.956,-9999,-9999,-9999,-9999
4875,4597.753,-501.605,204.801,103.568,8.72,47.246,0.043,2.76,1201.173,708.596,-9999,-9999,-9999,-9999
4875.125,4597.813,-501.706,204.845,100.193,8.702,47.067,0.107,2.766,1938.585,1086.367,-9999,-9999,-9999,-9999
4875.25,4597.872,-501.806,204.889,98.983,8.7,47.001,0.198,2.766,2159.634,1191.764,-9999,-9999,-9999,-9999
4875.375,4597.932,-501.907,204.934,97.764,8.73,46.874,0.452,2.76,2180.598,1173.51,-9999,-9999,-9999,-9999
4875.5,4597.992,-502.007,204.978,99.205,8.796,46.711,0.825,2.756,1967.959,1039.307,-9999,-9999,-9999,-9999
4875.625,4598.051,-502.107,205.023,101.146,8.827,46.741,1.058,2.756,1891.623,994.56,-9999,-9999,-9999,-9999
4875.75,4598.111,-502.208,205.067,105.208,8.852,47.286,1.534,2.757,1766.956,927.456,-9999,-9999,-9999,-9999
4875.875,4598.17,-502.308,205.111,105.155,8.818,48.08,1.835,2.754,1613.596,845.96,-9999,-9999,-9999,-9999
4876,4598.23,-502.409,205.156,103.579,8.789,48.292,1.895,2.754,1544.769,807.733,-9999,-9999,-9999,-9999
4876.125,4598.29,-502.509,205.2,100.4,8.737,48.368,1.931,2.761,1470.339,762.485,-9999,-9999,-9999,-9999
4876.25,4598.35,-502.61,205.245,99.637,8.723,48.345,1.953,2.768,1463.235,755.957,-9999,-9999,-9999,-9999
4876.375,4598.409,-502.71,205.289,99.395,8.717,47.947,1.987,2.781,1470.712,756.67,-9999,-9999,-9999,-9999
4876.5,4598.469,-502.811,205.334,99.058,8.719,47.027,1.915,2.785,1470.717,755.011,-9999,-9999,-9999,-9999
4876.625,4598.528,-502.911,205.378,98.669,8.725,46.647,1.845,2.781,1464.926,750.489,-9999,-9999,-9999,-9999
4876.75,4598.588,-503.012,205.422,98.565,8.748,46.269,1.701,2.773,1445.788,733.626,-9999,-9999,-9999,-9999
4876.875,4598.648,-503.112,205.467,100.413,8.769,46.125,1.624,2.768,1434.128,713.687,-9999,-9999,-9999,-9999
4877,4598.708,-503.212,205.511,101.659,8.772,46.095,1.635,2.767,1439.89,708.071,-9999,-9999,-9999,-9999
4877.125,4598.767,-503.313,205.556,102.94,8.763,46.07,1.76,2.77,1475.779,711.396,-9999,-9999,-9999,-9999
4877.25,4598.827,-503.413,205.6,102.567,8.751,46.059,1.916,2.78,1518.627,725.366,-9999,-9999,-9999,-9999
