序号,井号,层位,取样日期,,取样部位,取样井段(m),"相对密度
",组份分析(%),,,,,,,,,,,,,,,,,压缩因子,热值(KJ/m3),"临界温度
(k)","临界压力
(MPa)",重烃(%)
#REF!,SY9,MK组,2017-05-17 00:00:00,,分离器,4549.00-4607.00,0.5792,96.684,0.13,0.002,0,0,0,0,0,1.773,32.67,0.568,8.15,0.047,0.779,0.017,0,0.21,0.998,36105,193.18,4.6666,0.132
#REF!,SY9,MK组,2017-08-17 00:00:00,,分离器,4549.00-4607.00,0.5784,96.824,0.131,0.003,0,0,0,0,0,1.686,31.067,0.586,8.41,0.027,0.723,0.011,0.009,0.12,0.998,36164,193.19,4.6665,0.134
#REF!,SY9,MK组,2017-11-12 00:00:00,,分离器,4549.00-4607.00,0.5802,96.569,0.133,0.084,0,0,0,0,0,1.815,33.444,0.563,8.07,0.068,0.756,0.012,0,0.31,0.998,36140,193.35,4.6668,0.217
#REF!,SY9,MK组,2018-05-29 00:00:00,,分离器,4549.00-4607.00,0.5821,96.038,0.137,0.012,0,0,0,0,0,1.78,32.799,0.57,8.2,0.04,1.408,0.013,0,0.18,0.9981,35880,192.84,4.6598,0.149
#REF!,SY9,MK组,2018-08-22 00:00:00,,分离器,4549.00-4607.00,0.5828,96.15,0.201,0,0,0,0,0,0,2.006,36.963,0.61,8.71,0,0.971,0.02,0,0,0.998,35961,193.47,4.6727,0.201
#REF!,SY9,MK组,2018-11-07 00:00:00,,分离器,4549.00-4607.00,0.5808,96.439,0.161,0.041,0,0,0,0,0,1.791,33.002,0.644,9.23,0,0.871,0.018,0,0,0.998,36089,193.41,4.6698,0.202
#REF!,SY9,MK组,2019-03-19 00:00:00,,分离器,4549.00-4607.00,0.5823,96.251,0.147,0.027,0,0,0,0,0,1.96,36.116,0.6,8.61,0.045,0.956,0.014,0,0.21,0.998,35987,193.41,4.6712,0.174
#REF!,SY9,MK组,2019-05-21 00:00:00,,分离器,4549.0-4607.5,0.5821,96.24,0.144,0,0,0,0,0,0,2.003,36.908,0.619,8.88,0.068,0.893,0.025,0.008,0.31,0.998,35961,193.41,4.6724,0.144
#REF!,SY9,MK组,2019-09-04 00:00:00,,分离器,4549.00-4607.00,0.5796,96.619,0.196,0,0,0,0,0,0,1.742,32.099,0.64,9.14,0.042,0.752,0.012,0,0.19,0.998,36139,193.38,4.6697,0.196
#REF!,SY9,MK组,2021/10/19,2021/10/21,分离器,4549.00-4607.00,0.5806,96.668,0.136,0,0,0,0,0,0,1.918,35.342,0.57,8.18,0,0.695,0.013,0,0,0.998,36102,193.5,4.6741,0.136
#REF!,SY9,MK组,2022/3/10,2022/3/11,分离器,4549.00-4607.00,0.5779,97.026,0.128,0,0,0,0,0,0,1.796,33.094,0.369,5.29,0,0.659,0.015,0.007,0,0.998,36183,192.99,4.6619,0.128
#REF!,SY13,MK组,2013-11-17 00:00:00,,分离器,4575.5~4684.5,0.5821,95.724,0.182,0,0,0,0,0,0,1.795,33.075,0.56,8.07,0.187,1.548,0.004,0,0.85,0.9981,35779,192.5,4.6517,0.182
#REF!,SY13,MK组,2013-11-28 00:00:00,,分离器,4575.5~4684.5,0.5781,96.723,0.145,0.005,0,0,0,0,0,1.662,30.625,0.44,6.33,0.055,0.954,0.016,0,0.25,0.9981,36102,192.72,4.6555,0.15
#REF!,SY13,MK组,2013-12-19 00:00:00,,分离器,4575.5~4684.5,0.5784,96.772,0.178,0.007,0,0,0,0,0,1.718,31.657,0.48,6.88,0.053,0.781,0.011,0,0.24,0.998,36153,193.02,4.6612,0.185
#REF!,SY13,MK组,2014-02-24 00:00:00,,分离器,4575.5~4684.5,0.577,97.011,0.14,0.005,0,0,0,0,0,1.653,30.459,0.43,6.16,0.047,0.703,0.011,0,0.21,0.998,36203,192.87,4.6583,0.145
#REF!,SY13,MK组,2014-03-21 00:00:00,,分离器,4575.5~4684.5,0.5781,96.879,0.165,0.008,0,0,0,0,0,1.707,31.454,0.52,7.46,0.043,0.672,0.006,0,0.2,0.998,36195,193.16,4.6646,0.173
#REF!,SY13,MK组,2014-04-23 00:00:00,,分离器,4575.5~4684.5,0.5775,96.587,0.152,0.007,0,0,0,0,0,1.485,27.363,0.52,7.47,0.098,1.142,0.009,0,0.45,0.9981,36076,192.48,4.6501,0.159
#REF!,SY13,MK组,2014-06-18 00:00:00,,分离器,4575.5~4684.5,0.5814,95.977,0.518,0.006,0,0,0,0,0,1.685,31.048,0.49,6.97,0.092,1.223,0.009,0,0.42,0.998,36081,193.03,4.6546,0.524
#REF!,SY13,MK组,2014-06-19 00:00:00,,分离器,4575.5~4684.5,0.5797,96.459,0.513,0.007,0,0,0,0,0,1.667,30.717,0.47,6.75,0.05,0.823,0.011,0,0.23,0.998,36253,193.3,4.6599,0.52
#REF!,SY13,MK组,2014-06-20 00:00:00,,分离器,4575.5~4684.5,0.5791,96.57,0.53,0.006,0,0,0,0,0,1.61,29.666,0.52,7.44,0.041,0.71,0.013,0,0.19,0.998,36316,193.43,4.6623,0.536
#REF!,SY13,MK组,2014-06-21 00:00:00,,分离器,4575.5~4684.5,0.5769,96.808,0.536,0.006,0,0,0,0,0,1.397,25.742,0.5,7.19,0.042,0.704,0.007,0,0.19,0.998,36403,193.17,4.6557,0.542
#REF!,SY13,MK组,2014-12-19 00:00:00,,分离器,4575.5~4684.5,0.5808,96.086,0.125,0.007,0,0,0,0,0,1.726,31.804,0.48,6.85,0.106,1.465,0.005,0,0.48,0.9981,35863,192.43,4.6508,0.132
#REF!,SY13,MK组,2015-04-27 00:00:00,,分离器,4575.5~4684.5,0.5844,96.135,0.159,0.007,0,0,0,0,0,2.267,41.773,0.56,8.01,0.038,0.826,0.008,0,0.17,0.998,35924,193.77,4.6802,0.166
#REF!,SY13,MK组,2015-12-13 00:00:00,,分离器,4575.50-4648.50,0.5785,96.568,0.14,0.053,0,0,0,0,0,1.51,27.824,0.54,7.76,0.051,1.13,0.008,0,0.23,0.9981,36109,192.71,4.6538,0.193
#REF!,SY13,MK组,2016-03-25 00:00:00,,分离器,4575.00-4648.50,0.5768,96.913,0.127,0.049,0,0,0,0,0,1.482,27.308,0.43,6.19,0.036,0.951,0.012,0,0.16,0.9981,36199,192.6,4.6509,0.176
#REF!,SY13,MK组,2017-08-16 00:00:00,,分离器,4575.00-4648.00,0.5794,96.801,0.192,0.019,0.022,0.026,0.007,0.003,0.034,1.6,29.482,0.607,8.7,0.035,0.635,0.017,0.002,0.16,0.998,36347,193.51,4.6648,0.303
#REF!,SY13,MK组,2018-03-19 00:00:00,,分离器,4575.50-4648.50,0.5822,96.527,0.138,0.004,0,0,0,0,0,2.084,38.401,0.61,8.75,0.01,0.624,0.003,0,0.05,0.998,36065,193.81,4.6812,0.142
#REF!,SY13,MK组,2018-05-28 00:00:00,,分离器,4575.50-4648.50,0.5787,96.461,0.142,0.019,0,0,0,0,0,1.474,27.16,0.6,8.53,0.039,1.252,0.018,0,0.18,0.9981,36052,192.64,4.6541,0.161
#REF!,SY13,MK组,2018-08-23 00:00:00,,分离器,4575.50-4648.50,0.5802,96.365,0.202,0,0,0,0,0,0,1.723,31.749,0.57,8.23,0,1.06,0.02,0,0,0.998,36033,193.01,4.6618,0.202
#REF!,SY13,MK组,2018-11-06 00:00:00,,分离器,4575.50-4648.50,0.5816,96.279,0.144,0.025,0,0,0,0,0,1.891,34.844,0.609,8.74,0,0.975,0.018,0,0,0.998,35995,193.3,4.6687,0.169
#REF!,SY13,MK组,2019-03-25 00:00:00,,分离器,4575.50-4648.50,0.586,95.9,0.116,0.048,0,0,0,0,0,2.327,42.878,0.635,9.11,0.044,0.917,0.013,0,0.2,0.998,35864,193.92,4.6834,0.164
#REF!,SY13,MK组,2019-05-29 00:00:00,,分离器,4775.50-4648.50,0.5798,96.527,0.142,0,0,0,0,0,0,1.8,33.167,0.617,8.85,0.079,0.818,0.017,0,0.36,0.998,36065,193.22,4.6676,0.142
#REF!,SY13,MK组,2019-09-05 00:00:00,,分离器,4575.50-4648.50,0.5843,96.143,0.152,0,0,0,0,0,0,2.25,41.459,0.625,8.96,0.035,0.778,0.017,0,0.16,0.998,35931,193.87,4.683,0.152
#REF!,SY13,MK组,2020-04-24 00:00:00,,分离器,4575.50-4648.50,0.5847,96.059,0.126,0,0,0,0,0,0,2.236,41.201,0.719,10.31,0.035,0.798,0.006,0.021,0.16,0.998,35907,193.97,4.6861,0.126
#REF!,SY13,MK组,2020-08-25 00:00:00,,分离器,/,0.5805,96.707,0.126,0,0,0,0,0,0,1.889,34.807,0.682,9.79,0,0.581,0.015,0,0,0.998,36137,193.73,4.6795,0.126
#REF!,SY13,MK组,2020-11-18 00:00:00,,分离器,4575.50-4648.50,0.5827,96.421,0.129,0,0,0,0,0,0,2.158,39.764,0.616,8.84,0.023,0.631,0.016,0.006,0.11,0.998,36018,193.83,4.6822,0.129
#REF!,SY13,MK组,2020-12-01 00:00:00,,分离器,4575.50-4648.50,0.5792,96.644,0.138,0.088,0,0,0,0,0,1.614,29.74,0.543,7.79,0.02,0.934,0.019,0,0.09,0.998,36169,193.06,4.6601,0.226
#REF!,SY13,MK组,2021-06-02 00:00:00,,分离器,4575.5-4648.5,0.584,96.294,0.118,0,0,0,0,0,0,2.241,41.294,0.639,9.17,0,0.691,0.015,0.002,0,0.998,35968,193.97,4.6859,0.118
#REF!,SY13,MK组,2021/10/19,2021/10/21,分离器,4575.50-4648.50,0.5865,95.945,0.124,0,0,0,0,0,0,2.44,44.96,0.724,10.39,0,0.725,0.015,0.027,0,0.998,35866,194.3,4.694,0.124
#REF!,SY13,MK组,2022/1/12,2022/1/13,分离器,4575.50-4648.50,0.5844,96.302,0.12,0,0,0,0,0,0,2.337,43.062,0.549,7.88,0,0.682,0.006,0.004,0,0.998,35952,193.93,4.685,0.12
#REF!,SY13,MK组,2022/5/16,2022/5/18,分离器,4575.50-4648.50,0.5852,96.112,0.106,0,0,0,0,0,0,2.226,41.017,0.899,12.9,0,0.641,0.013,0.003,0,0.998,35955,194.45,4.6976,0.106
#REF!,SY13,MK组,2022/11/4,2022/11/8,分离器,4547.50-4648.50,0.668406955250257,83.09107,0.115139150619507,0,0,0,0,0,0,7.63686584472656,140.719842357224,0.869,12.46,0,8.17487969398499,0.00732703685760498,0.105718674659729,4.4634245,0.998047152017746,31125.8794020933,195.628273188194,4.75445874924675,0.115139150619507
#REF!,SY101,MK组,2013-11-07 00:00:00,,分离器,4596.0~4645.0,0.5844,95.789,0.143,0.008,0,0,0,0,0,2.12,39.064,0.62,8.91,0.11,1.199,0.011,0,0.5,0.998,35799,193.31,4.6708,
#REF!,SY101,MK组,2014-07-23 00:00:00,,分离器,4596.0~4645.0,0.5862,95.514,0.529,0.007,0,0,0,0,0,2.141,39.451,0.59,8.41,0.08,1.125,0.01,0.004,0.37,0.998,35942,193.82,4.6733,0.536
#REF!,SY101,MK组,2014-09-05 00:00:00,,分离器,4596.0~4645.0,0.5859,95.396,0.566,0,0,0,0,0,0,1.945,35.829,0.72,10.39,0.066,1.29,0.17,0,0.3,0.998,35945,193.79,4.6723,0.566
#REF!,SY101,MK组,2015-04-22 00:00:00,,分离器,4596.0-4645.0,0.5869,95.87,0.175,0.004,0,0,0,0,0,2.493,45.937,0.55,7.94,0.027,0.873,0.008,0,0.12,0.998,35831,194.01,4.686,0.179
#REF!,SY101,MK组,2015-06-27 00:00:00,,分离器,4596.0-4645.0,0.5792,96.855,0.123,0.004,0,0,0,0,0,1.837,33.849,0.58,8.3,0.025,0.566,0.01,0,0.11,0.998,36169,193.46,4.6727,0.127
#REF!,SY101,MK组,2015-12-12 00:00:00,,分离器,4685.00-4700.00,0.5788,96.623,0.128,0.138,0,0,0,0,0,1.468,27.05,0.61,8.74,0.034,0.99,0.009,0,0.16,0.998,36217,193.05,4.6578,0.266
#REF!,SY101,MK组,2016-03-23 00:00:00,,分离器,4596.00-4645.00,0.577,96.763,0.121,0.049,0,0,0,0,0,1.359,25.041,0.68,9.8,0.049,0.959,0.02,0,0.22,0.998,36198,192.86,4.6575,0.17
#REF!,SY101,MK组,2016-10-23 00:00:00,,分离器,4685.00-4700.00,0.5816,96.254,0.135,0.05,0,0,0,0,0,1.893,34.881,0.59,8.4,0.089,0.972,0.017,0,0.41,0.998,35999,193.24,4.6665,0.185
#REF!,SY101,MK组,2016-12-09 00:00:00,,分离器,4685.00-4700.00,0.5805,96.305,0.137,0.002,0,0,0,0,0,1.784,32.873,0.64,9.25,0.099,1.013,0.017,0.003,0.45,0.998,35986,193.08,4.6648,0.139
#REF!,SY101,MK组,2017-06-13 00:00:00,,分离器,4685.00-4700.00,0.5818,96.347,0.148,0.073,0,0,0,0,0,1.882,34.678,0.629,9.02,0.049,0.859,0.013,0,0.22,0.998,36072,193.51,4.6712,0.221
#REF!,SY101,MK组,2018-03-20 00:00:00,,分离器,4596.00-4645.00,0.5834,96.367,0.139,0.004,0,0,0,0,0,2.174,40.059,0.669,9.59,0.013,0.631,0.003,0,0.06,0.998,36020,194.02,4.686,0.143
#REF!,SY101,MK组,2018-11-09 00:00:00,,分离器,4596.00-4645.00,0.5807,96.377,0.136,0.014,0,0,0,0,0,1.774,32.688,0.658,9.44,0,0.973,0.02,0.014,0,0.998,36029,193.25,4.6683,0.15
#REF!,SY101,MK组,2019-03-18 00:00:00,,分离器,4596.00-4645.00,0.5826,96.038,0.144,0.01,0,0,0,0,0,1.921,35.397,0.65,9.38,0.083,1.139,0.012,0,0.38,0.998,35902,193.24,4.6687,0.154
#REF!,SY101,MK组,2019-09-24 00:00:00,,分离器,4596.00-4645.00,0.5809,96.501,0.162,0,0,0,0,0,0,1.911,35.213,0.66,9.42,0.05,0.705,0.014,0,0.23,0.998,36078,193.58,4.6753,0.162
#REF!,SY101,MK组,2020-06-11 00:00:00,,分离器,4596.00-4645.00,0.5819,96.298,0.15,0,0,0,0,0,0,1.942,35.784,0.645,9.25,0.049,0.904,0.012,0,0.22,0.998,35992,193.46,4.6733,0.15
#REF!,SY101,MK组,2020-08-25 00:00:00,,分离器,4596.00-4645.00,0.5824,96.501,0.131,0,0,0,0,0,0,2.061,37.977,0.738,10.59,0,0.552,0.013,0.004,0,0.998,36077,194.05,4.687,0.131
#REF!,SY101,MK组,2020-10-23 00:00:00,,分离器,4596.00-4645.00,0.5802,96.725,0.153,0,0,0,0,0,0,1.932,35.6,0.647,9.28,0.042,0.491,0.01,0,0.19,0.998,36153,193.73,4.6785,0.153
#REF!,SY101,MK组,2020-11-18 00:00:00,,分离器,/,0.5816,96.629,0.135,0,0,0,0,0,0,2.047,37.719,0.658,9.44,0,0.516,0.015,0,0,0.998,36108,193.92,4.6836,0.135
#REF!,SY101,MK组,2021-06-02 00:00:00,,分离器,/-/,0.5806,96.722,0.134,0,0,0,0,0,0,1.993,36.724,0.51,7.32,0,0.628,0.013,0,0,0.998,36107,193.52,4.6743,0.134
#REF!,SY101,MK组,2021/10/25,2021/10/26,分离器,4596.00-4646.00,0.5851,95.96,0.338,0.087,0.01,0.011,0,0,0,2.047,37.719,0.593,8.5,0,0.935,0.017,0.002,0,0.998,36083,193.96,4.6756,0.446
#REF!,SY101,MK组,2022/3/16,2022/3/17,分离器,4596.00-4645.00,0.5805,96.739,0.132,0,0,0,0,0,0,1.988,36.632,0.512,7.77,0,0.613,0.009,0.007,0,0.998,36113,193.52,4.6743,0.132
#REF!,SY101,MK组,2022/6/15,2022/6/15,分离器,4596.00-4645.00,0.5809,96.659,0.131,0,0,0,0,0,0,1.949,35.913,0.641,9.2,0,0.605,0.015,0,0,0.998,36112,193.72,4.6791,0.131
#REF!,SY101,MK组,2022/11/10,2022/11/11,分离器,4596.00-4645.00,0.584194764680449,96.247,0.138,0,0,0,0,0,0,2.131,39.2666298138935,0.872,12.5,0,0.604,0.008,0,0,0.998009508556474,36018.7959852147,194.3642673,4.6945443990343,0.138
#REF!,SY102,MK组,2017-08-11 00:00:00,,分离器,4627.00-4680.00,0.5776,97.274,0.135,0,0,0,0,0,0,1.964,36.189,0.545,7.86,0.066,0,0.016,0,0.3,0.998,36321,193.82,4.6795,0.135
#REF!,SY102,MK组,2018-05-14 00:00:00,,分离器,4627.00-4680.00,0.5841,94.957,0.142,0.02,0,0,0,0,0,1.398,25.76,1.2,17.15,0.213,2.059,0.015,0,0.97,0.998,35636,192.81,4.6608,0.162
#REF!,SY102,MK组,2018-08-06 00:00:00,,分离器,4627.00-4680.00,0.5833,95.96,0.185,0,0,0,0,0,0,1.874,34.531,0.89,12.71,0,1.014,0.013,0,0,0.998,35946,193.75,4.6799,0.185
#REF!,SY102,MK组,2019-03-19 00:00:00,,分离器,4627.004680.00,0.5811,96.253,0.127,0,0,0,0,0,0,1.825,33.628,0.71,10.16,0.096,0.971,0.019,0,0.44,0.998,35975,193.27,4.6696,0.127
#REF!,SY102,MK组,2019-07-10 00:00:00,,分离器,4627.00-4680.00,0.58,96.615,0.141,0,0,0,0,0,0,1.823,33.591,0.66,9.46,0.037,0.701,0.019,0.004,0.17,0.998,36107,193.47,4.6733,0.141
#REF!,SY102,MK组,2019-07-10 00:00:00,,分离器,4627.00-4680.00,0.58,96.615,0.141,0,0,0,0,0,0,1.823,33.591,0.66,9.46,0.037,0.701,0.019,0.004,0.17,0.998,36107,193.47,4.6733,0.141
#REF!,SY102,MK组,2019-09-25 00:00:00,,分离器,4627.00-4680.00,0.5798,96.66,0.147,0,0,0,0,0,0,1.784,32.873,0.66,9.44,0.027,0.709,0.015,0,0.12,0.998,36127,193.46,4.6728,0.147
#REF!,SY102,MK组,2020-09-24 00:00:00,,分离器,/,0.5819,96.594,0.131,0,0,0,0,0,0,2.048,37.737,0.684,9.82,0,0.537,0.006,0,0,0.998,36099,193.96,4.6848,0.131
#REF!,SY102,MK组,2020-11-18 00:00:00,,分离器,/,0.583,96.028,0.124,0,0,0,0,0,0,2.002,36.89,0.618,8.86,0.085,1.137,0.006,0,0.39,0.998,35868,193.24,4.6695,0.124
#REF!,SY102,MK组,2021-06-03 00:00:00,,分离器,/-/,0.5847,95.336,0.127,0,0,0,0,0,0,1.921,35.397,0.596,8.55,0.145,1.857,0.016,0.002,0.66,0.9981,35607,192.51,4.6544,0.127
#REF!,SY116,MK组,2019-03-28 00:00:00,,分离器,4641.00-4680.00,0.5839,96.072,0.14,0,0,0,0,0,0,2.11,38.88,0.796,11.41,0.068,0.799,0.015,0,0.31,0.998,35937,193.94,4.6849,0.14
#REF!,SY116,MK组,2017-12-29 00:00:00,,分离器,4641.00-4680.00,0.5863,95.802,0.214,0.022,0,0,0,0,0,2.368,43.634,0.651,9.34,0.081,0.857,0.003,0.002,0.37,0.998,35872,194.04,4.6849,0.236
#REF!,SY116,MK组,2018-12-18 00:00:00,,分离器,4641.00-4680.00,0.5815,96.337,0.15,0,0,0,0,0,0,1.894,34.9,0.79,11.27,0.085,0.735,0.013,0,0.39,0.998,36039,193.7,4.6785,0.15
#REF!,SY116,MK组,2019-07-11 00:00:00,,分离器,4640.00-4680.00,0.582,96.096,0.153,0,0,0,0,0,0,1.844,33.978,0.741,10.63,0.086,1.064,0.016,0,0.39,0.998,35941,193.34,4.6711,0.153
#REF!,SY116,MK组,2020-06-10 00:00:00,,分离器,4640.00-4680.00,0.5838,96.072,0.159,0.023,0,0,0,0,0,2.038,37.553,0.681,9.77,0.033,0.983,0.011,0,0.15,0.998,35943,193.66,4.6773,0.182
#REF!,SY116,MK组,2020-08-25 00:00:00,,分离器,4641.00-4680.00,0.5842,96.373,0.168,0,0,0,0,0,0,2.263,41.699,0.776,11.13,0,0.411,0.009,0,0,0.998,36063,194.5,4.6964,0.168
#REF!,SY116,MK组,2020-10-23 00:00:00,,分离器,4641.00-4680.00,0.5834,96.187,0.157,0,0,0,0,0,0,2.085,38.419,0.727,10.43,0.044,0.786,0.014,0,0.2,0.998,35974,193.86,4.6825,0.157
#REF!,SY116,MK组,2020-11-20 00:00:00,,分离器,/,0.5828,96.537,0.142,0,0,0,0,0,0,2.219,40.888,0.568,8.15,0,0.522,0.012,0,0,0.998,36057,193.96,4.6845,0.142
#REF!,SY116,MK组,2021-01-29 00:00:00,,分离器,4641.00-4680.00,0.5851,96.293,0.165,0,0,0,0,0,0,2.46,45.329,0.546,7.83,0,0.524,0.012,0,0,0.998,35977,194.22,4.6903,0.165
#REF!,SY116,MK组,2022/3/11,2022/3/14,分离器,4641.00-4680.00,0.5838,96.337,0.149,0,0,0,0,0,0,2.18,40.17,0.753,10.8,0,0.566,0.008,0.007,0,0.998,36032,194.23,4.6909,0.149
#REF!,SY201,MK组,2014-08-15 00:00:00,,分离器,4547.0-4608.5,0.5823,96.163,0.504,0.012,0,0,0,0,0,1.836,33.831,0.63,9.04,0.04,0.807,0.008,0,0.18,0.998,36180,193.82,4.6724,0.516
#REF!,SY201,MK组,2015-11-16 00:00:00,,分离器,4574.00-/,0.576,96.38,0.147,0,0,0,0,0,0,1.776,32.725,0.73,10.4,0.08,0.874,0.013,0,0.37,0.9981,36139,192.04,4.6392,0.147
#REF!,SY201,MK组,2015-12-12 00:00:00,,分离器,4574.00-/,0.5786,96.546,0.128,0,0,0,0,0,0,1.575,29.022,0.69,9.86,0.083,0.968,0.01,0,0.38,0.998,36079,192.99,4.6628,0.128
#REF!,SY201,MK组,2016-03-24 00:00:00,,分离器,4574.00-/,0.5786,96.795,0.123,0.052,0,0,0,0,0,1.656,30.514,0.6,8.63,0.028,0.726,0.02,0,0.13,0.998,36196,193.25,4.666,0.175
#REF!,SY201,MK组,2016-10-23 00:00:00,,分离器,4574-/,0.5787,96.272,0.129,0,0,0,0,0,0,1.579,29.095,0.62,8.93,0.173,1.21,0.017,0,0.79,0.9981,35962,192.53,4.6525,0.129
#REF!,SY201,MK组,2016-12-08 00:00:00,,分离器,4574.00-/,0.579,96.652,0.135,0.043,0,0,0,0,0,1.677,30.901,0.58,8.31,0.057,0.844,0.012,0,0.26,0.998,36137,193.12,4.6633,0.178
#REF!,SY201,MK组,2017-06-13 00:00:00,,分离器,4574.00-/,0.58,96.556,0.132,0,0,0,0,0,0,1.871,34.476,0.492,7.06,0.062,0.874,0.013,0,0.28,0.998,36039,193.07,4.6643,0.132
#REF!,SY201,MK组,2017-09-27 00:00:00,,分离器,4574.00-/,0.5794,96.505,0.129,0.085,0,0,0,0,0,1.726,31.804,0.494,7.08,0.117,0.937,0.007,0,0.53,0.998,36098,192.92,4.657,0.214
#REF!,SY201,MK组,2017-11-20 00:00:00,,分离器,4574.00-/,0.5768,96.6,0.131,0.084,0,0,0,0,0,1.415,26.073,0.509,7.3,0.168,1.079,0.014,0,0.77,0.9981,36136,192.39,4.6447,0.215
