Depth,TVD,DX,DY,PERM,POR,SW,AC,CAL,CNL,DEN,GR,KTH,PE,RT,RXO,SH
4504.625,4502.842,57.773,-58.669,0.181,3.266,62.473,50.893,8.945,9.431,2.765,33.007,22.361,-9999,60.226,41.114,5.619
4504.75,4502.967,57.778,-58.671,0.144,3.047,65.735,50.36,8.945,8.748,2.76,31.294,21.089,-9999,61.113,42.857,5
4504.875,4503.092,57.782,-58.673,0.064,2.396,83.316,49.858,8.946,8.225,2.758,33.241,21.98,-9999,58.809,42.079,5.432
4505,4503.217,57.786,-58.675,0.012,1.465,100,49.638,8.95,7.823,2.759,38.605,24.067,-9999,55.494,40.026,6.466
4505.125,4503.341,57.791,-58.677,0.001,0.731,100,49.653,8.963,7.765,2.763,44.293,25.929,-9999,53.153,38.262,7.411
4505.25,4503.466,57.795,-58.679,0.001,0.634,100,49.765,8.98,8.188,2.763,45.951,26.44,-9999,52.311,37.688,7.674
4505.375,4503.591,57.799,-58.681,0.008,1.266,100,49.941,8.991,8.832,2.759,43.112,25.494,-9999,52.532,38.159,7.188
4505.5,4503.716,57.803,-58.682,0.042,2.109,99.138,50.294,8.986,9.174,2.756,39.077,23.829,-9999,53.649,39.423,6.346
4505.625,4503.841,57.808,-58.684,0.08,2.564,81.333,50.596,8.976,9.039,2.755,37.596,23.017,-9999,55.589,41.263,5.942
4505.75,4503.966,57.812,-58.686,0.072,2.479,82.132,50.596,8.967,8.672,2.755,38.526,23.202,-9999,58.096,43.582,6.034
4505.875,4504.091,57.816,-58.688,0.052,2.246,87.972,50.739,8.957,8.288,2.754,38.846,23.216,-9999,60.86,46.26,6.041
4506,4504.216,57.821,-58.69,0.068,2.437,79.536,50.751,8.948,8.153,2.75,36.451,21.548,-9999,64.128,49.495,5.222
4506.125,4504.341,57.825,-58.692,0.214,3.432,56.098,50.737,8.942,8.654,2.745,31.817,18.55,-9999,68.328,53.634,3.792
4506.25,4504.466,57.829,-58.694,0.703,4.887,39.126,50.809,8.946,9.911,2.739,27.31,15.758,-9999,72.444,57.946,2.509
4506.375,4504.591,57.834,-58.696,1.588,6.229,30.782,51.082,8.958,11.273,2.734,24.968,14.404,-9999,73.515,60.045,1.902
4506.5,4504.715,57.838,-58.698,2.026,6.697,29.566,51.505,8.984,11.973,2.73,26.066,15.23,-9999,68.17,56.964,2.271
4506.625,4504.84,57.842,-58.7,1.543,6.176,34.401,51.905,9.021,11.962,2.732,31.737,19.408,-9999,57.169,48.703,4.196
4506.75,4504.965,57.847,-58.701,0.466,4.326,53.688,52.326,9.055,11.808,2.739,42.3,27.534,-9999,45.246,38.873,8.243
4506.875,4505.09,57.851,-58.703,0.008,1.269,100,52.882,9.074,11.691,2.747,55.453,37.513,-9999,37.234,31.642,13.815
4507,4505.215,57.855,-58.705,0,0.1,100,53.202,9.079,11.515,2.752,63.449,43.254,-9999,34.445,28.66,17.353
4507.125,4505.34,57.86,-58.707,0,0.1,100,53.2,9.081,11.279,2.75,61.747,41.478,-9999,36.529,29.69,16.231
4507.25,4505.465,57.864,-58.709,0.001,0.719,100,53.035,9.083,10.815,2.739,51.286,33.999,-9999,45.069,35.705,11.772
4507.375,4505.59,57.868,-58.711,0.077,2.529,82.306,52.313,9.084,10.124,2.719,40.254,27.126,-9999,58.563,45.514,8.03
4507.5,4505.715,57.873,-58.713,0.121,2.896,64.441,51.324,9.09,9.401,2.668,32.844,23.309,-9999,73.177,56.181,6.087
4507.625,4505.84,57.877,-58.715,0.096,2.707,63.442,50.353,9.097,8.842,2.635,29.017,21.254,-9999,83.591,63.62,5.079
4507.75,4505.965,57.881,-58.717,0.079,2.549,64.986,50.035,9.094,8.422,2.624,27.137,20.167,-9999,87.347,66.231,4.557
4507.875,4506.089,57.886,-58.718,0.059,2.337,71.329,50.272,9.072,8.095,2.627,27.322,20.415,-9999,83.851,63.849,4.675
4508,4506.214,57.89,-58.72,0.031,1.94,89.048,50.56,9.039,7.827,2.639,30.236,22.427,-9999,74.816,57.564,5.651
4508.125,4506.339,57.894,-58.722,0.006,1.194,100,50.854,9.013,7.507,2.657,36.054,25.753,-9999,64.324,49.912,7.32
4508.25,4506.464,57.899,-58.724,0,0.421,100,51.124,8.999,7.213,2.672,44.149,29.833,-9999,56.644,43.888,9.465
4508.375,4506.589,57.903,-58.726,0,0.084,100,51.143,8.998,7.24,2.678,50.801,33.107,-9999,53.73,41.185,11.268
4508.5,4506.714,57.907,-58.728,0,0.083,100,51.132,9.011,7.594,2.679,51.841,33.56,-9999,55.059,41.613,11.524
4508.625,4506.839,57.912,-58.73,0,0.084,100,50.984,9.05,7.89,2.678,45.556,29.79,-9999,59.292,44.46,9.442
4508.75,4506.964,57.916,-58.732,0.003,0.925,100,50.748,9.106,7.609,2.678,37.799,25.125,-9999,63.461,47.86,7
4508.875,4507.089,57.92,-58.734,0.008,1.271,100,50.666,9.17,6.817,2.676,34.264,23.052,-9999,65.638,50.408,5.96
4509,4507.214,57.925,-58.735,0.001,0.754,100,50.735,9.22,6.139,2.674,37.028,24.915,-9999,64.948,51.019,6.893
4509.125,4507.338,57.929,-58.737,0,0.001,100,51.172,9.247,5.839,2.673,40.903,27.485,-9999,63.005,50.342,8.217
4509.25,4507.463,57.933,-58.739,0,0.001,100,52.034,9.246,5.905,2.675,42.177,28.566,-9999,60.976,49.14,8.787
4509.375,4507.588,57.938,-58.741,0,0.035,100,52.907,9.214,6.248,2.677,41.066,28.166,-9999,58.473,47.476,8.576
4509.5,4507.713,57.942,-58.743,0.001,0.656,100,53.873,9.171,6.895,2.678,41.42,28.649,-9999,54.051,44.504,8.831
4509.625,4507.838,57.946,-58.745,0.027,1.845,100,55.25,9.138,8.066,2.682,46.891,33.024,-9999,47.051,39.537,11.222
4509.75,4507.963,57.95,-58.747,0,0.098,100,55.963,9.131,9.744,2.694,58.44,41.95,-9999,39.491,33.709,16.526
4509.875,4508.088,57.955,-58.749,0,0.1,100,56.873,9.146,11.378,2.7,72.799,52.333,-9999,33.901,28.926,23.497
4510,4508.213,57.959,-58.751,0,0.1,100,57.707,9.151,12.012,2.707,83.058,58.879,-9999,31.885,26.649,28.384
4510.125,4508.338,57.963,-58.752,0,0.1,100,57.403,9.123,11.314,2.729,82.462,58.291,-9999,33.012,26.874,27.928
4510.25,4508.463,57.968,-58.754,0,0.1,100,56.811,9.071,9.875,2.756,71.438,50.341,-9999,36.649,29.268,22.088
4510.375,4508.588,57.972,-58.756,0,0.078,100,55.221,9.024,8.513,2.774,55.958,37.269,-9999,42.125,33.388,13.67
4510.5,4508.712,57.976,-58.758,0.081,2.572,88.451,53.319,8.998,7.679,2.779,44.535,26.696,-9999,47.295,37.45,7.806
4510.625,4508.837,57.981,-58.76,0.071,2.47,88.292,51.799,8.987,7.453,2.775,39.908,22.175,-9999,50.738,40.151,5.528
4510.75,4508.962,57.985,-58.762,0.054,2.278,93.509,51.163,8.981,7.634,2.77,40.097,22.018,-9999,52.131,41.066,5.451
4510.875,4509.087,57.989,-58.764,0.032,1.946,100,50.728,8.97,7.769,2.769,40.381,22.629,-9999,53.324,41.563,5.751
4511,4509.212,57.994,-58.766,0.023,1.761,100,50.547,8.957,7.677,2.772,39.206,23.124,-9999,55.981,42.892,5.995
4511.125,4509.337,57.998,-58.768,0.011,1.427,100,50.672,8.953,7.468,2.773,37.787,23.76,-9999,60.599,45.569,6.312
4511.25,4509.462,58.002,-58.77,0.006,1.171,100,50.866,8.963,7.345,2.767,37.803,24.696,-9999,66.011,48.954,6.782
4511.375,4509.587,58.007,-58.771,0.002,0.842,100,51.267,8.974,7.473,2.756,39.876,27.246,-9999,70.458,51.958,8.092
4511.5,4509.712,58.011,-58.773,0,0.402,100,51.967,8.966,7.874,2.745,43.611,31.033,-9999,72,53.191,10.117
4511.625,4509.837,58.015,-58.775,0,0.082,100,52.214,8.943,8.459,2.738,48.902,35.343,-9999,70.248,52.171,12.543
4511.75,4509.962,58.02,-58.777,0,0.08,100,52.395,8.924,9.142,2.735,55.277,39.544,-9999,66.525,49.606,15.037
4511.875,4510.086,58.024,-58.779,0,0.1,100,52.364,8.925,9.717,2.734,59.963,42.497,-9999,63.852,47.633,16.871
4512,4510.211,58.028,-58.781,0,0.1,100,52.216,8.936,10.205,2.734,60.492,43.037,-9999,63.543,47.318,17.214
4512.125,4510.336,58.033,-58.783,0,0.1,100,52.118,8.938,10.907,2.738,53.41,42.085,-9999,65.435,48.64,16.611
4512.25,4510.461,58.037,-58.785,0,0.1,100,52.025,8.93,11.035,2.743,47.379,39.838,-9999,68.364,50.658,15.217
4512.375,4510.586,58.041,-58.787,0,0.1,100,51.933,8.92,10.273,2.746,46.819,39.908,-9999,71.872,52.991,15.26
4512.5,4510.711,58.046,-58.788,0,0.1,100,51.896,8.914,9.178,2.751,49.25,41.87,-9999,75.038,55.171,16.476
4512.625,4510.836,58.05,-58.79,0,0.1,100,51.879,8.91,8.537,2.757,50.339,42.618,-9999,77.098,56.809,16.948
4512.75,4510.961,58.054,-58.792,0,0.079,100,52.16,8.905,8.645,2.763,47.376,38.853,-9999,78.21,57.974,14.618
4512.875,4511.086,58.059,-58.794,0,0.081,100,52.448,8.896,9.047,2.765,42.643,33.068,-9999,79.579,59.374,11.246
4513,4511.211,58.063,-58.796,0.01,1.385,100,52.803,8.883,9.155,2.765,40.45,29.705,-9999,81.137,60.971,9.396
4513.125,4511.336,58.067,-58.798,0.018,1.634,100,53.441,8.87,8.787,2.759,42.887,29.69,-9999,81.489,61.79,9.388
4513.25,4511.46,58.072,-58.8,0.007,1.264,100,54.289,8.867,8.189,2.743,47.219,30.604,-9999,79.797,61.089,9.883
4513.375,4511.585,58.076,-58.802,0.001,0.691,100,55.119,8.877,7.478,2.718,50.745,31.769,-9999,76.894,59.28,10.522
4513.5,4511.71,58.08,-58.804,0,0.106,100,55.575,8.889,6.693,2.694,52.541,32.779,-9999,74.188,57.462,11.084
4513.625,4511.835,58.085,-58.805,0,0.001,100,55.785,8.894,6.036,2.678,53.583,33.136,-9999,72.303,56.437,11.284
4513.75,4511.96,58.089,-58.807,0,0.001,100,56.209,8.889,5.72,2.671,54.556,33.472,-9999,71.178,56.318,11.474
4513.875,4512.085,58.093,-58.809,0,0.001,100,56.402,8.881,5.821,2.671,55.387,33.804,-9999,70.325,56.736,11.662
4514,4512.21,58.097,-58.811,0,0.001,100,56.586,8.875,6.097,2.67,56.051,34.048,-9999,68.774,56.777,11.8
4514.125,4512.335,58.102,-58.813,0,0.001,100,57.102,8.873,6.293,2.664,57.143,34.267,-9999,66.042,55.872,11.925
4514.25,4512.46,58.106,-58.815,0,0.001,100,57.357,8.868,6.362,2.655,59.882,35.687,-9999,62.529,54.12,12.742
4514.375,4512.585,58.11,-58.817,0,0.083,100,57.623,8.861,6.542,2.646,64.646,39.757,-9999,59.011,52.024,15.167
4514.5,4512.71,58.115,-58.819,0,0.078,100,57.986,8.855,7.078,2.639,71.056,46.869,-9999,55.708,49.742,19.715
4514.625,4512.834,58.119,-58.821,0,0.1,100,58.335,8.855,7.909,2.637,77.001,53.827,-9999,52.656,47.414,24.577
4514.75,4512.959,58.123,-58.822,0,0.1,100,58.456,8.863,8.765,2.644,80.778,58.352,-9999,50.049,45.342,27.975
4514.875,4513.084,58.128,-58.824,0,0.1,100,58.292,8.879,9.355,2.655,81.743,60.327,-9999,48.022,43.732,29.521
4515,4513.209,58.132,-58.826,0,0.1,100,58.23,8.906,9.58,2.674,81.513,61.366,-9999,46.739,42.613,30.349
4515.125,4513.334,58.136,-58.828,0,0.1,100,57.659,8.942,9.563,2.7,80.576,61.784,-9999,46.816,42.317,30.685
4515.25,4513.459,58.141,-58.83,0,0.1,100,57.138,8.977,9.562,2.726,76.284,59.896,-9999,49.792,43.862,29.18
4515.375,4513.584,58.145,-58.832,0,0.1,100,56.581,8.99,9.664,2.741,66.631,54.178,-9999,56.337,47.717,24.834
4515.5,4513.709,58.149,-58.834,0,0.1,100,54.934,8.969,9.669,2.744,52.82,43.515,-9999,67.432,54.562,17.52
4515.625,4513.834,58.154,-58.836,0.001,0.722,100,54.2,8.919,9.236,2.736,39.949,31.865,-9999,84.274,65.528,10.575
4515.75,4513.959,58.158,-58.838,0.081,2.572,60.186,53.453,8.869,8.408,2.725,32.305,24.597,-9999,104.79,79.386,6.732
4515.875,4514.084,58.162,-58.84,0.064,2.393,58.432,52.511,8.837,7.422,2.718,30.529,22.669,-9999,125.953,93.721,5.771
4516,4514.208,58.167,-58.841,0.016,1.579,79.728,51.346,8.824,6.646,2.722,31.672,22.704,-9999,145.33,106.113,5.788
4516.125,4514.333,58.171,-58.843,0.003,0.995,100,50.226,8.82,6.261,2.734,32.946,23.027,-9999,161.592,115.806,5.947
4516.25,4514.458,58.175,-58.845,0.001,0.776,100,49.44,8.82,6.213,2.749,33.771,23.289,-9999,172.498,122.039,6.077
4516.375,4514.583,58.18,-58.847,0,0.283,100,49.2,8.825,6.179,2.758,35.249,24.144,-9999,176.669,124.398,6.504
4516.5,4514.708,58.184,-58.849,0,0.001,100,48.43,8.835,6.004,2.758,37.398,25.502,-9999,175.1,123.478,7.192
4516.625,4514.833,58.188,-58.851,0,0.001,100,48.218,8.852,5.774,2.751,38.733,26.381,-9999,170.717,121.05,7.643
4516.75,4514.958,58.193,-58.853,0,0.001,100,48.357,8.871,5.641,2.742,38.525,26.169,-9999,167.643,119.512,7.534
4516.875,4515.083,58.197,-58.855,0,0.001,100,48.978,8.89,5.64,2.734,37.544,25.226,-9999,168.061,120.023,7.051
4517,4515.208,58.201,-58.857,0,0.118,100,49.493,8.904,5.822,2.729,36.944,24.42,-9999,172.042,122.594,6.643
4517.125,4515.333,58.206,-58.858,0,0.437,100,50.026,8.914,6.17,2.726,37.049,24.214,-9999,175.464,124.91,6.539
4517.25,4515.458,58.21,-58.86,0.001,0.749,100,50.649,8.918,6.51,2.721,37.999,24.609,-9999,174.906,124.886,6.738
4517.375,4515.583,58.214,-58.862,0.002,0.912,100,51.382,8.914,6.611,2.714,39.74,25.688,-9999,170.528,122.537,7.287
4517.5,4515.708,58.219,-58.864,0.001,0.662,100,51.962,8.906,6.456,2.707,41.729,27.318,-9999,165.162,119.574,8.13
4517.625,4515.833,58.223,-58.866,0,0.045,100,51.962,8.895,6.189,2.703,43.145,29.153,-9999,159.888,116.542,9.1
4517.75,4515.958,58.227,-58.868,0,0.001,100,52.374,8.886,5.991,2.706,43.808,30.562,-9999,154.606,113.238,9.86
4517.875,4516.083,58.232,-58.87,0,0.001,100,52.653,8.883,5.88,2.715,44.007,31.594,-9999,149.076,109.622,10.426
4518,4516.207,58.236,-58.872,0,0.001,100,52.806,8.883,5.917,2.725,43.809,32.256,-9999,142.068,104.976,10.792
4518.125,4516.332,58.24,-58.874,0,0.001,100,53.014,8.878,6.035,2.727,43.604,32.643,-9999,132.544,98.486,11.008
4518.25,4516.457,58.244,-58.875,0,0.001,100,53.079,8.865,6.071,2.721,43.617,32.831,-9999,121.58,90.825,11.113
4518.375,4516.582,58.249,-58.877,0,0.001,100,53.014,8.854,5.934,2.709,43.827,32.88,-9999,113.281,85.024,11.141
4518.5,4516.707,58.253,-58.879,0,0.001,100,52.885,8.85,5.758,2.7,44.212,32.917,-9999,110.213,83.063,11.162
4518.625,4516.832,58.257,-58.881,0,0.001,100,52.649,8.852,5.689,2.7,44.722,32.967,-9999,113.02,85.357,11.19
4518.75,4516.957,58.262,-58.883,0,0.001,100,52.071,8.852,5.761,2.713,44.783,32.647,-9999,121.586,91.978,11.01
4518.875,4517.082,58.266,-58.885,0,0.001,100,51.334,8.851,5.812,2.735,44.206,31.848,-9999,133.251,101.241,10.566
4519,4517.207,58.27,-58.887,0,0.001,100,51.334,8.848,5.706,2.758,43.459,30.877,-9999,143.956,110.039,10.032
4519.125,4517.332,58.275,-58.889,0,0.001,100,50.579,8.845,5.507,2.77,43.041,30.112,-9999,147.549,113.381,9.616
4519.25,4517.457,58.279,-58.891,0,0.001,100,49.927,8.843,5.429,2.779,42.729,29.439,-9999,141.755,109.227,9.253
4519.375,4517.581,58.283,-58.893,0,0.001,100,49.507,8.842,5.555,2.789,42.286,28.624,-9999,128.69,98.943,8.818
4519.5,4517.706,58.288,-58.894,0,0.001,100,48.893,8.846,5.73,2.804,41.764,27.736,-9999,115.959,88.278,8.349
4519.625,4517.831,58.292,-58.896,0,0.001,100,48.386,8.855,5.96,2.817,41.07,26.607,-9999,109.475,81.824,7.76
4519.75,4517.956,58.296,-58.898,0,0.001,100,48.035,8.868,6.233,2.822,39.372,24.417,-9999,112.935,82.367,6.642
4519.875,4518.081,58.301,-58.9,0,0.233,100,47.735,8.875,6.401,2.817,36.648,20.901,-9999,126.515,89.824,4.909
4520,4518.206,58.305,-58.902,0.004,1.025,100,47.45,8.873,6.172,2.808,33.696,17.157,-9999,150.384,104.448,3.146
4520.125,4518.331,58.309,-58.904,0.01,1.372,81.932,47.161,8.866,5.598,2.804,31.705,15.066,-9999,180.408,124.525,2.198
4520.25,4518.456,58.314,-58.906,0.006,1.212,85.382,47.062,8.861,5.114,2.804,30.978,14.658,-9999,205.738,142.947,2.015
4520.375,4518.581,58.318,-58.908,0.003,0.931,100,47.062,8.852,4.938,2.807,31.476,15.327,-9999,216.788,152.5,2.315
4520.5,4518.706,58.322,-58.91,0,0.543,100,47.135,8.836,5.035,2.807,32.847,17.357,-9999,210.469,149.884,3.238
4520.625,4518.83,58.327,-58.911,0,0.001,100,47.297,8.818,5.11,2.807,34.581,20.735,-9999,193.898,139.786,4.829
4520.75,4518.955,58.331,-58.913,0,0.001,100,47.399,8.802,5.35,2.808,36.18,24.219,-9999,173.219,126.678,6.542
4520.875,4519.08,58.335,-58.915,0,0.001,100,47.455,8.793,5.578,2.811,36.993,26.428,-9999,153.914,114.039,7.668
4521,4519.205,58.34,-58.917,0,0.001,100,47.467,8.789,5.814,2.814,37.061,27.66,-9999,139.099,103.759,8.309
4521.125,4519.33,58.344,-58.919,0,0.001,100,47.54,8.785,6.076,2.815,36.94,28.683,-9999,130.249,97.499,8.85
4521.25,4519.455,58.348,-58.921,0,0.001,100,47.652,8.785,6.32,2.815,37.118,29.658,-9999,125.398,94.755,9.371
4521.375,4519.58,58.353,-58.923,0,0.001,100,47.8,8.785,6.514,2.815,37.563,30.339,-9999,122.739,94.099,9.739
4521.5,4519.705,58.357,-58.925,0,0.001,100,48.099,8.785,6.613,2.817,38.223,30.638,-9999,121.246,94.166,9.902
4521.625,4519.83,58.361,-58.927,0,0.001,100,48.205,8.786,6.648,2.817,39.059,30.606,-9999,119.351,93.722,9.884
4521.75,4519.955,58.366,-58.928,0,0.001,100,48.448,8.786,6.681,2.815,40.253,30.58,-9999,115.308,91.614,9.87
4521.875,4520.08,58.37,-58.93,0,0.001,100,48.817,8.786,6.706,2.808,41.814,30.654,-9999,108.72,87.141,9.91
4522,4520.204,58.374,-58.932,0,0.001,100,49.189,8.786,6.773,2.801,43.593,30.862,-9999,102.341,82.086,10.024
4522.125,4520.329,58.379,-58.934,0,0.001,100,49.326,8.785,6.929,2.799,45.104,31.022,-9999,99.551,79.011,10.111
4522.25,4520.454,58.383,-58.936,0,0.001,100,49.273,8.785,7.174,2.801,44.998,30.537,-9999,103.662,80.33,9.847
4522.375,4520.579,58.387,-58.938,0,0.001,100,49.034,8.784,7.396,2.801,42.456,28.142,-9999,116.972,87.329,8.563
4522.5,4520.704,58.391,-58.94,0,0.46,100,48.816,8.78,7.37,2.793,37.807,23.622,-9999,145.221,103.264,6.243
4522.625,4520.829,58.396,-58.942,0.014,1.537,72.379,48.693,8.774,6.982,2.78,33.433,19.435,-9999,193.883,131.865,4.209
4522.75,4520.954,58.4,-58.944,0.025,1.818,53.116,48.611,8.767,6.428,2.767,30.941,17.513,-9999,260.732,172.272,3.31
4522.875,4521.079,58.404,-58.945,0.018,1.649,50.959,48.645,8.762,6.01,2.758,30.358,17.466,-9999,335.322,218.158,3.289
4523,4521.204,58.409,-58.947,0.013,1.505,50.467,48.694,8.76,5.904,2.754,30.125,17.632,-9999,396.205,255.85,3.365
4523.125,4521.329,58.413,-58.949,0.016,1.599,45.349,48.783,8.759,6.007,2.751,29.143,17.542,-9999,433.13,278.798,3.324
4523.25,4521.454,58.417,-58.951,0.023,1.756,40.731,48.876,8.759,6.12,2.748,27.409,17.26,-9999,445.159,287.151,3.194
4523.375,4521.578,58.422,-58.953,0.025,1.811,39.525,48.758,8.76,6.121,2.743,26.156,17.047,-9999,443.676,289.175,3.096
4523.5,4521.703,58.426,-58.955,0.018,1.651,43.602,48.602,8.76,6.056,2.739,26.136,17.253,-9999,431.21,286.707,3.191
4523.625,4521.828,58.43,-58.957,0.007,1.261,57.481,48.329,8.761,5.983,2.74,27.662,18.324,-9999,405.282,277.533,3.687
4523.75,4521.953,58.435,-58.959,0.001,0.662,100,48.143,8.761,5.877,2.745,30.033,19.797,-9999,366.889,260.537,4.38
4523.875,4522.078,58.439,-58.961,0,0.125,100,48.183,8.761,5.761,2.756,32.758,21.356,-9999,319.731,236.108,5.129
4524,4522.203,58.443,-58.963,0,0.001,100,48.362,8.762,5.724,2.769,35.945,23.332,-9999,271.518,207.646,6.099
4524.125,4522.328,58.448,-58.964,0,0.001,100,48.627,8.762,5.847,2.779,39.739,26.501,-9999,228.414,179.232,7.705
4524.25,4522.453,58.452,-58.966,0,0.001,100,49.185,8.763,6.194,2.783,43.795,30.735,-9999,193.651,153.982,9.955
4524.375,4522.578,58.456,-58.968,0,0.001,100,49.481,8.763,6.659,2.785,47.593,34.544,-9999,166.186,133.246,12.083
4524.5,4522.703,58.461,-58.97,0,0.083,100,49.96,8.765,7.132,2.788,51.091,37.097,-9999,145.306,117.45,13.568
4524.625,4522.828,58.465,-58.972,0,0.081,100,50.598,8.768,7.523,2.79,54.61,39.042,-9999,131.192,106.839,14.732
4524.75,4522.952,58.469,-58.974,0,0.08,100,51.074,8.772,7.896,2.791,56.979,40.185,-9999,122.898,100.288,15.43
4524.875,4523.077,58.474,-58.976,0,0.08,100,51.171,8.774,8.306,2.79,55.921,38.812,-9999,121.149,98.091,14.593
4525,4523.202,58.478,-58.978,0,0.082,100,51.044,8.772,8.63,2.787,50.426,33.713,-9999,128.715,102.383,11.61
4525.125,4523.327,58.483,-58.979,0.002,0.898,100,50.701,8.769,8.747,2.777,43.48,28.063,-9999,146.283,113.674,8.521
4525.25,4523.452,58.487,-58.98,0.031,1.928,60.311,50.258,8.769,8.587,2.762,37.41,24.064,-9999,178.859,134.698,6.464
