Depth,TVD,DX,DY,GR,KTH,CAL,AC,CNL,DEN,RT,RXO,SH,POR,PERM,sw
4507.25,4507.14,6.406,-20.179,64.805,44.821,8.669,51.372,6.297,2.749,187.064,168.859,18.807,0.1,0,100
4507.375,4507.265,6.405,-20.175,67.532,45.67,8.673,51.649,6.337,2.742,187.603,171.066,19.362,0.1,0,100
4507.5,4507.39,6.404,-20.172,68.855,45.812,8.675,52.014,6.369,2.74,188.454,173.497,19.456,0.1,0,100
4507.625,4507.515,6.403,-20.168,67.9,44.338,8.67,52.066,6.67,2.74,187.442,175.648,18.493,0.1,0,100
4507.75,4507.64,6.402,-20.165,67.591,43.805,8.664,52.305,7.033,2.741,182.737,172.898,18.149,0.1,0,100
4507.875,4507.765,6.4,-20.162,70.147,46.12,8.656,52.388,7.816,2.749,168.203,161.127,19.659,0.1,0,100
4508,4507.89,6.399,-20.158,72.801,48.892,8.653,52.509,8.412,2.761,155.619,149.91,21.526,0.1,0,100
4508.125,4508.015,6.398,-20.155,73.776,50.304,8.653,52.564,8.782,2.775,146.308,140.715,22.502,0.1,0,100
4508.25,4508.14,6.397,-20.151,71.456,49.607,8.652,52.547,9.011,2.791,137.794,131.114,22.018,0.1,0,100
4508.375,4508.265,6.396,-20.148,67.046,47.836,8.65,52.432,9.054,2.803,133.564,124.963,20.807,0.1,0,100
4508.5,4508.39,6.395,-20.145,63.581,46.365,8.648,52.399,8.93,2.803,135.672,125.047,19.822,0.1,0,100
4508.625,4508.515,6.393,-20.141,60.461,43.947,8.644,52.132,8.427,2.798,151.777,137.248,18.241,0.1,0,100
4508.75,4508.64,6.392,-20.138,59.959,42.544,8.64,51.955,8.135,2.797,164.861,148.564,17.345,0.1,0,100
4508.875,4508.765,6.391,-20.134,59.258,40.209,8.631,51.804,7.849,2.794,184.503,166.879,15.888,0.1,0,100
4509,4508.89,6.39,-20.131,58.897,38.6,8.623,51.753,7.736,2.789,194.401,177.1,14.909,0.1,0,100
4509.125,4509.015,6.389,-20.128,60.251,37.523,8.619,51.626,7.723,2.783,193.227,177.8,14.264,0.1,0,100
4509.25,4509.14,6.388,-20.124,63.58,36.106,8.619,51.606,7.825,2.779,183.002,170.174,13.429,0.1,0,100
4509.375,4509.265,6.387,-20.121,64.954,35.256,8.623,51.641,8.018,2.778,174.244,162.301,12.936,0.1,0,100
4509.5,4509.39,6.385,-20.118,62.48,34.513,8.632,51.736,8.499,2.77,162.596,151.055,12.508,0.1,0,100
4509.625,4509.515,6.384,-20.114,60.199,34.47,8.64,51.76,8.709,2.764,160.248,148.445,12.484,0.1,0,100
4509.75,4509.64,6.383,-20.111,59.824,35.432,8.649,51.89,8.792,2.763,161.473,149.125,13.038,0.1,0,100
4509.875,4509.765,6.382,-20.108,64.393,41.006,8.664,51.947,8.535,2.775,170.75,157.991,16.381,0.1,0,100
4510,4509.89,6.381,-20.104,68.644,45.753,8.67,52.095,8.156,2.781,179.482,167.247,19.417,0.1,0,100
4510.125,4510.015,6.38,-20.101,71.192,47.788,8.668,52.3,7.761,2.767,187.641,176.553,20.775,0.1,0,100
4510.25,4510.14,6.379,-20.098,73.372,48.12,8.66,52.437,7.398,2.732,199.248,188.862,21,0.1,0,100
4510.375,4510.265,6.378,-20.094,74.402,47.579,8.655,52.843,7.268,2.712,209.937,198.682,20.634,0.1,0,100
4510.5,4510.39,6.377,-20.091,74.311,45.426,8.649,52.933,6.93,2.709,231.854,219.264,19.202,0.1,0,100
4510.625,4510.515,6.375,-20.088,73.483,44.082,8.664,53.531,6.645,2.712,232.655,222.104,18.328,0.1,0,100
4510.75,4510.64,6.374,-20.085,74.861,44.955,8.813,53.956,6.39,2.687,205.048,199.776,18.894,0.1,0,100
4510.875,4510.765,6.373,-20.081,78.251,48.328,9.152,54.506,6.418,2.636,160.793,159.835,21.141,0.1,0,100
4511,4510.89,6.372,-20.078,79.604,50.569,9.633,55.355,6.83,2.595,126.773,125.852,22.687,0.1,0,100
4511.125,4511.015,6.371,-20.075,68.162,44.305,10.851,55.529,8.527,2.548,93.896,88.45,18.472,0.1,0,100
4511.25,4511.14,6.37,-20.071,55.241,35.804,11.523,56.323,9.762,2.533,91.723,82.758,13.253,0.1,0,100
4511.375,4511.265,6.369,-20.068,41.639,26.731,12.106,56.596,10.83,2.522,105.926,88.845,8.263,6.87,2.207,25.929
4511.5,4511.39,6.368,-20.065,25.039,15.143,12.934,56.876,11.558,2.517,246.131,170.93,2.658,8.885,5.235,14.383
4511.625,4511.515,6.367,-20.062,21.32,12.603,13.304,56.799,11.467,2.528,431.23,285.962,1.534,9.414,6.358,9.511
4511.75,4511.64,6.365,-20.058,18.88,10.638,13.658,56.552,11.213,2.546,749.014,497.027,0.689,9.429,6.393,7.475
4511.875,4511.765,6.364,-20.055,17.481,9.348,13.805,55.614,10.869,2.559,1029.259,696.905,0.145,9.064,5.598,6.811
4512,4511.89,6.363,-20.052,17.502,9.176,13.618,55.384,10.553,2.561,1141.12,790.793,0.073,8.258,4.094,7.099
4512.125,4512.015,6.362,-20.049,20.788,10.502,12.401,54.084,10.068,2.58,1205.476,854.055,0.631,7.314,2.723,7.877
4512.25,4512.14,6.361,-20.045,24.038,11.487,11.367,53.304,9.78,2.606,1204.699,851.208,1.052,6.673,2.001,8.65
4512.375,4512.265,6.36,-20.042,30.162,13.089,9.832,51.342,8.995,2.653,1102.238,775.229,1.746,5.911,1.332,10.136
4512.5,4512.39,6.359,-20.039,34.658,14.626,9.031,50.948,8.243,2.682,958.25,679.702,2.426,4.786,0.655,13.594
4512.625,4512.515,6.358,-20.036,38.066,16.626,8.769,49.064,7.58,2.699,787.089,576.516,3.331,3.454,0.219,21.104
4512.75,4512.64,6.357,-20.033,41.151,18.832,8.681,48.141,7.029,2.718,612.798,477.79,4.355,2.38,0.063,33.787
4512.875,4512.765,6.356,-20.029,41.652,19.312,8.682,47.486,6.917,2.732,566.27,455.357,4.582,1.69,0.02,50.003
4513,4512.89,6.355,-20.026,40.904,19.35,8.684,46.732,6.852,2.744,559.521,456.337,4.6,1.199,0.006,69.609
4513.125,4513.015,6.354,-20.023,36.583,19.271,8.681,46.663,6.519,2.76,633.63,511.967,4.562,0.748,0.001,100
4513.25,4513.14,6.352,-20.02,34.007,19.011,8.679,46.41,6.148,2.768,690.662,555.886,4.439,0.554,0,100
4513.375,4513.265,6.351,-20.016,33.023,19.205,8.676,46.363,5.509,2.778,747.293,605.898,4.531,0.246,0,100
4513.5,4513.39,6.35,-20.013,34.484,20.397,8.674,46.395,5.184,2.779,762.197,623.929,5.099,0.001,0,100
4513.625,4513.515,6.349,-20.01,36.623,21.857,8.673,46.531,5.124,2.773,758.032,625.688,5.806,0.001,0,100
4513.75,4513.64,6.348,-20.007,37.802,22.557,8.671,46.65,5.008,2.768,756.978,628.524,6.15,0.001,0,100
4513.875,4513.765,6.347,-20.004,37.402,22.175,8.67,47.021,4.714,2.773,762.477,633.997,5.962,0.001,0,100
4514,4513.89,6.346,-20.001,38.65,22.62,8.669,47.105,4.073,2.795,755.977,635.726,6.181,0.001,0,100
4514.125,4514.015,6.345,-19.997,41.778,24.342,8.668,47.65,3.972,2.803,717.272,613.931,7.04,0.001,0,100
4514.25,4514.14,6.344,-19.994,45.794,26.93,8.666,48.013,4.103,2.801,647.653,567.973,8.366,0.083,0,100
4514.375,4514.265,6.343,-19.991,50.455,30.577,8.664,48.39,4.642,2.778,499.806,455.213,10.309,0.08,0,100
4514.5,4514.39,6.342,-19.988,51.368,31.505,8.664,48.983,5.099,2.759,399.31,370.783,10.818,0.079,0,100
4514.625,4514.515,6.341,-19.985,49.059,29.752,8.663,49.078,5.389,2.754,349.11,321.19,9.862,0.08,0,100
4514.75,4514.64,6.34,-19.982,45.924,27.399,8.657,49.493,5.37,2.763,330.664,296.079,8.611,0.082,0,100
4514.875,4514.765,6.339,-19.978,46.066,28.292,8.65,49.624,5.001,2.774,346.255,304.741,9.082,0.081,0,100
4515,4514.89,6.338,-19.975,50.434,35.45,8.639,49.753,4.219,2.78,404.429,347.606,13.048,0.078,0,100
4515.125,4515.015,6.337,-19.972,52.73,39.249,8.636,49.755,4.032,2.773,442.269,378.83,15.302,0.1,0,100
4515.25,4515.14,6.336,-19.969,52.719,39.713,8.635,49.712,4.203,2.757,480.737,413.348,15.584,0.1,0,100
4515.375,4515.265,6.335,-19.966,50.327,37.235,8.634,49.663,4.603,2.745,506.165,436.882,14.094,0.1,0,100
4515.5,4515.39,6.334,-19.963,47.213,33.978,8.634,49.47,4.947,2.745,516.666,445.797,12.203,0.079,0,100
4515.625,4515.515,6.333,-19.96,41.867,27.705,8.633,49.189,5.389,2.762,521.704,450.173,8.772,0.081,0,100
4515.75,4515.64,6.331,-19.957,40.129,25.072,8.632,49.011,5.56,2.777,509.984,440.943,7.41,0.083,0,100
4515.875,4515.765,6.33,-19.954,39.519,23.571,8.633,48.53,5.695,2.792,490.84,424.059,6.653,0.101,0,100
4516,4515.89,6.329,-19.95,40.246,22.534,8.637,48.429,5.824,2.813,472.285,398.938,6.138,0.278,0,100
4516.125,4516.015,6.328,-19.947,40.315,22.016,8.639,47.928,5.788,2.82,493.676,405.184,5.884,0.21,0,100
4516.25,4516.14,6.327,-19.944,39.566,21.08,8.642,47.651,5.533,2.821,581.482,450.375,5.428,0.15,0,100
4516.375,4516.265,6.326,-19.941,38.63,20.336,8.645,47.428,5.126,2.815,714.673,523.874,5.07,0.064,0,100
4516.5,4516.39,6.325,-19.938,38.019,20.199,8.648,47.147,4.771,2.81,838.486,596.229,5.004,0.001,0,100
4516.625,4516.515,6.324,-19.935,36.909,20.962,8.657,47.119,4.36,2.8,1018.151,713.076,5.371,0.001,0,100
4516.75,4516.64,6.323,-19.932,36.277,21.531,8.663,47.026,4.302,2.797,1054.927,745.765,5.647,0.001,0,100
4516.875,4516.765,6.322,-19.929,35.843,22.336,8.667,47.016,4.316,2.794,1008.336,735.614,6.041,0.001,0,100
4517,4516.89,6.321,-19.926,36.149,23.154,8.665,47.084,4.327,2.797,930.813,699.747,6.445,0.001,0,100
4517.125,4517.015,6.32,-19.923,37.286,24.337,8.66,47.225,4.318,2.809,828.588,643.249,7.037,0.001,0,100
4517.25,4517.14,6.319,-19.92,39.005,25.637,8.658,47.319,4.301,2.827,695.586,565.475,7.698,0.001,0,100
4517.375,4517.265,6.318,-19.917,39.713,25.758,8.663,47.567,4.318,2.835,625.656,523.326,7.76,0.001,0,100
4517.5,4517.39,6.317,-19.914,40.084,25.429,8.67,47.619,4.38,2.836,566.78,487.983,7.592,0.001,0,100
4517.625,4517.515,6.316,-19.911,40.572,24.178,8.679,47.851,4.633,2.823,480.301,433.936,6.957,0.001,0,100
4517.75,4517.64,6.315,-19.908,40.864,23.324,8.68,47.968,4.782,2.813,438.27,404.227,6.53,0.001,0,100
4517.875,4517.765,6.314,-19.905,41.37,22.211,8.675,48.051,4.853,2.798,380.378,358.262,5.98,0.152,0,100
4518,4517.89,6.313,-19.902,41.925,21.879,8.671,48.151,4.823,2.792,340.823,325.042,5.817,0.186,0,100
4518.125,4518.015,6.312,-19.899,43.387,22.763,8.668,48.163,4.809,2.794,303.973,292.068,6.251,0.04,0,100
4518.25,4518.14,6.311,-19.896,47.106,26.325,8.668,48.201,4.905,2.805,259.989,250.306,8.052,0.083,0,100
4518.375,4518.265,6.31,-19.893,51.392,31.395,8.67,48.226,5.063,2.812,242.193,231.201,10.758,0.078,0,100
4518.5,4518.39,6.309,-19.89,61.689,43.008,8.678,48.232,5.346,2.814,234.393,217.616,17.639,0.1,0,100
4518.625,4518.515,6.308,-19.887,65.605,46.803,8.681,48.211,5.426,2.807,247.946,224.321,20.113,0.1,0,100
4518.75,4518.64,6.307,-19.884,63.158,45.03,8.682,48.04,5.471,2.795,311.67,266.651,18.943,0.1,0,100
4518.875,4518.765,6.306,-19.881,54.416,38.539,8.682,47.931,5.482,2.786,426.098,344.476,14.872,0.1,0,100
4519,4518.89,6.305,-19.878,44.88,31.763,8.683,47.545,5.425,2.783,584.822,443.745,10.961,0.08,0,100
4519.125,4519.015,6.304,-19.875,35.645,25.42,8.688,47.007,5.16,2.782,1104.43,687.817,7.587,0.001,0,100
4519.25,4519.14,6.303,-19.872,27.781,20.29,8.698,46.695,4.642,2.78,2419.121,1223.326,5.048,0.001,0,100
4519.375,4519.265,6.302,-19.869,25.485,18.79,8.708,45.932,4.32,2.778,3734.827,1707.444,4.335,0.001,0,100
4519.5,4519.39,6.301,-19.866,23.461,17.404,8.753,45.781,3.943,2.775,6104.778,2523.45,3.689,0.001,0,100
4519.625,4519.515,6.3,-19.863,23.559,17.45,8.787,45.265,3.86,2.779,6758.189,2754.041,3.71,0.001,0,100
4519.75,4519.64,6.3,-19.86,25.251,18.546,8.815,45.104,3.87,2.801,6454.126,2719.613,4.221,0.001,0,100
4519.875,4519.765,6.299,-19.857,27.51,19.897,8.839,45.183,3.992,2.834,5438.086,2463.868,4.86,0.001,0,100
4520,4519.89,6.298,-19.854,28.798,20.513,8.903,45.633,4.172,2.858,4437.554,2160.571,5.155,0.001,0,100
4520.125,4520.015,6.297,-19.851,28.14,19.315,9.356,45.797,4.542,2.861,3091.337,1655.677,4.583,0.001,0,100
4520.25,4520.14,6.296,-19.848,26.314,17.318,9.777,46.658,4.729,2.846,2656.099,1467.147,3.649,0.555,0,71.19
4520.375,4520.265,6.295,-19.845,24.289,15.027,10.347,47.025,5.285,2.809,2098.588,1252.865,2.606,1.778,0.023,24.471
4520.5,4520.39,6.294,-19.842,25.251,15.288,10.485,47.649,5.726,2.784,1672.288,1098.862,2.723,1.896,0.029,26.006
4520.625,4520.515,6.293,-19.839,29.164,18.007,10.211,48.019,5.989,2.759,1335.711,966.195,3.969,0.723,0.001,79.237
4520.75,4520.64,6.292,-19.836,35.772,22.974,9.582,48.05,6.028,2.714,997.902,809.034,6.356,0.221,0,100
4520.875,4520.765,6.291,-19.833,40.993,27.042,9.006,47.935,5.838,2.674,776.096,690.16,8.424,0.08,0,100
4521,4520.89,6.29,-19.83,42.675,28.429,8.784,47.886,5.601,2.658,702.943,640.755,9.154,0.08,0,100
4521.125,4521.015,6.289,-19.828,45.162,31.852,8.689,47.473,5.315,2.668,654.479,593.764,11.01,0.078,0,100
4521.25,4521.14,6.288,-19.825,46.878,34.743,8.678,47.232,5.319,2.689,659.206,586.967,12.64,0.1,0,100
4521.375,4521.265,6.287,-19.822,45.566,35.035,8.702,47.097,5.542,2.737,724.679,616.577,12.808,0.1,0,100
4521.5,4521.39,6.286,-19.819,40.841,31.266,8.805,47.052,5.739,2.771,819.561,661.744,10.687,0.079,0,100
4521.625,4521.515,6.285,-19.816,33.375,24.807,9.146,47.154,5.851,2.789,1190.89,767.889,7.275,0.085,0,100
4521.75,4521.64,6.284,-19.813,24.994,17.702,9.821,47.351,5.943,2.797,2333.059,1028.878,3.827,1.086,0.004,38.14
4521.875,4521.765,6.283,-19.81,22.101,15.001,10.292,47.67,6.054,2.795,3612.839,1301.744,2.594,2.024,0.036,15.558
4522,4521.89,6.282,-19.807,19.3,11.608,10.925,48.239,6.243,2.777,5633.032,1789.435,1.104,2.815,0.11,9.601
4522.125,4522.015,6.282,-19.805,18.531,10.484,11.155,48.329,6.155,2.764,5838.823,1930.672,0.624,3.007,0.137,8.726
4522.25,4522.14,6.281,-19.802,18.417,10.052,11.344,48.686,5.985,2.754,5537.56,2002.434,0.441,2.86,0.116,9.561
4522.375,4522.265,6.28,-19.799,19.609,10.352,11.408,48.772,5.959,2.742,5243.288,2228.404,0.568,2.732,0.1,10.166
4522.5,4522.39,6.279,-19.796,20.986,10.922,11.19,48.774,6.178,2.73,5417.863,2515.119,0.81,2.732,0.1,9.925
4522.625,4522.515,6.278,-19.793,23.728,12.834,10.601,48.716,6.514,2.711,5210.003,2600.172,1.635,2.481,0.072,11.214
4522.75,4522.64,6.277,-19.79,30.193,18.774,9.697,48.725,6.804,2.69,3816.262,2162.182,4.328,0.956,0.003,34.502
4522.875,4522.765,6.276,-19.787,37.217,25.363,9.231,48.856,6.826,2.686,2387.805,1520.524,7.558,0.078,0,100
4523,4522.89,6.275,-19.785,52.353,37.157,8.761,48.897,6.691,2.693,554.119,498.584,14.047,0.1,0,100
4523.125,4523.015,6.274,-19.782,58.422,40.883,8.674,49.228,6.617,2.701,263.958,266.95,16.304,0.1,0,100
4523.25,4523.14,6.273,-19.779,60.115,41.666,8.644,49.417,6.5,2.719,188.363,187.38,16.792,0.1,0,100
4523.375,4523.265,6.272,-19.776,56.98,39.101,8.64,49.499,6.229,2.74,188.58,182.26,15.212,0.1,0,100
4523.5,4523.39,6.271,-19.773,52.194,35.549,8.644,49.451,5.812,2.752,225.233,214.602,13.105,0.1,0,100
4523.625,4523.515,6.27,-19.77,45.717,31.406,8.649,49.4,5.006,2.767,351.776,334.971,10.764,0.079,0,100
4523.75,4523.64,6.27,-19.768,44.544,31.054,8.651,49.139,4.862,2.775,431.947,415.177,10.57,0.08,0,100
4523.875,4523.765,6.269,-19.765,44.886,31.628,8.652,49.032,5.047,2.782,501.46,487.019,10.886,0.079,0,100
4524,4523.89,6.268,-19.762,48.186,35.249,8.651,48.919,5.942,2.792,563.7,557.489,12.932,0.1,0,100
4524.125,4524.015,6.267,-19.759,51.064,38.409,8.651,48.936,6.366,2.794,547.402,547.083,14.794,0.1,0,100
4524.25,4524.14,6.266,-19.757,55.361,42.592,8.653,48.98,6.384,2.792,471.241,476.311,17.375,0.1,0,100
4524.375,4524.265,6.265,-19.754,58.665,45.463,8.655,49.065,6.087,2.788,376.871,382.03,19.226,0.1,0,100
4524.5,4524.39,6.264,-19.751,58.722,45.511,8.657,49.079,5.92,2.783,319.753,318.874,19.258,0.1,0,100
4524.625,4524.515,6.263,-19.748,51.813,39.458,8.663,49.013,6.202,2.776,287.153,267.205,15.429,0.1,0,100
4524.75,4524.64,6.262,-19.745,45.713,34.239,8.67,48.917,6.365,2.779,305.585,271.227,12.352,0.1,0,100
4524.875,4524.765,6.262,-19.743,38,28.018,8.69,48.636,5.871,2.794,375.822,315.084,8.937,0.081,0,100
4525,4524.89,6.261,-19.74,35.73,26.352,8.703,48.575,5.068,2.801,431.797,356.039,8.066,0.083,0,100
4525.125,4525.015,6.26,-19.737,39.867,30.272,8.697,48.371,4.278,2.791,447.604,374.069,10.143,0.081,0,100
4525.25,4525.14,6.259,-19.734,49.088,39.331,8.673,48.33,3.71,2.765,412.692,357.094,15.351,0.1,0,100
4525.375,4525.265,6.258,-19.732,54.189,44.472,8.657,48.397,3.75,2.754,363.389,322.363,18.58,0.1,0,100
4525.5,4525.39,6.257,-19.729,56.532,46.546,8.648,48.599,3.95,2.753,316.529,286.422,19.942,0.1,0,100
4525.625,4525.515,6.256,-19.726,53.354,42.732,8.644,48.651,4.304,2.77,275.972,252.628,17.464,0.1,0,100
4525.75,4525.64,6.255,-19.723,50.436,40.202,8.64,48.912,4.422,2.78,276.964,253.399,15.884,0.1,0,100
4525.875,4525.765,6.254,-19.721,47.588,38.128,8.635,49.018,4.622,2.791,299.292,274.239,14.625,0.1,0,100
4526,4525.89,6.253,-19.718,47.003,37.739,8.635,49.266,4.768,2.794,318.623,293.317,14.393,0.1,0,100
4526.125,4526.015,6.253,-19.715,49.691,40.608,8.639,49.605,4.697,2.793,330.412,306.41,16.134,0.1,0,100
4526.25,4526.14,6.252,-19.713,57.058,48.55,8.648,49.838,4.236,2.787,337.52,315.119,21.292,0.1,0,100
4526.375,4526.265,6.251,-19.71,63.569,54.584,8.654,50.505,3.696,2.779,340.316,317.089,25.568,0.1,0,100
4526.5,4526.39,6.25,-19.707,72.119,60.466,8.664,50.65,2.695,2.749,353.933,324.412,30.058,0.1,0,100
4526.625,4526.515,6.249,-19.704,73.216,60.781,8.667,51.455,2.334,2.727,363.043,329.087,30.308,0.1,0,100
4526.75,4526.64,6.248,-19.702,74.42,61.088,8.664,51.94,2.136,2.701,363.659,327.187,30.552,0.1,0,100
4526.875,4526.765,6.247,-19.699,77.898,63.649,8.657,52.398,2.163,2.688,349.968,315.915,32.629,0.1,0,100
4527,4526.89,6.246,-19.696,82.682,67.869,8.651,53.104,2.397,2.692,325.433,298.28,36.198,0.1,0,100
