序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
46,SY9,MK组,2014-02-24 00:00:00,2014-02-26 00:00:00,分离器,4549.0-4607.5,针 0.1/100,62.2,36.6,灰白,H2S味,无,不透明,无,3,16,5,3,0,0,0,0,27,16,4,0,142,0,4,0,166,193,/,0,1,0,1.75,3.79,,-1.5,,NaHCO3,0.9987,6.031,,,,,,,,,,,,,,,
47,SY9,MK组,2014-03-22 00:00:00,2014-04-03 00:00:00,分离器,4549.0-4607.5,针 3/100,61.7,28.9,乳白,H2S味,无,不透明,无,3.3975,18.7033,8.7448,3.2246,1.2035,0,0,0,35.2737,14.1979,4.7672,0,142,0,3.5299,0,164.495,199.7687,/,0,0,0,2.25108876033553,5.03804157811748,,-1.86204116876525,,NaHCO3,0.9966,6.256,,,,,,,,,,,,,,,
48,SY9,MK组,2014-03-31 00:00:00,2014-04-11 00:00:00,分离器,4549.0-4607.5,针 0.1/100,61.5,23.1,乳白,H2S味,无,不透明,无,0.7817,18.5144,3.1068,1.4651,0,0,0,0.7627,24.6307,13.8734,9.2628,0,138,0,3.2136,0.0673,164.4171,189.0478,/,0,0.5525,0,2.11109903476732,2.25012308737955,,-3.55648763459478,,NaHCO3,0.9988,6.007,,,,,,,,,,,,,,,
49,SY9,MK组,2014-04-23 00:00:00,2014-05-04 00:00:00,分离器,4549.0-4607.5,针 20/100,61.6,39.6,灰白,H2S味,无,不透明,无,2.355,13.5161,4.8604,0.9971,0,0,0,0,21.7286,14.6363,14.8716,0,163,0,3.2534,0,195.7613,217.4899,320,0,0.8221,0,1.57180847399226,0.760916634482935,,-2.83723995120259,,NaHCO3,0.9988,6.17,,,,,,,,,,,,,,,
50,SY9,MK组,2014-05-03 00:00:00,2014-05-09 00:00:00,分离器,4549.0-4607.5, 针 2/100,60.3,41,乳白,H2S味,无,不透明,无,2.7853,8.0765,20.9082,19.9558,0,0,0,0,51.7258,91.8272,5.4133,0,120,0,0,0.381,217.6215,269.3473,/,0,0.7023,0,0.163363789306439,-19.1892847690823,,1.30134290833333,,CaCl2,0.9989,6.309,,,,,,,,,,,,,,,
51,SY9,MK组,2014-05-26 00:00:00,2014-06-03 00:00:00,分离器,4549.0-4607.5,55/100,60.06,23.32,无,H2S味,无,透明,无,0.9565,5.0107,3.9689,1.5427,0,0,0,0,11.4788,24.8456,5.4942,0,120,0,6.2024,0.1441,156.6863,168.1651,298,0,0.667,0,0.346321553037535,-3.99688888127777,,3.55864829382192,,CaCl2,0.9987,5.271,,,,,,,,,,,,,,,
52,SY9,MK组,2014-06-15 00:00:00,2014-06-26 00:00:00,分离器,4549.0-4607.5,55/100,59.62,28.37,乳白,H2S味,无,不透明,无,4.8825,12.053,30.4779,25.8891,0.818,0.8057,0,0,74.9262,149.2017,10.6991,0,127,0,0,2.879,289.7798,364.706,/,0,4.4113,0,0.154474583073368,-15.942854271238,,1.64716224331285,,CaCl2,0.999,6.196,,,,,,,,,,,,,,,
53,SY9,MK组,2014-06-18 00:00:00,2014-07-03 00:00:00,分离器,4549.0-4607.5,53/100,59.74,30.98,灰白,H2S味,无,不透明,无,2.1746,11.1813,18.5535,11.932,0,0,0,0.8907,44.7321,91.5666,7.0514,0,92,0,6.0521,0.5295,197.1996,241.9317,/,0,1.4784,0,0.210093386322136,-13.8691668090915,,2.04904967393622,,CaCl2,0.9991,5.437,,,,,,,,,,,,,,,
54,SY9,MK组,2014-07-07 00:00:00,2014-07-14 00:00:00,分离器,4549.0-4607.5,分离器,59.87,25.79,灰白,H2S味,咸,不透明,无,7.2018,52.192,349.301,308.4243,2.6733,1.6232,0,0,721.4156,1432.8393,15.7614,0,127,0,2.6224,0,1578.2231,2299.6387,/,16,0,33,0.0607972589854905,-115.444947254237,,1.47489512957712,,CaCl2,1.0006,6.134,,,,,,,,,,,,,,,
55,SY9,MK组,2014-07-24 00:00:00,2014-08-13 00:00:00,分离器,4549.0-4607.5,分离器,60,30,无,H2S味,咸,透明,绍亮黑色沉淀,21,74,729,619,18,0,0,0,1461,2634,49,0,71,0,0,0,2754,4215,/,11,5,15,0.05,-69.46,,1.37,,CaCl2,1.0021,5.444,,,,,,,,,,,,,,,
56,SY9,MK组,2014-09-08 00:00:00,2014-09-26 00:00:00,分离器,4549.0-4607.5,分离器,58,47,灰白,H2S味,淡,不透明,无,8,31,38,30,0,0,0,0,107,103,24,0,134,0,0,1,262,369,/,0,0,0,0.54,-2.7,,0.54,,CaCl2,0.9992,7.043,,,,,,,,,,,,,,,
57,SY9,MK组,2014-10-11 00:00:00,2014-10-24 00:00:00,分离器,4549.0-4607.5,44/100,61,44,灰白,无,无,不透明,无,6,11,24,11,0,0,0,0,52,40,21,0,71,0,8,0,140,192,/,0,0,0,0.56,-1.13,,0.54,,MgCl2,0.9991,5.417,,,,,,,,,,,,,,,
58,SY9,MK组,2014-11-06 00:00:00,2014-11-14 00:00:00,分离器,4549.0-4607.5,11/100,57.46,47.42,灰色,H2S味,无,半透明,微量黑色沉淀,10.8356,7,20.6649,16.524,0,0,0,0,55.0245,65.5959,6.0852,0,71,0,6.0492,0,148.7303,203.7548,175,0,0,0,0.32,-9.98,,0.92,,MgCl2,0.9989,5.238,,,,,,,,,,,,,,,
59,SY9,MK组,2014-12-07 00:00:00,2014-01-07 00:00:00,分离器,4549.0-4607.5,11/100,56.76,47.98,无,H2S味,无,透明,无,1.1468,0,16.7209,13.6461,0,0,0,0,31.5138,56.8791,18.429,0,157,0,6.344,0,238.6521,270.1659,/,/,0,/,0.02,-4.1,,1.38,,CaCl2,0.9989,4.932,,,,,,,,,,,,,,,
60,SY9,MK组,2015-03-09 00:00:00,2015-03-23 00:00:00,分离器,4549.0-4607.5,48/100,54.98,48.74,灰白,硫化氢,咸,半透明,无,21.2074,13.5744,402.3866,345.5619,2.2772,0,0,0,785.0075,1380.3617,12.6683,0,137,0,4.3581,0,1534.3881,2319.3956,/,11,0,10,0.02916334399833,-143.03213170823,,1.31088956430047,,CaCl2,1.0008,6.205,,,,,,,,,,,,,,,
61,SY9,MK组,2015-04-20 00:00:00,2015-05-08 00:00:00,分离器,4549.0-4607.5,38/100,55.05,53.77,灰白,硫化氢,无,不透明,无,0,1,0.8305,3.8281,0,0,0,0,5.6586,14.4149,9.0002,0,113,0,2.7079,0,139.123,144.7816,/,0,0,0,0.107075197252119,-1.93369175044392,,1.13656987097681,,CaCl2,0.9992,6.545,,,,,,,,,,,,,,,
62,SY9,MK组,2015-05-31 00:00:00,2015-06-16 00:00:00,分离器,4549.0-4607.5,38/100,54.15,52.22,灰白,硫化氢,无,不透明,无,8,37,30,22,0,0,0,0,97,163,17,0,113,0,6,0,299,396,/,0,0,0,0.39,-8.1,,1.49,,CaCl2,0.9994,6.58,,,,,,,,,,,,,,,
63,SY9,MK组,2015-06-30 00:00:00,2015-07-14 00:00:00,分离器,4549.0-4607.5,38/100,53.23,50.74,灰白,无,咸,不透明,无,49,189,1080,853,0,0,0,0,2171,3606,29,0,57,0,4,0,3696,5867,/,18,0,21,0.09,-154.13,,1.3,,CaCl2,1.0036,5.96,,,,,,,,,,,,,,,
64,SY9,MK组,2015-07-30 00:00:00,2015-08-10 00:00:00,分离器,4549.00-4607.00,38/100,52.51,48.9,灰白,无,咸,半透明,无,38.3281,116.6965,675.043,532.8994,21.9515,2.5556,0,0,1387.4741,2281.5727,43.6902,0,181,0,41.5389,0,2547.8018,3935.2759,/,0,0,0,0.0942362737718215,-63.9555278099232,,1.31086176918247,,氯化钙,1.0026,7.322,,,,,,,,,,,,,,,
65,SY9,MK组,2015-08-07 00:00:00,2015-08-17 00:00:00,分离器,4549.00-4607.00,38/100,52.371,48.57,灰白,硫化氢,咸,不透明,无,32.7654,97.7236,604.5523,508.8223,0,0,0,0,1243.8636,1774.8737,20.6547,0,193,0,0,0,1988.5284,3232.392,/,15,0,42,0.101787055359786,-104.361606688422,,1.05909159134109,,氯化钙,1.0022,6.28,,,,,,,,,,,,,,,
66,SY9,MK组,2015-08-31 00:00:00,2015-09-18 00:00:00,分离器,4549.00-4607.00,38%,51.95,47.72,灰白,硫化氢,咸,半透明,无,29,165,614,508,0,3,0,9,1328,2275,23,0,265,0,0,0,2563,3891,/,13,0,13,0.123547845688314,-117.218095836909,,1.32677962807525,,氯化钙,1.0024,6.13,,,,,,,,,,,,,,,
67,SY9,MK组,2015-09-27 00:00:00,2015-10-08 00:00:00,分离器,4549.00-4607.00,0.23,53.61,43.18,灰黑,硫化氢,无,半透明,淡黄,1,2,44,30,0,0,0,0,77,62,10,0,188,0,0,0,260,337,/,0,0,0,0.0644711763225087,-7.84263036412455,,0.653552530343712,,氯化镁,0.9998,5.895,,,,,,,,,,,,,,,
68,SY9,MK组,2016-04-23 00:00:00,2016-04-27 00:00:00,分离器,4549.00-4607.50,/,36.25,26.78,灰白,硫化氢,无,半透明,黑色,2.0412,13.7416,2.222,0.9941,0,0,0,0,18.9989,4.8599,8.0628,0,103,0,5.0306,0.6365,121.5898,140.5887,/,0,1,0,4.3642587027645,2.74185014446151,,-5.55954867336391,,碳酸氢钠,0.9988,5.985,,,,,,,,,,,,,,,
69,SY9,MK组,2016-09-02 00:00:00,2016-09-08 00:00:00,分离器,4549.00-4607.50,25/100,45.85,32,淡黄,硫化氢,咸,透明,少量黑色,1166,5432,17341,13310,105,14,0,0,37368,66697,410,0,439,0,189,55,67790,105158,/,59,214,143,0.125705412732859,-192.306125192299,,1.48094499115031,,氯化钙,1.0692,5.004,,,,,,,,,,,,,,,
70,SY9,MK组,2016-09-03 00:00:00,2016-09-08 00:00:00,分离器,4549.00-4607.50,25/100,46.57,32,淡黄,硫化氢,咸,透明,少量黑色,1187,5399,17148,13428,115,14,0,0,37291,63555,455,0,439,0,193,47,64689,101980,/,61,213,97,0.13111854504657,-164.101193111848,,1.39011846265064,,氯化钙,1.0691,4.891,,,,,,,,,,,,,,,
71,SY9,MK组,2016-09-04 00:00:00,2016-09-08 00:00:00,分离器,4549.00-4607.50,25/100,45.85,32,淡黄,硫化氢,咸,透明,少量黑色,1125,5287,16178,12535,102,14,0,0,35241,66590,390,0,439,0,183,57,67659,102900,/,61,217,97,0.12254647192097,-202.572933251684,,1.57565703965211,,氯化钙,1.0659,5.096,,,,,,,,,,,,,,,
72,SY9,MK组,2016-09-09 00:00:00,2016-09-13 00:00:00,分离器,/,25%,46.69,20.63,黄色,硫化氢,咸,透明,黑色,927.9334,4148.3002,11871.4623,7661.8028,75.7817,0,0,0,24685.2804,42624,271.5362,0,627,0,139.4832,17.483,43679.5024,68364.7828,/,87,95,97,0.150216103093583,-180.363165381646,,1.59802887865058,,氯化钙,1.0483,5.258,,,,,,,,,,,,,,,
73,SY9,MK组,2016-09-10 00:00:00,2016-09-13 00:00:00,分离器,/,35%,46.88,22.46,黄色,硫化氢,咸,透明,黑色,974.2014,4381.9637,12439.0636,7944.1634,72.4196,0,0,0,25811.8117,47333,359.1951,0,447,0,148.2451,26.7776,48314.2178,74126.0295,/,92,124,93,0.142891126927716,-152.715283627298,,1.72625419481035,,氯化钙,1.0501,5.375,,,,,,,,,,,,,,,
74,SY9,MK组,2016-09-25 00:00:00,2016-10-08 00:00:00,分离器,/,45/100,46.95,24.75,淡黄,硫化氢,咸,透明,少量黑色,661,3039,8574,6883,38,9,0,0,19204,31358,256,0,268,0,102,42,32026,51230,/,42,127,115,0.149583214324339,-140.848782914881,,1.30965016803027,,氯化钙,1.0358,5.009,,,,,,,,,,,,,,,
