Depth,TVD,DX,DY,GR,KTH,CAL,AC,DEN,RT,RXO,SH,POR,SW,PERM
4502.5,4502.421,-3.914,-19.207,41.173,32.277,8.59,48.088,2.791,286.012,315.034,23.241,-9999,99.9,0
4502.625,4502.546,-3.915,-19.208,42.333,33.279,8.597,48.159,2.791,203.71,223.24,24.544,-9999,99.9,0
4502.75,4502.671,-3.915,-19.209,42.88,33.923,8.603,47.937,2.792,156.719,166.883,25.397,-9999,99.9,0
4502.875,4502.796,-3.915,-19.21,41.268,32.478,8.606,47.473,2.794,148.147,151.101,23.5,-9999,99.9,0
4503,4502.921,-3.915,-19.211,36.83,27.816,8.608,46.848,2.798,185.163,177.828,17.787,-9999,99.9,0
4503.125,4503.046,-3.916,-19.212,31.205,21.844,8.608,46.231,2.802,310.82,285.245,11.299,-9999,99.9,0
4503.25,4503.171,-3.916,-19.213,26.718,17.625,8.608,45.86,2.81,538.135,502.337,7.218,-9999,99.9,0
4503.375,4503.296,-3.916,-19.214,24.278,15.72,8.604,45.812,2.82,723.486,701.986,5.5,-9999,99.9,0
4503.5,4503.421,-3.917,-19.215,24.006,15.524,8.598,45.943,2.827,741.32,749.443,5.327,-9999,99.9,0
4503.625,4503.546,-3.917,-19.216,25.738,16.819,8.592,45.962,2.827,588.925,613.123,6.482,-9999,99.9,0
4503.75,4503.671,-3.917,-19.217,27.896,18.512,8.588,45.832,2.823,432.63,450.732,8.044,-9999,99.9,0
4503.875,4503.796,-3.917,-19.217,28.695,19.047,8.587,45.625,2.814,367.322,368.9,8.55,-9999,99.9,0
4504,4503.921,-3.918,-19.218,27.333,17.631,8.587,45.473,2.805,403.306,383.399,7.224,-9999,99.9,0
4504.125,4504.046,-3.918,-19.219,25.466,15.795,8.585,45.337,2.8,536.049,481.676,5.566,-9999,99.9,0
4504.25,4504.171,-3.918,-19.22,24.496,14.851,8.586,45.193,2.8,764.172,667.242,4.741,-9999,99.9,0
4504.375,4504.296,-3.918,-19.221,24.011,14.558,8.594,45.103,2.804,998.872,870.791,4.488,-9999,99.9,0
4504.5,4504.421,-3.919,-19.222,22.821,14.19,8.605,45.05,2.808,1165.958,1020.586,4.173,-9999,99.9,0
4504.625,4504.546,-3.919,-19.223,20.833,13.62,8.613,45.067,2.808,1284.236,1120.413,3.69,-9999,99.9,0
4504.75,4504.671,-3.919,-19.224,19.539,13.376,8.615,45.17,2.807,1457.297,1264.19,3.485,-9999,99.9,0
4504.875,4504.796,-3.919,-19.225,19.691,13.844,8.614,45.371,2.808,1686.298,1469.313,3.879,-9999,99.9,0
4505,4504.921,-3.92,-19.226,21.026,15.075,8.612,45.633,2.808,1858.787,1645.804,4.935,-9999,99.9,0
4505.125,4505.046,-3.92,-19.226,22.745,16.267,8.61,45.888,2.808,1890.593,1704.05,5.986,-9999,99.9,0
4505.25,4505.171,-3.92,-19.227,24.731,17.163,8.61,45.995,2.805,1801.931,1650.986,6.795,-9999,99.9,0
4505.375,4505.296,-3.92,-19.228,26.613,17.821,8.609,46.205,2.801,1621.485,1512.753,7.399,-9999,99.9,0
4505.5,4505.421,-3.92,-19.229,27.786,18.321,8.609,46.366,2.797,1349.552,1289.611,7.865,-9999,99.9,0
4505.625,4505.546,-3.921,-19.23,28.552,18.856,8.611,46.476,2.797,992.111,975.11,8.369,-9999,99.9,0
4505.75,4505.671,-3.921,-19.231,29.844,20.18,8.619,46.499,2.804,661.254,660.72,9.642,-9999,99.9,0
4505.875,4505.796,-3.921,-19.232,31.228,21.761,8.631,46.393,2.816,450.867,446.357,11.215,-9999,99.9,0
4506,4505.921,-3.921,-19.233,31.2,21.91,8.645,45.921,2.825,379.535,363.805,11.366,-9999,99.9,0
4506.125,4506.046,-3.921,-19.234,28.977,19.707,8.654,45.441,2.826,421.162,386.764,9.183,-9999,99.9,0
4506.25,4506.171,-3.922,-19.234,26.13,16.909,8.655,44.904,2.82,595.464,522.789,6.564,-9999,99.9,0
4506.375,4506.296,-3.922,-19.235,24.291,15.27,8.651,44.382,2.811,924.964,799.771,5.105,-9999,99.9,0
4506.5,4506.421,-3.922,-19.236,23.659,14.784,8.648,44.015,2.802,1295.46,1131.492,4.683,-9999,99.9,0
4506.625,4506.546,-3.922,-19.237,23.674,14.734,8.65,43.88,2.798,1559.737,1387.789,4.639,-9999,99.9,0
4506.75,4506.671,-3.922,-19.238,24.038,14.94,8.657,43.883,2.8,1590.208,1448.856,4.818,-9999,99.9,0
4506.875,4506.796,-3.923,-19.239,25.018,15.665,8.662,44.231,2.803,1385.823,1294.287,5.451,-9999,99.9,0
4507,4506.921,-3.923,-19.24,27.029,17.349,8.662,44.835,2.805,1042.742,997.592,6.965,-9999,99.9,0
4507.125,4507.046,-3.923,-19.24,30.494,20.774,8.658,45.674,2.8,710.169,687.696,10.226,-9999,99.9,0
4507.25,4507.171,-3.923,-19.241,34.369,25.04,8.655,46.92,2.795,509.329,488.356,14.661,-9999,99.9,0
4507.375,4507.296,-3.923,-19.242,37.233,28.466,8.654,47.407,2.79,449.255,420.532,18.547,-9999,99.9,0
4507.5,4507.421,-3.923,-19.243,38.048,29.785,8.656,47.638,2.788,511.706,471.697,20.126,-9999,99.9,0
4507.625,4507.546,-3.924,-19.244,37.83,29.943,8.657,47.569,2.787,687.401,631.108,20.318,-9999,99.9,0
4507.75,4507.671,-3.924,-19.245,37.403,29.771,8.658,47.317,2.784,984.982,907.079,20.109,-9999,99.9,0
4507.875,4507.796,-3.924,-19.246,36.514,29.013,8.658,47.139,2.778,1390.499,1290.228,19.196,-9999,99.9,0
4508,4507.921,-3.924,-19.246,34.524,26.594,8.658,47.082,2.771,1771.375,1672.693,16.386,-9999,99.9,0
4508.125,4508.046,-3.924,-19.247,31.771,22.885,8.658,47.147,2.768,1891.437,1840.171,12.367,-9999,99.9,0
4508.25,4508.171,-3.924,-19.248,30.463,20.544,8.658,47.372,2.769,1601.595,1616.568,9.999,-9999,99.9,0
4508.375,4508.296,-3.924,-19.249,32.584,21.322,8.658,47.571,2.769,1076.483,1126.506,10.772,-9999,99.9,0
4508.5,4508.421,-3.925,-19.25,38.156,24.95,8.658,47.613,2.769,624.367,656.626,14.563,-9999,99.9,0
4508.625,4508.546,-3.925,-19.251,43.566,28.648,8.658,46.968,2.772,416.63,412.641,18.762,-9999,99.9,0
4508.75,4508.671,-3.925,-19.251,45.756,30.104,8.662,46.353,2.778,397.426,359.168,20.515,-9999,99.9,0
4508.875,4508.796,-3.925,-19.252,43.193,27.825,8.667,45.645,2.789,582.474,478.9,17.797,-9999,99.9,0
4509,4508.921,-3.925,-19.253,37.488,23.513,8.668,45.05,2.796,1095.776,853.867,13.024,-9999,99.9,0
4509.125,4509.046,-3.925,-19.254,30.46,18.727,8.66,44.648,2.795,1965.602,1522.528,8.246,-9999,99.9,0
4509.25,4509.171,-3.925,-19.255,24.829,15.007,8.645,44.585,2.788,2961.158,2322.361,4.876,-9999,99.9,0
4509.375,4509.296,-3.925,-19.256,22.133,12.971,8.631,44.343,2.785,3835.092,3034.975,3.148,-9999,99.9,0
4509.5,4509.421,-3.926,-19.256,22.022,12.592,8.619,44.187,2.788,4609.825,3653.139,2.835,-9999,99.9,0
4509.625,4509.546,-3.926,-19.257,22.331,12.63,8.606,44.17,2.797,5395.276,4275.194,2.866,-9999,99.9,0
4509.75,4509.671,-3.926,-19.258,21.928,12.279,8.594,44.3,2.806,6003.027,4798.912,2.579,-9999,99.9,0
4509.875,4509.796,-3.926,-19.259,21.806,12.054,8.587,44.6,2.813,5983.094,4907.24,2.396,-9999,99.9,0
4510,4509.921,-3.926,-19.26,23.926,13.54,8.584,45.375,2.818,5035.564,4306.422,3.623,-9999,99.9,0
4510.125,4510.046,-3.926,-19.26,28.916,17.122,8.583,45.71,2.812,3518.696,3175.837,6.757,-9999,99.9,0
4510.25,4510.171,-3.926,-19.261,35.821,21.594,8.586,45.884,2.798,2051.389,1950.902,11.046,-9999,99.9,0
4510.375,4510.296,-3.926,-19.262,40.789,24.307,8.592,45.744,2.787,1146.698,1111.472,13.868,-9999,99.9,0
4510.5,4510.421,-3.926,-19.263,40.967,24.025,8.599,45.306,2.785,796.413,742.695,13.567,-9999,99.9,0
4510.625,4510.546,-3.926,-19.263,35.803,20.146,8.605,45.168,2.792,833.986,744.552,9.609,-9999,99.9,0
4510.75,4510.671,-3.927,-19.264,29.283,15.765,8.608,44.6,2.803,1121.696,979.747,5.54,-9999,99.9,0
4510.875,4510.796,-3.927,-19.265,24.614,13.099,8.608,44.142,2.81,1598.647,1403.544,3.254,-9999,99.9,0
4511,4510.921,-3.927,-19.266,23.387,12.733,8.608,43.992,2.811,2022.408,1828.083,2.951,-9999,99.9,0
4511.125,4511.046,-3.927,-19.267,24.218,13.643,8.607,44.019,2.807,2098.758,1968.646,3.71,-9999,99.9,0
4511.25,4511.171,-3.927,-19.267,25.922,15.259,8.607,44.31,2.805,1768.851,1725.742,5.095,-9999,99.9,0
4511.375,4511.296,-3.927,-19.268,27.625,17.113,8.607,44.485,2.807,1261.443,1265.496,6.749,-9999,99.9,0
4511.5,4511.421,-3.927,-19.269,29.061,18.83,8.608,44.599,2.81,878.22,884.213,8.344,-9999,99.9,0
4511.625,4511.546,-3.927,-19.27,29.704,20.015,8.612,44.646,2.814,713.746,699.643,9.482,-9999,99.9,0
4511.75,4511.671,-3.927,-19.27,28.745,20.453,8.625,44.597,2.818,728.901,688.341,9.91,-9999,99.9,0
4511.875,4511.796,-3.927,-19.271,26.796,20.411,8.64,44.533,2.828,872.809,791.877,9.869,-9999,99.9,0
4512,4511.921,-3.927,-19.272,25.055,19.923,8.648,44.549,2.834,1138.037,1006.091,9.392,-9999,99.9,0
4512.125,4512.046,-3.927,-19.273,23.799,18.97,8.643,44.701,2.836,1406.326,1248.341,8.477,-9999,99.9,0
4512.25,4512.171,-3.927,-19.273,22.763,17.761,8.634,45.36,2.831,1497.988,1362.141,7.344,-9999,99.9,0
4512.375,4512.296,-3.927,-19.274,23.003,17.378,8.627,45.624,2.817,1318.878,1240.535,6.991,-9999,99.9,0
4512.5,4512.421,-3.927,-19.275,26.266,19.019,8.626,45.676,2.8,1019.211,991.077,8.523,-9999,99.9,0
4512.625,4512.546,-3.927,-19.276,32.007,22.414,8.626,45.389,2.788,774.568,773.211,11.881,-9999,99.9,0
4512.75,4512.671,-3.927,-19.276,36.904,25.314,8.622,45.059,2.787,662.381,670.405,14.961,-9999,99.9,0
4512.875,4512.796,-3.928,-19.277,37.853,25.609,8.62,44.888,2.796,647.745,655.904,15.286,-9999,99.9,0
4513,4512.921,-3.928,-19.278,35.213,23.071,8.621,44.914,2.806,725.818,723.973,12.561,-9999,99.9,0
4513.125,4513.046,-3.928,-19.279,31.533,20.051,8.625,45.288,2.809,893.458,887.568,9.517,-9999,99.9,0
4513.25,4513.171,-3.928,-19.279,29.27,18.486,8.628,45.684,2.806,1017.486,1033.951,8.019,-9999,99.9,0
4513.375,4513.296,-3.928,-19.28,29.142,18.524,8.63,46.424,2.801,948.161,1003.261,8.055,-9999,99.9,0
4513.5,4513.421,-3.928,-19.281,31.311,20.151,8.63,47.23,2.796,678.363,749.798,9.614,-9999,99.9,0
4513.625,4513.546,-3.928,-19.281,35.97,23.733,8.63,47.54,2.791,388.5,444.049,13.256,-9999,99.9,0
4513.75,4513.671,-3.928,-19.282,41.87,28.529,8.631,47.246,2.783,220.908,248.634,18.622,-9999,99.9,0
4513.875,4513.796,-3.928,-19.283,44.551,30.973,8.632,46.717,2.78,182.389,194.432,21.589,-9999,99.9,0
4514,4513.921,-3.928,-19.284,41.608,29.43,8.64,45.843,2.78,252.083,250.657,19.696,-9999,99.9,0
4514.125,4514.046,-3.928,-19.284,34.277,25.124,8.66,45.734,2.782,536.31,516.342,14.753,-9999,99.9,0
4514.25,4514.171,-3.928,-19.285,27.391,21.065,8.675,45.861,2.786,1015.216,1004.432,10.516,-9999,99.9,0
4514.375,4514.296,-3.928,-19.286,23.626,18.677,8.666,46.113,2.789,1408.138,1449.217,8.199,-9999,99.9,0
4514.5,4514.421,-3.928,-19.286,23.693,18.927,8.631,46.513,2.789,1377.284,1478.852,8.436,-9999,99.9,0
4514.625,4514.546,-3.928,-19.287,26.887,21.72,8.6,46.71,2.79,1012.823,1128.614,11.173,-9999,99.9,0
4514.75,4514.671,-3.928,-19.288,32.531,26.216,8.585,46.98,2.794,599.113,680.591,15.961,-9999,99.9,0
4514.875,4514.796,-3.928,-19.288,38.199,30.136,8.584,47.11,2.798,382.767,424.087,20.554,-9999,99.9,0
4515,4514.921,-3.928,-19.289,41.416,32.004,8.584,46.896,2.797,293.337,314.382,22.891,-9999,99.9,0
4515.125,4515.046,-3.928,-19.29,41.816,32.129,8.584,46.228,2.789,261.591,273.141,23.051,-9999,99.9,0
4515.25,4515.171,-3.928,-19.29,40.751,31.168,8.585,45.428,2.78,270.184,273.706,21.833,-9999,99.9,0
4515.375,4515.296,-3.928,-19.291,39.298,29.901,8.585,44.796,2.778,315.401,310.391,20.267,-9999,99.9,0
4515.5,4515.421,-3.928,-19.292,36.885,28.02,8.586,44.568,2.784,402.577,385.886,18.024,-9999,99.9,0
4515.625,4515.546,-3.928,-19.292,33.065,25.084,8.591,44.601,2.789,551.381,519.477,14.709,-9999,99.9,0
4515.75,4515.671,-3.928,-19.293,28.702,21.816,8.6,44.728,2.798,738.878,697.24,11.27,-9999,99.9,0
4515.875,4515.796,-3.928,-19.294,25.326,18.79,8.611,44.969,2.801,901.33,862.108,8.306,-9999,99.9,0
4516,4515.921,-3.928,-19.294,25.037,18.083,8.611,45.145,2.8,967.239,936.456,7.642,-9999,99.9,0
4516.125,4516.046,-3.928,-19.295,25.412,18.107,8.604,45.375,2.798,935.893,912.675,7.665,-9999,99.9,0
4516.25,4516.171,-3.928,-19.296,26.201,18.428,8.594,45.655,2.8,825.262,809.633,7.965,-9999,99.9,0
4516.375,4516.296,-3.928,-19.296,27.919,19.125,8.589,45.967,2.802,670.493,664.851,8.624,-9999,99.9,0
4516.5,4516.421,-3.928,-19.297,30.444,19.978,8.595,46.187,2.802,508.687,509.969,9.446,-9999,99.9,0
4516.625,4516.546,-3.928,-19.298,32.072,20.391,8.608,46.149,2.792,401.595,400.757,9.849,-9999,99.9,0
4516.75,4516.671,-3.928,-19.298,31.113,19.758,8.616,45.873,2.777,366.257,356.861,9.232,-9999,99.9,0.001
4516.875,4516.796,-3.928,-19.299,27.949,18.27,8.616,45.5,2.764,418.752,387.596,7.817,-9999,95.552,0.002
4517,4516.921,-3.928,-19.3,24.877,16.841,8.612,45.299,2.762,672.177,583.118,6.502,-9999,93.554,0.001
4517.125,4517.046,-3.928,-19.3,23.479,16.218,8.61,45.188,2.767,1153.309,981.194,5.942,-9999,99.9,0
4517.25,4517.171,-3.927,-19.301,23.859,16.497,8.613,45.118,2.775,1742.403,1491.518,6.192,-9999,99.9,0
4517.375,4517.296,-3.927,-19.301,25.198,17.383,8.621,45.154,2.782,2228.218,1925.545,6.996,-9999,99.9,0
4517.5,4517.421,-3.927,-19.302,26.214,18.004,8.628,45.211,2.788,2544.027,2213.544,7.569,-9999,99.9,0
4517.625,4517.546,-3.927,-19.303,26.1,17.821,8.629,45.29,2.791,2696.143,2365.296,7.399,-9999,99.9,0
4517.75,4517.671,-3.927,-19.303,25.401,17.2,8.626,45.306,2.789,2651.897,2357.681,6.828,-9999,99.9,0
4517.875,4517.796,-3.927,-19.304,25.468,17.214,8.628,45.183,2.786,2393.092,2160.614,6.841,-9999,99.9,0
4518,4517.921,-3.927,-19.305,27.088,18.58,8.638,45.105,2.784,2019.234,1843.007,8.108,-9999,99.9,0
4518.125,4518.046,-3.927,-19.305,29.374,20.518,8.646,45.283,2.786,1701.918,1565.547,9.974,-9999,99.9,0
4518.25,4518.171,-3.927,-19.306,31.572,22.238,8.647,45.842,2.789,1473.721,1371.091,11.7,-9999,99.9,0
4518.375,4518.296,-3.927,-19.306,34.625,24.231,8.638,46.38,2.792,1256.842,1191.259,13.787,-9999,99.9,0
4518.5,4518.421,-3.927,-19.307,40.122,27.339,8.63,46.607,2.789,987.017,957.337,17.235,-9999,99.9,0
4518.625,4518.546,-3.927,-19.308,47.65,31.525,8.626,47.124,2.782,692.597,690.114,22.282,-9999,99.9,0
4518.75,4518.671,-3.927,-19.308,53.656,35.011,8.626,47.088,2.779,457.206,467.115,26.868,-9999,99.9,0
4518.875,4518.796,-3.927,-19.309,54.635,35.688,8.631,46.891,2.784,320.05,331.488,27.801,-9999,99.9,0
4519,4518.921,-3.927,-19.309,49.663,32.98,8.64,46.438,2.794,271.637,278.806,24.152,-9999,99.9,0
4519.125,4519.046,-3.927,-19.31,41.132,28.201,8.644,45.643,2.805,285.519,286.335,18.236,-9999,99.9,0
4519.25,4519.171,-3.927,-19.31,33.051,23.508,8.64,45.036,2.81,344.394,337.315,13.019,-9999,99.9,0
4519.375,4519.296,-3.927,-19.311,27.963,20.247,8.635,44.882,2.813,439.802,425.584,9.708,-9999,99.9,0
4519.5,4519.421,-3.927,-19.312,26.545,19.023,8.642,44.955,2.814,536.307,516.939,8.527,-9999,99.9,0
4519.625,4519.546,-3.926,-19.312,26.929,18.766,8.653,45.087,2.815,614.053,587.341,8.283,-9999,99.9,0
4519.75,4519.671,-3.926,-19.313,27.171,18.304,8.658,45.176,2.812,686.531,641.64,7.849,-9999,99.9,0
4519.875,4519.796,-3.926,-19.313,26.604,17.219,8.657,45.203,2.804,812.079,725.628,6.846,-9999,99.9,0
4520,4519.921,-3.926,-19.314,25.791,16.171,8.658,45.29,2.799,1041.537,879.882,5.9,-9999,99.9,0
4520.125,4520.046,-3.926,-19.314,25.182,15.512,8.667,45.362,2.8,1381.44,1121.692,5.317,-9999,99.9,0
4520.25,4520.171,-3.926,-19.315,24.936,15.308,8.676,45.424,2.806,1663.463,1341.604,5.138,-9999,99.9,0
4520.375,4520.296,-3.926,-19.315,25.272,15.743,8.677,45.485,2.812,1743.251,1429.289,5.52,-9999,99.9,0
4520.5,4520.421,-3.926,-19.316,26.153,16.831,8.672,45.423,2.814,1591.293,1346.773,6.493,-9999,99.9,0
4520.625,4520.546,-3.926,-19.317,26.447,17.46,8.662,45.387,2.814,1400.729,1228.927,7.066,-9999,99.9,0
4520.75,4520.671,-3.926,-19.317,25.166,16.806,8.65,45.392,2.815,1312.609,1183.844,6.47,-9999,99.9,0
4520.875,4520.796,-3.926,-19.318,22.744,15.103,8.637,45.792,2.821,1424.927,1302.873,4.959,-9999,99.9,0
4521,4520.921,-3.926,-19.318,21.293,14.046,8.624,46.666,2.825,1639.265,1535.327,4.05,-9999,99.9,0
4521.125,4521.046,-3.926,-19.319,22.906,15.15,8.615,47.61,2.82,1722.175,1685.285,5,-9999,99.9,0
4521.25,4521.171,-3.926,-19.319,29.613,19.761,8.61,47.816,2.803,1437.748,1489.293,9.235,-9999,99.9,0
4521.375,4521.296,-3.925,-19.32,41.063,26.988,8.606,48.498,2.782,908.81,1004.546,16.834,-9999,99.9,0
4521.5,4521.421,-3.925,-19.32,54.029,34.742,8.611,48.496,2.769,435.145,506.972,26.501,-9999,99.9,0
4521.625,4521.546,-3.925,-19.321,61.828,39.232,8.641,48.161,2.769,203.021,233.822,32.929,-9999,99.9,0
4521.75,4521.671,-3.925,-19.321,60.404,37.9,8.7,47.627,2.778,136.144,146.119,30.953,-9999,99.9,0
4521.875,4521.796,-3.925,-19.322,50.366,31.084,8.756,46.243,2.793,141.235,143.465,21.728,-9999,99.9,0
4522,4521.921,-3.925,-19.322,38.479,24.705,8.769,45.818,2.81,199.041,192.275,14.297,-9999,99.9,0
4522.125,4522.046,-3.925,-19.323,29.631,20.864,8.737,45.554,2.824,329.595,308.248,10.316,-9999,99.9,0
4522.25,4522.171,-3.925,-19.323,25.167,18.802,8.692,45.433,2.829,585.086,538.206,8.317,-9999,99.9,0
4522.375,4522.296,-3.925,-19.324,22.742,17.307,8.662,45.397,2.827,955.963,875.561,6.926,-9999,99.9,0
4522.5,4522.421,-3.925,-19.324,20.612,15.826,8.645,45.394,2.82,1397.649,1279.175,5.594,-9999,99.9,0
4522.625,4522.546,-3.925,-19.325,18.572,14.211,8.636,45.414,2.814,1835.381,1669.061,4.191,-9999,67.775,0
4522.75,4522.671,-3.924,-19.325,17.326,13.124,8.632,45.598,2.812,2249.745,2019.401,3.275,-9999,55.944,0.001
4522.875,4522.796,-3.924,-19.326,17.434,13.084,8.631,45.982,2.809,2571.143,2281.847,3.242,-9999,58.096,0
4523,4522.921,-3.924,-19.326,19.393,14.334,8.631,46.382,2.803,2621.298,2332.171,4.296,-9999,67.492,0
4523.125,4523.046,-3.924,-19.327,23.541,16.997,8.631,46.817,2.794,2313.027,2094.579,6.643,-9999,73.401,0
4523.25,4523.171,-3.924,-19.327,30.537,21.785,8.631,47.519,2.784,1719.043,1603.527,11.239,-9999,84.727,0
4523.375,4523.296,-3.924,-19.328,39.623,28.343,8.631,47.596,2.775,1119.363,1073.47,18.402,-9999,99.9,0
4523.5,4523.421,-3.924,-19.328,47.926,34.349,8.631,47.525,2.769,702.963,679.007,25.969,-9999,99.9,0
4523.625,4523.546,-3.924,-19.329,51.539,36.814,8.632,47.29,2.767,503.01,475.151,29.386,-9999,99.9,0
4523.75,4523.671,-3.924,-19.329,49.475,35.902,8.637,47.054,2.771,410.572,380.702,28.099,-9999,99.9,0
4523.875,4523.796,-3.924,-19.329,44.365,33.138,8.648,47.019,2.78,349.793,322.513,24.359,-9999,99.9,0
4524,4523.921,-3.923,-19.33,39.457,30.093,8.654,46.853,2.786,309.973,283.245,20.501,-9999,99.9,0.001
4524.125,4524.046,-3.923,-19.33,35.251,26.803,8.649,46.673,2.787,301.576,272.275,16.623,-9999,99.9,0.001
4524.25,4524.171,-3.923,-19.331,30.433,22.429,8.64,46.424,2.785,329.049,293.381,11.896,-9999,97.563,0.002
4524.375,4524.296,-3.923,-19.331,24.929,17.321,8.638,46.191,2.784,476.254,408.71,6.939,-9999,65.484,0.006
4524.5,4524.421,-3.923,-19.332,20.726,13.749,8.637,45.786,2.784,844.231,710.233,3.799,-9999,47.195,0.007
4524.625,4524.546,-3.923,-19.332,18.747,12.448,8.628,45.639,2.787,1395.366,1188.568,2.717,-9999,43.106,0.004
4524.75,4524.671,-3.923,-19.333,18.412,12.39,8.615,45.598,2.786,1859.593,1632.21,2.67,-9999,43.32,0.002
4524.875,4524.796,-3.923,-19.333,18.76,12.829,8.616,45.644,2.782,2058.958,1867.465,3.031,-9999,37.417,0.002
4525,4524.921,-3.923,-19.333,19.713,13.965,8.604,45.876,2.775,2034.515,1902.535,3.982,-9999,30.596,0.005
4525.125,4525.046,-3.922,-19.334,21.192,15.598,8.604,46.565,2.769,1914.677,1839.279,5.392,-9999,27.017,0.008
4525.25,4525.171,-3.922,-19.334,23.839,17.9,8.604,46.776,2.767,1669.35,1653.244,7.472,-9999,27.423,0.009
4525.375,4525.296,-3.922,-19.335,30.624,22.557,8.604,47.673,2.766,1224.901,1261.238,12.028,-9999,35.446,0.006
4525.5,4525.421,-3.922,-19.335,43.353,31.385,8.604,48.484,2.761,716.417,770.256,22.106,-9999,86.491,0.001
4525.625,4525.546,-3.922,-19.335,57.647,41.886,8.604,48.633,2.754,331.411,368.582,37.048,-9999,99.9,0
4525.75,4525.671,-3.922,-19.336,64.491,47.292,8.604,48.144,2.75,162.113,173.646,46.249,-9999,99.9,0
4525.875,4525.796,-3.922,-19.336,59.792,43.767,8.604,46.655,2.753,117.25,115.495,40.122,-9999,99.9,0
4526,4525.921,-3.922,-19.337,47.626,34.869,8.604,45.731,2.763,129.206,118.733,26.674,-9999,99.9,0
4526.125,4526.046,-3.922,-19.337,35.282,25.902,8.604,45.3,2.772,248.212,209.994,15.611,-9999,99.9,0.004
4526.25,4526.171,-3.922,-19.338,26.926,19.51,8.604,45.126,2.773,578.533,480.581,8.993,-9999,58.632,0.007
4526.375,4526.296,-3.921,-19.338,22.22,15.771,8.604,45.162,2.767,1150.356,968.916,5.545,-9999,41.125,0.006
4526.5,4526.421,-3.921,-19.338,19.758,13.268,8.604,45.191,2.761,1897.476,1627.738,3.395,-9999,30.655,0.007
4526.625,4526.546,-3.921,-19.339,18.525,12.619,8.604,45.218,2.761,2692.978,2342.443,2.857,-9999,28.669,0.004
4526.75,4526.671,-3.921,-19.339,18.286,12.595,8.604,45.181,2.769,3447.833,3025.735,2.838,-9999,37.24,0.001
4526.875,4526.796,-3.921,-19.34,18.582,12.757,8.604,45.332,2.776,4013.554,3540.132,2.971,-9999,76.798,0
4527,4526.921,-3.921,-19.34,19.945,13.396,8.604,45.88,2.774,4182.306,3728.709,3.502,-9999,99.9,0
4527.125,4527.046,-3.921,-19.341,23.501,15.346,8.604,46.644,2.765,3687.42,3370.738,5.171,-9999,99.9,0
4527.25,4527.171,-3.921,-19.341,31.194,19.295,8.604,47.788,2.759,2618.472,2495.175,8.787,-9999,99.9,0
4527.375,4527.296,-3.921,-19.341,41.814,24.177,8.604,48.102,2.761,1424.197,1443.396,13.729,-9999,99.9,0
4527.5,4527.421,-3.92,-19.342,50.117,27.51,8.604,48.023,2.764,596.147,643.29,17.432,-9999,99.9,0
