Depth,GR,KTH,CAL,AC,CNL,DEN,RT,RXO,SH,POR,SW,PERM
4553.25,24.321,10.4,8.793,49.066,0.884,2.683,5469.6,4119.275,0.01,1.447,40.712,0.069
4553.375,26.452,12.535,8.77,49.066,0.743,2.682,4699.02,3661.246,0.01,1.421,41.38,0.068
4553.5,27.472,13.73,8.762,48.872,0.714,2.683,4257.528,3382.027,0.01,1.346,43.406,0.063
4553.625,27.768,15.107,8.788,48.709,0.802,2.688,3596.557,2950.346,0.047,1.218,47.379,0.056
4553.75,26.109,15.053,8.859,48.626,1.016,2.7,3539.686,2889.737,0.023,1.044,54.282,0.046
4553.875,25.396,14.899,8.896,48.607,1.116,2.707,3736.079,2986.068,0.01,0.94,59.542,0.041
4554,25.374,14.97,8.969,48.607,1.221,2.722,4157.679,3205.561,0.01,1.143,50.123,0.052
4554.125,26.769,15.251,9.028,48.639,1.184,2.729,4204.706,3249.471,0.111,1.193,48.271,0.055
4554.25,27.541,15.202,9.035,48.716,1.131,2.728,4143.552,3225.341,0.089,1.179,48.755,0.054
4554.375,28.507,14.716,8.997,48.793,0.999,2.718,4127.776,3228.897,0.01,1.053,53.889,0.047
4554.5,28.575,14.317,8.969,48.803,0.942,2.71,4245.518,3352.936,0.01,1.004,56.196,0.044
4554.625,27.629,13.248,8.941,48.712,0.902,2.694,5658.212,4411.515,0.01,1.152,49.783,0.052
4554.75,25.557,12.191,8.947,48.712,0.928,2.682,10645.554,7342.679,0.01,1.398,41.977,0.066
4554.875,24.499,11.896,8.951,48.585,0.944,2.679,14585.393,9500.771,0.01,1.432,41.087,0.068
4555,22.939,11.899,8.939,48.545,0.968,2.681,24697.066,14655.318,0.01,1.391,42.161,0.066
4555.125,21.776,12.436,8.885,48.666,0.947,2.689,37941.516,19616.225,0.01,1.255,46.177,0.058
4555.25,21.348,12.802,8.848,48.907,0.908,2.694,43011.113,20981.807,0.01,1.2,48.034,0.055
4555.375,21.555,14.024,8.789,48.907,0.811,2.699,41298.516,19167.387,0.01,1.069,53.182,0.048
4555.5,23.051,15.855,8.753,49.141,0.813,2.697,24336.797,12230.29,0.378,1.037,54.613,0.046
4555.625,23.857,16.637,8.734,49.263,0.875,2.694,15287.034,8598.272,0.728,1.013,55.755,0.045
4555.75,24.887,17.379,8.694,49.256,1.074,2.688,5401.061,4084.224,1.064,1.033,54.815,0.046
4555.875,24.987,17.294,8.678,49.189,1.18,2.688,4304.754,3268.764,1.025,1.046,54.18,0.047
4556,24.518,16.227,8.666,49.136,1.336,2.695,4294.566,3130.476,0.544,1.162,49.408,0.053
4556.125,24.031,14.685,8.688,49.136,1.371,2.71,5672.066,3951.784,0.01,1.496,39.552,0.072
4556.25,24.025,13.981,8.709,49.103,1.338,2.718,6862.149,4636.275,0.01,1.492,39.646,0.072
4556.375,24.075,12.599,8.76,49.041,1.204,2.731,9764.252,6254.645,0.01,1.422,41.358,0.068
4556.5,23.677,10.991,8.804,48.901,1.052,2.733,12124.65,7551.795,0.01,1.268,45.751,0.059
4556.625,23.687,10.214,8.817,48.698,0.991,2.731,12731.238,7898.546,0.01,1.132,50.549,0.051
4556.75,24.953,8.817,8.836,48.698,0.925,2.721,12950.004,8054.234,0.01,1.065,53.35,0.048
4556.875,26.896,7.662,8.881,48.492,0.951,2.711,12986.536,8019.068,0.01,0.918,60.816,0.04
4557,27.347,7.174,8.909,48.332,1,2.707,13360.16,8155.082,0.01,0.837,65.976,0.035
4557.125,26.728,6.294,8.93,48.206,1.136,2.705,16135.947,9458.388,0.01,0.891,62.446,0.038
4557.25,25.429,5.612,8.877,48.064,1.211,2.707,28168.945,13717.868,0.01,0.841,65.669,0.036
4557.375,25.105,5.454,8.836,47.893,1.193,2.708,39725.102,17255.178,0.01,0.773,70.753,0.032
4557.5,25.065,5.508,8.774,47.893,1.087,2.71,68920.469,25469.766,0.01,0.699,77.296,0.028
4557.625,24.9,5.668,8.759,47.723,1.026,2.71,81786.281,28805.271,0.01,0.634,84.301,0.025
4557.75,23.691,6.294,8.75,47.607,0.871,2.709,93477.844,31331.781,0.01,0.562,93.671,0.022
4557.875,22.342,7.298,8.751,47.586,0.677,2.707,86895.141,28975.611,0.01,0.528,98.936,0.02
4558,21.959,7.822,8.75,47.668,0.617,2.706,80558.828,27133.416,0.01,0.563,93.538,0.022
4558.125,21.778,8.832,8.758,47.668,0.635,2.708,66964.406,23753.051,0.01,0.53,98.611,0.02
4558.25,22.441,10.222,8.791,47.837,0.715,2.716,52395.418,20467.682,0.01,0.447,99.99,0.016
4558.375,23.254,11.095,8.8,48.058,0.71,2.721,44322.438,18509.635,0.01,0.659,81.436,0.026
4558.5,25.531,12.8,8.774,48.301,0.602,2.731,28180.867,14088.879,0.01,0.713,76.008,0.029
4558.625,26.678,13.589,8.71,48.525,0.563,2.733,16490.855,10131.922,0.01,0.762,71.629,0.032
4558.75,26.289,13.58,8.683,48.677,0.603,2.73,12900.099,8690.712,0.01,0.84,65.728,0.036
4558.875,23.999,13.212,8.658,48.677,0.772,2.717,9288.823,7093.485,0.01,0.922,60.577,0.04
4559,22.531,12.94,8.654,48.716,0.873,2.71,8782.177,6886.208,0.01,0.996,56.602,0.044
4559.125,19.949,12.128,8.655,48.654,1.029,2.699,9422.265,7329.997,0.01,1.081,52.655,0.048
4559.25,18.166,10.925,8.666,48.565,1.075,2.694,10977.214,8138.489,0.01,1.174,48.964,0.054
4559.375,17.468,10.239,8.671,48.537,1.061,2.693,11386.924,8291.604,0.01,1.182,48.652,0.054
4559.5,16.683,9.247,8.678,48.603,0.985,2.691,10423.249,7604.514,0.01,1.213,47.579,0.056
4559.625,16.776,8.878,8.677,48.603,0.957,2.689,7827.403,6041.073,0.01,1.243,46.551,0.057
4559.75,17.141,8.789,8.675,48.717,0.983,2.688,6704.324,5326.98,0.01,1.298,44.798,0.061
4559.875,18.725,8.882,8.668,48.8,1.071,2.689,5805.424,4634.33,0.01,1.327,43.942,0.062
4560,21.442,9.757,8.663,48.793,1.058,2.693,7165.385,5312.79,0.01,1.242,46.586,0.057
4560.125,23.041,10.496,8.666,48.686,0.988,2.695,9399.289,6373.581,0.01,1.154,49.698,0.052
4560.25,25.382,11.613,8.68,48.686,0.804,2.698,20404.91,10455.278,0.01,1.034,54.741,0.046
4560.375,25.195,11.635,8.698,48.515,0.665,2.699,42932.105,16949.84,0.01,0.928,60.207,0.04
4560.5,24.357,11.385,8.706,48.343,0.612,2.699,56857.141,20621.752,0.01,0.87,63.742,0.037
4560.625,22.681,11.078,8.717,48.212,0.511,2.698,81744.766,27762.941,0.01,0.825,66.768,0.035
4560.75,22.356,11.235,8.719,48.135,0.473,2.698,90076.711,31023.717,0.01,0.795,69.055,0.033
4560.875,22.862,12.193,8.72,48.1,0.476,2.698,98029.297,36405.277,0.01,0.787,69.634,0.033
4561,23.33,13.195,8.72,48.1,0.608,2.696,99603.688,39156.426,0.01,0.87,63.776,0.037
4561.125,23.17,13.466,8.721,48.092,0.697,2.695,99673.398,39402.02,0.01,0.916,60.9,0.04
4561.25,22.136,13.233,8.711,48.112,0.835,2.69,99489.828,38370.543,0.01,1.065,53.35,0.048
4561.375,21.021,12.349,8.681,48.178,0.875,2.682,97144.797,35668.012,0.01,1.252,46.26,0.058
4561.5,20.62,11.838,8.663,48.327,0.871,2.678,93185.969,33338.797,0.01,1.366,42.841,0.064
4561.625,20.067,10.972,8.643,48.327,0.844,2.671,77205.188,26574.754,0.01,1.495,39.556,0.072
4561.75,20.115,10.588,8.661,48.557,0.79,2.666,55127.977,19131.654,0.01,1.632,36.622,0.08
4561.875,20.6,10.736,8.691,48.819,0.768,2.664,45026.898,16084.394,0.01,1.727,34.844,0.086
4562,22.449,11.895,8.787,49.022,0.781,2.665,30846.857,12038.064,0.01,1.76,34.275,0.088
4562.125,23.566,12.784,8.839,49.094,0.818,2.668,26897.996,11008.918,0.01,1.729,34.803,0.086
4562.25,25.223,14.276,8.907,49.013,0.904,2.676,24384.293,10862.367,0.01,1.58,37.686,0.077
4562.375,25.02,14.525,8.923,49.013,0.927,2.688,29241.324,13342.558,0.01,1.35,43.295,0.064
4562.5,23.975,14.031,8.922,48.83,0.903,2.696,34706.188,15394.406,0.01,1.14,50.231,0.052
4562.625,20.598,11.905,8.914,48.642,0.811,2.711,47565.402,19480.703,0.01,0.993,56.75,0.044
4562.75,17.724,9.809,8.871,48.553,0.788,2.723,50979.539,20328.324,0.01,0.968,58.016,0.042
4562.875,17.193,9.37,8.835,48.632,0.845,2.727,46416.059,18909.529,0.01,1.049,54.043,0.047
4563,18.029,9.789,8.768,48.632,1.08,2.727,30056.895,13822.007,0.01,1.205,47.845,0.055
4563.125,20.187,11.136,8.738,48.878,1.316,2.719,16941.49,9176.577,0.01,1.444,40.783,0.069
4563.25,21.275,11.8,8.734,49.22,1.38,2.713,13753.912,7764.947,0.01,1.619,36.888,0.079
4563.375,22.903,12.393,8.729,49.548,1.379,2.7,11673.181,6583.703,0.01,1.715,35.058,0.085
4563.5,24.15,12.21,8.72,49.742,1.267,2.689,12665.524,6953.58,0.01,1.672,35.859,0.083
4563.625,24.865,12.09,8.714,49.729,1.192,2.685,14041.43,7624.475,0.01,1.665,35.993,0.082
4563.75,25.891,11.738,8.699,49.729,1.047,2.687,18028.934,9710.587,0.01,1.577,37.745,0.077
4563.875,25.761,11.291,8.691,49.535,0.986,2.685,20230.57,10925.681,0.01,1.551,38.299,0.075
4564,24.105,9.848,8.678,49.277,0.941,2.69,24583.59,13203.965,0.01,1.377,42.545,0.065
4564.125,22.496,8.622,8.67,49.092,1.049,2.692,30328.281,15183.427,0.01,1.329,43.885,0.062
4564.25,22.537,8.436,8.666,49.057,1.147,2.69,34433.508,16186.405,0.01,1.393,42.114,0.066
4564.375,24.016,8.421,8.659,49.157,1.315,2.684,45298.672,18417.857,0.01,1.59,37.467,0.078
4564.5,25.545,8.215,8.661,49.157,1.353,2.675,58680.711,20928.324,0.01,1.781,33.907,0.089
4564.625,25.937,8.028,8.665,49.291,1.35,2.672,66027.008,22309.426,0.01,1.871,32.465,0.095
4564.75,26.162,7.657,8.673,49.326,1.366,2.669,80774.172,25223.82,0.01,1.944,31.39,0.099
4564.875,26.378,7.445,8.682,49.172,1.36,2.67,89241.18,26988.699,0.01,1.886,32.24,0.096
4565,26.539,7.443,8.688,48.843,1.316,2.67,88201.055,26763.893,0.01,1.794,33.698,0.09
4565.125,26.377,7.659,8.702,48.843,1.17,2.672,75859.375,24124.445,0.01,1.706,35.217,0.085
4565.25,25.893,7.864,8.707,48.454,1.102,2.674,67603.031,22422.732,0.01,1.551,38.295,0.075
4565.375,24.391,8.408,8.71,48.143,1.018,2.681,56466.078,20498.846,0.01,1.31,44.452,0.061
4565.5,22.836,8.972,8.705,47.977,0.964,2.691,59684.18,22121.131,0.01,1.054,53.85,0.047
4565.625,22.101,9.151,8.705,47.936,0.926,2.696,66327.039,24159.703,0.01,0.932,59.968,0.04
4565.75,20.656,9.055,8.716,47.958,0.806,2.701,83325.758,28809.781,0.01,0.801,68.586,0.034
4565.875,20.339,8.932,8.72,47.958,0.694,2.7,94483.313,30698.328,0.01,0.784,69.877,0.033
4566,20.856,9.126,8.715,47.991,0.667,2.698,94485.656,29819.439,0.01,0.823,66.968,0.035
4566.125,21.991,9.791,8.705,48.042,0.677,2.693,81414.25,25192.805,0.01,0.937,59.713,0.041
4566.25,21.974,10.322,8.721,48.167,0.728,2.688,56757.293,19242.592,0.01,1.083,52.565,0.049
4566.375,21.834,10.606,8.742,48.447,0.749,2.685,44006.266,16474.1,0.01,1.217,47.443,0.056
4566.5,22.15,11.601,8.788,48.447,0.756,2.679,24881.363,11944.364,0.01,1.338,43.64,0.063
4566.625,22.927,12.926,8.798,48.898,0.739,2.679,15525.442,8940.3,0.01,1.439,40.915,0.069
4566.75,23.129,13.38,8.785,49.411,0.754,2.682,13046.799,7929.782,0.01,1.505,39.326,0.073
4566.875,23.304,13.705,8.74,49.817,0.88,2.692,10225.435,6683.812,0.01,1.456,40.507,0.07
4567,23.353,13.608,8.72,49.996,0.966,2.698,9657.167,6446.164,0.01,1.608,37.098,0.079
4567.125,23.309,13.057,8.703,49.958,1.08,2.706,10313.609,6874.68,0.01,1.699,35.353,0.084
4567.25,23.186,12.257,8.702,49.958,1.073,2.705,14274.605,8798.018,0.01,1.714,35.077,0.085
4567.375,23.264,11.881,8.704,49.77,1.035,2.701,18621.127,10425.302,0.01,1.608,37.114,0.079
4567.5,23.743,11.208,8.709,49.467,0.921,2.687,33840.121,14698.325,0.01,1.474,40.057,0.071
4567.625,24.287,10.363,8.708,49.052,0.782,2.673,50822.953,18618.705,0.01,1.608,37.098,0.079
4567.75,24.541,9.851,8.707,48.568,0.738,2.667,55668.32,19694.146,0.01,1.598,37.312,0.078
4567.875,25.243,8.978,8.709,48.568,0.753,2.662,54743.992,19622.965,0.01,1.702,35.299,0.084
4568,25.631,8.296,8.716,48.136,0.798,2.663,46264.898,17751.504,0.01,1.591,37.448,0.078
4568.125,25.306,7.845,8.723,47.858,0.778,2.665,42145.434,16710.342,0.01,1.472,40.109,0.071
4568.25,23.593,6.861,8.74,47.754,0.648,2.67,35551.5,15034.53,0.01,1.301,44.732,0.061
4568.375,21.805,6.448,8.763,47.761,0.558,2.675,30937.242,14100.1,0.01,1.176,48.865,0.054
4568.5,21.489,6.644,8.775,47.813,0.582,2.677,29446.586,13900.88,0.01,1.161,49.448,0.053
4568.625,21.823,7.544,8.787,47.813,0.748,2.682,27648.566,13905.005,0.01,1.117,51.166,0.05
4568.75,22.037,8.097,8.785,47.884,0.843,2.685,27136.773,14048.419,0.01,1.108,51.51,0.05
4568.875,21.9,8.99,8.766,47.977,0.945,2.695,26860.357,14479.08,0.01,0.969,57.974,0.042
4569,20.904,9.366,8.743,48.085,0.932,2.706,27708.373,14899.2,0.01,0.775,70.598,0.032
4569.125,20.306,9.38,8.733,48.183,0.915,2.71,28595.836,15079.738,0.01,0.738,73.693,0.03
4569.25,19.717,9.444,8.721,48.183,0.857,2.711,32246.555,15612.869,0.01,0.716,75.713,0.029
4569.375,20.524,9.892,8.718,48.232,0.733,2.702,40172.488,16813.734,0.01,0.824,66.872,0.035
4569.5,21.28,10.239,8.72,48.217,0.678,2.697,45839.754,17681.949,0.01,0.901,61.806,0.039
4569.625,22.495,10.651,8.729,48.158,0.654,2.687,57570.805,19407.211,0.01,1.076,52.852,0.048
4569.75,23.272,10.407,8.733,48.095,0.688,2.681,62564.719,20066.299,0.01,1.19,48.37,0.054
4569.875,23.884,10.089,8.732,48.052,0.688,2.68,60888.07,19767.555,0.01,1.199,48.047,0.055
4570,25.978,9.341,8.736,48.052,0.655,2.677,51590.172,18165.33,0.01,1.248,46.402,0.058
4570.125,27.198,9.091,8.744,48.028,0.632,2.676,46083.699,17127.191,0.01,1.254,46.201,0.058
4570.25,28.567,8.782,8.773,48.012,0.585,2.675,37395.23,15265.44,0.01,1.254,46.189,0.058
4570.375,27.907,8.482,8.801,48.009,0.549,2.682,33667.832,14480.257,0.01,1.104,51.687,0.05
4570.5,27.124,8.372,8.803,48.032,0.559,2.688,34197.719,14759.136,0.01,0.995,56.652,0.044
4570.625,25.494,8.336,8.785,48.086,0.665,2.704,41053.375,16735.418,0.01,0.727,74.657,0.03
4570.75,24.423,8.343,8.771,48.086,0.803,2.718,51137.336,19142.313,0.01,0.699,77.336,0.028
4570.875,24.304,8.286,8.774,48.17,0.837,2.723,53567.93,19605.609,0.01,0.826,66.703,0.035
4571,25.502,8.054,8.808,48.319,0.812,2.724,48315.984,18076.533,0.01,0.878,63.253,0.038
4571.125,28.249,7.681,8.807,48.581,0.737,2.715,34855.438,14500.282,0.01,0.906,61.484,0.039
4571.25,29.413,7.504,8.814,48.951,0.723,2.709,28803.172,12772.241,0.01,1.04,54.489,0.046
4571.375,29.72,7.256,8.842,48.951,0.787,2.698,21623.4,10364.647,0.01,1.091,52.223,0.049
4571.5,27.295,7.292,8.864,49.333,0.941,2.692,19064.434,9279.373,0.01,1.35,43.28,0.064
4571.625,25.778,7.429,8.859,49.604,1.019,2.691,18813.902,9082.405,0.01,1.481,39.885,0.071
4571.75,24.032,7.966,8.813,49.708,1.094,2.694,19776.57,9077.889,0.01,1.599,37.284,0.078
4571.875,24.242,8.464,8.794,49.681,1.085,2.696,20523.652,9143.174,0.01,1.585,37.581,0.077
4572,26.246,10.219,8.851,49.59,1.018,2.702,21487.346,9199.904,0.01,1.506,39.307,0.073
4572.125,28.347,12.088,9.009,49.59,0.973,2.709,21426.055,9132.646,0.01,1.486,39.788,0.071
4572.25,28.998,12.663,9.064,49.454,0.977,2.713,21121.887,9082.828,0.01,1.435,41.016,0.068
4572.375,29.415,13.13,9.05,49.258,0.992,2.72,20377.963,9055.797,0.01,1.372,42.665,0.065
4572.5,28.52,13.021,8.981,49.029,0.96,2.724,20113.811,9263.91,0.01,1.256,46.124,0.058
4572.625,27.62,12.794,8.979,48.83,0.925,2.725,20337.133,9476.771,0.01,1.145,50.035,0.052
4572.75,25.891,12.397,9.025,48.83,0.851,2.723,21655.213,10147.311,0.01,1.092,52.195,0.049
4572.875,25.784,12.636,9.024,48.702,0.84,2.719,24035.627,11046.926,0.01,1.025,55.159,0.045
4573,26.333,12.957,8.991,48.638,0.863,2.716,24979.875,11365.437,0.01,1.01,55.881,0.045
4573.125,27.698,13.402,8.893,48.606,0.957,2.709,24431.197,11105.25,0.01,0.998,56.487,0.044
4573.25,28.215,13.436,8.848,48.584,1.015,2.706,22877.615,10495.457,0.01,0.986,57.103,0.043
4573.375,28.319,12.969,8.8,48.566,1.108,2.698,19509.332,9078.471,0.01,1.106,51.613,0.05
4573.5,26.895,11.484,8.843,48.566,1.081,2.693,19142.307,8648.96,0.01,1.196,48.172,0.055
4573.625,25.935,10.502,8.891,48.535,1.008,2.692,20384.367,8977.631,0.01,1.184,48.585,0.054
4573.75,24.807,9.25,8.967,48.458,0.815,2.692,24651.385,10437.923,0.01,1.103,51.742,0.05
4573.875,25.037,9.174,8.927,48.333,0.674,2.695,30096,12437.077,0.01,0.967,58.071,0.042
4574,25.219,9.337,8.87,48.219,0.637,2.696,32805.555,13414.779,0.01,0.908,61.394,0.039
4574.125,25.104,9.813,8.763,48.219,0.6,2.698,37056.25,14796.209,0.01,0.856,64.643,0.036
4574.25,24.425,10.443,8.723,48.198,0.528,2.697,39174.879,15196.242,0.01,0.848,65.235,0.036
4574.375,24.167,10.779,8.721,48.307,0.458,2.696,39991.109,15209.083,0.01,0.87,63.721,0.037
4574.5,24.506,11.623,8.727,48.512,0.264,2.695,41760.656,15262.496,0.01,0.875,63.414,0.037
4574.625,26.669,11.724,8.731,48.742,0.148,2.697,41478.043,15122.355,0.01,0.832,66.296,0.035
4574.75,28.386,11.103,8.731,48.952,0.175,2.699,39602.023,14768.949,0.01,0.807,68.094,0.034
4574.875,31.618,9.38,8.727,48.952,0.389,2.704,32608.758,13219.866,0.01,0.784,69.863,0.033
4575,32.389,8.647,8.725,49.179,0.534,2.705,28027.313,11949.438,0.01,0.987,57.028,0.043
4575.125,31.798,7.525,8.723,49.543,0.759,2.707,17794.453,8372.313,0.01,1.293,44.967,0.06
4575.25,30.401,6.77,8.722,50.219,0.819,2.708,7925.47,4255.441,0.01,1.571,37.872,0.076
4575.375,30.142,6.688,8.719,51.339,0.826,2.707,4306.764,2568.276,0.01,2.005,30.548,0.103
4575.5,30.305,7.012,8.702,52.895,0.905,2.703,742.973,635.959,0.01,2.434,25.753,0.131
4575.625,30.51,7.68,8.681,52.895,1.122,2.692,163.889,152.043,0.01,2.361,26.453,0.126
4575.75,30.642,8.086,8.673,54.689,1.291,2.685,129.993,111.561,0.01,3.036,21.197,0.171
4575.875,31.001,8.751,8.671,56.396,1.804,2.669,87.874,82.606,0.01,3.854,17.179,0.229
4576,31.234,8.953,8.674,57.706,2.596,2.657,65.654,63.158,0.01,4.696,14.433,0.292
4576.125,31.472,8.916,8.673,58.434,3.07,2.652,59.049,57.277,0.01,5.171,13.259,0.329
4576.25,33.014,8.823,8.667,58.434,4,2.645,51.324,50.599,0.01,5.697,12.175,0.37
4576.375,34.312,8.793,8.664,58.532,4.344,2.642,49.881,49.503,0.01,5.925,11.76,0.388
4576.5,36.517,8.767,8.661,58.006,4.563,2.637,52.493,52.493,0.01,5.888,11.826,0.385
4576.625,35.313,8.8,8.66,56.889,4.166,2.635,66.321,68.669,0.01,5.294,12.988,0.338
4576.75,33.106,9.062,8.659,55.325,3.832,2.636,84.448,88.723,0.01,4.591,14.724,0.284
4576.875,27.888,10.156,8.658,53.633,3.094,2.644,179.873,177.215,0.01,3.886,17.053,0.232
4577,25.791,11.403,8.715,53.633,2.376,2.659,394.936,343.537,0.01,3.558,18.431,0.208
4577.125,26.165,12.079,8.795,52.232,2.051,2.668,539.662,444.04,0.01,2.666,23.765,0.146
4577.25,27.258,13.698,9.023,51.42,1.506,2.685,826.661,615.98,0.01,2.076,29.633,0.108
4577.375,26.841,14.878,9.132,51.229,1.118,2.697,935.936,654.126,0.01,1.814,33.362,0.091
4577.5,26.438,15.29,9.085,51.458,1.007,2.699,880.881,607.392,0.128,1.779,33.945,0.089
4577.625,26.581,16.413,8.868,51.458,1.028,2.697,617.022,431.333,0.628,1.769,34.112,0.088
4577.75,27.613,17.635,8.701,51.837,1.325,2.688,359.901,263.295,1.18,1.842,32.913,0.093
4577.875,27.845,17.849,8.669,52.156,1.492,2.681,287.387,211.236,1.278,1.959,31.184,0.1
4578,27.186,16.729,8.66,52.308,1.715,2.67,232.237,164.888,0.77,2.225,27.869,0.117
4578.125,26.539,15.453,8.662,52.287,1.781,2.666,226.028,159.53,0.2,2.543,24.779,0.138
4578.25,25.721,12.52,8.666,52.127,1.941,2.668,242.923,170.47,0.01,2.613,24.191,0.143
4578.375,25.697,9.941,8.689,52.127,2.08,2.678,291.463,202.632,0.01,2.619,24.143,0.143
4578.5,25.904,8.814,8.733,51.883,2.07,2.682,318.941,223.098,0.01,2.539,24.815,0.138
4578.625,26.725,7.07,8.923,51.642,1.884,2.685,383.169,275.029,0.01,2.36,26.466,0.126
4578.75,28.126,6.376,9.118,51.545,1.622,2.678,478.852,342.831,0.01,2.171,28.481,0.114
4578.875,28.93,6.548,9.162,51.742,1.518,2.674,521.232,369.834,0.01,2.231,27.812,0.117
4579,30.559,7.794,9.148,51.742,1.395,2.67,515.244,365.661,0.01,2.292,27.155,0.121
4579.125,32.012,9.766,9.05,52.27,1.396,2.675,373.787,277.462,0.01,2.281,27.27,0.121
4579.25,32.511,10.629,8.978,52.975,1.447,2.679,288.863,222.628,0.01,2.549,24.728,0.138
4579.375,32.883,11.738,8.798,53.604,1.661,2.683,169.813,138.681,0.01,2.883,22.188,0.161
4579.5,33.421,12.757,8.675,53.976,2.065,2.675,126.291,102.593,0.01,3.219,20.133,0.184
4579.625,33.697,13.279,8.659,54.032,2.313,2.666,120.839,97.304,0.01,3.362,19.376,0.194
4579.75,33.506,13.956,8.666,54.032,2.656,2.649,128.402,101.126,0.01,3.543,18.5,0.207
4579.875,32.891,14.002,8.672,53.809,2.648,2.641,137.201,106.92,0.01,3.774,17.497,0.224
4580,31.432,13.821,8.683,53.379,2.317,2.636,155.638,119.966,0.01,3.743,17.625,0.221
4580.125,30.608,13.595,8.686,52.804,1.975,2.64,174.052,132.327,0.01,3.445,18.962,0.2
4580.25,30.464,13.485,8.686,52.164,1.912,2.645,184.117,138.119,0.01,3.238,20.028,0.185
4580.375,30.602,12.915,8.691,52.164,1.991,2.655,215.815,165.278,0.01,3.006,21.382,0.169
4580.5,31.259,11.263,8.708,51.5,2.118,2.665,472.191,421.858,0.01,2.755,23.089,0.152
4580.625,31.547,10.101,8.717,50.821,2.104,2.672,987.58,830.475,0.01,2.479,25.342,0.134
4580.75,31.83,8.066,8.735,50.178,1.85,2.689,3865.76,2640.621,0.01,2.175,28.434,0.114
4580.875,32.063,6.801,8.737,49.687,1.455,2.709,9897.197,5678.074,0.01,1.845,32.87,0.093
4581,32.383,6.409,8.73,49.442,1.29,2.718,13794.349,7353.346,0.01,1.655,36.171,0.082
4581.125,33.353,6.079,8.713,49.442,1.086,2.725,21608.891,10188.799,0.01,1.544,38.456,0.075
4581.25,33.788,6.14,8.71,49.396,1.038,2.723,24825.809,11124.176,0.01,1.491,39.67,0.072
4581.375,34.136,6.513,8.719,49.393,1,2.71,29856.459,12036.275,0.01,1.441,40.861,0.069
4581.5,34.122,7.058,8.729,49.286,0.968,2.691,34727.469,12340.182,0.01,1.368,42.788,0.065
4581.625,34.475,7.457,8.732,49.101,0.943,2.681,36985.961,12489.577,0.01,1.514,39.12,0.073
4581.75,35.705,8.347,8.742,48.958,0.85,2.667,39557.953,12850.765,0.01,1.727,34.836,0.086
