date,生产时间_(H),casing_p_shut,casing_p_avg,tubing_p_shut,tubing_p_avg,井口温度,qg_m3d,qw_td,日产油量_(t),日放空气量_(m^3),月产气量_(m^3),月产水量_(t),月产油量_(t),月放空气量_(m^3),年产气量_(10^4m^3),年产水量_(10^4t),年产油量_(10^4t),年放空气量_(10^4m^3),累产气量_(10^8m^3),累产水量_(10^4t),累产油量_(10^4t),累放空气量_(10^8m^3),输压_(MPa),气举注气量_(m^3),t_day,well_id,op_condition,qg_valid
2013-06-02,24.0,,42.85,,62.77,,306755.0,2.5,,,607658.0,4.7,,,661.985,0.00505,0.0,0.0,0.0661985,0.00505,0.0,0.0,4.8,,23,SY9,open,1
2013-06-03,11.66,41.19,37.57,63.2,62.82,,94844.0,0.5,,,702502.0,5.2,,,671.4694,0.0051,0.0,0.0,0.06714694,0.0051,0.0,0.0,4.4,,24,SY9,throttled,1
2013-06-04,24.0,,39.84,,62.79,,215693.0,4.1,,,918195.0,9.3,,,693.0387,0.00551,0.0,0.0,0.06930387,0.00551,0.0,0.0,4.6,,25,SY9,open,1
2013-06-05,24.0,,40.81,,62.8,,228628.0,2.2,,,1146823.0,11.5,,,715.9015,0.00573,0.0,0.0,0.07159015,0.00573,0.0,0.0,4.7,,26,SY9,open,1
2013-06-06,24.0,,40.6,,62.82,,209787.0,1.7,,,1356610.0,13.2,,,736.8802,0.0059,0.0,0.0,0.07368802,0.0059,0.0,0.0,4.6,,27,SY9,open,1
2013-06-07,24.0,,40.71,,62.81,,217263.0,1.6,,,1573873.0,14.8,,,758.6065,0.00606,0.0,0.0,0.07586065,0.00606,0.0,0.0,4.5,,28,SY9,open,1
2013-06-08,16.33,39.39,39.82,63.08,62.8,,153775.0,0.9,,,1727648.0,15.7,,,773.984,0.00615,0.0,0.0,0.0773984,0.00615,0.0,0.0,4.5,,29,SY9,throttled,1
2013-06-09,24.0,,41.54,,62.73,,253736.0,2.1,,,1981384.0,17.8,,,799.3576,0.00636,0.0,0.0,0.07993576,0.00636,0.0,0.0,4.4,,30,SY9,open,1
2013-06-10,24.0,,42.57,,62.78,,265125.0,1.9,,,2246509.0,19.7,,,825.8701,0.00655,0.0,0.0,0.08258701,0.00655,0.0,0.0,4.5,,31,SY9,open,1
2013-06-11,24.0,,43.14,,62.77,,278789.0,2.3,,,2525298.0,22.0,,,853.749,0.00678,0.0,0.0,0.0853749,0.00678,0.0,0.0,4.6,,32,SY9,open,1
2013-06-12,24.0,,42.87,,62.79,,259319.0,1.9,,,2784617.0,23.9,,,879.6809,0.00697,0.0,0.0,0.08796809,0.00697,0.0,0.0,4.6,,33,SY9,open,1
2013-06-13,24.0,,42.99,,62.75,,280867.0,2.3,,,3065484.0,26.2,,,907.7676,0.0072,0.0,0.0,0.09077676,0.0072,0.0,0.0,4.8,,34,SY9,open,1
2013-06-14,14.5,43.95,43.88,62.72,62.72,,183968.0,1.3,,0.0,3249452.0,27.5,,0.0,926.1644,0.00733,0.0,0.0,0.09261644,0.00733,0.0,0.0,4.8,,35,SY9,throttled,1
2013-06-15,0.0,36.03,36.03,63.0,63.0,,,,,,3249452.0,27.5,,0.0,926.1644,0.00733,0.0,0.0,0.09261644,0.00733,0.0,0.0,,,36,SY9,shut_in,0
2013-06-16,11.5,34.05,39.38,62.89,62.63,,140523.0,0.9,,,3389975.0,28.4,,0.0,940.2167,0.00742,0.0,0.0,0.09402167,0.00742,0.0,0.0,4.7,,37,SY9,throttled,1
2013-06-17,24.0,,43.24,,62.67,,312168.0,2.3,,,3702143.0,30.7,,0.0,971.4335,0.00765,0.0,0.0,0.09714335,0.00765,0.0,0.0,4.9,,38,SY9,open,1
2013-06-18,24.0,,43.92,,62.72,,299381.0,2.5,,,4001524.0,33.2,,0.0,1001.3716,0.0079,0.0,0.0,0.10013716,0.0079,0.0,0.0,5.0,,39,SY9,open,1
2013-06-19,24.0,,44.16,,62.71,,302193.0,2.3,,,4303717.0,35.5,,0.0,1031.5909,0.00813,0.0,0.0,0.10315909,0.00813,0.0,0.0,5.0,,40,SY9,open,1
2013-06-20,20.08,44.35,44.31,62.71,62.71,,261984.0,2.1,,,4565701.0,37.6,,0.0,1057.7893,0.00834,0.0,0.0,0.10577893,0.00834,0.0,0.0,5.0,,41,SY9,open,1
2013-06-21,18.67,38.44,42.28,62.95,62.66,,234054.0,1.4,,,4799755.0,39.0,,0.0,1081.1947,0.00848,0.0,0.0,0.10811947,0.00848,0.0,0.0,4.9,,42,SY9,open,1
2013-06-22,24.0,,44.23,,62.68,,306394.0,2.6,,,5106149.0,41.6,,0.0,1111.8341,0.00874,0.0,0.0,0.11118341,0.00874,0.0,0.0,5.0,,43,SY9,open,1
2013-06-23,24.0,,44.39,,62.69,,303748.0,2.3,,,5409897.0,43.9,,0.0,1142.2089,0.00897,0.0,0.0,0.11422089,0.00897,0.0,0.0,4.8,,44,SY9,open,1
2013-06-24,24.0,,44.49,,62.68,,307695.0,2.3,,,5717592.0,46.2,,0.0,1172.9784,0.0092,0.0,0.0,0.11729784,0.0092,0.0,0.0,5.0,,45,SY9,open,1
2013-06-25,24.0,,44.48,,62.68,,303671.0,2.3,,,6021263.0,48.5,,0.0,1203.3455,0.00943,0.0,0.0,0.12033455,0.00943,0.0,0.0,4.9,,46,SY9,open,1
2013-06-26,24.0,,44.63,,62.66,,314424.0,2.6,,,6335687.0,51.1,,0.0,1234.7879,0.00969,0.0,0.0,0.12347879,0.00969,0.0,0.0,5.0,,47,SY9,open,1
2013-06-27,24.0,,44.49,,62.67,,305162.0,2.3,,,6640849.0,53.4,,0.0,1265.3041,0.00992,0.0,0.0,0.12653041,0.00992,0.0,0.0,5.0,,48,SY9,open,1
2013-06-28,24.0,,44.62,,62.66,,310599.0,2.2,,,6951448.0,55.6,,0.0,1296.364,0.01014,0.0,0.0,0.1296364,0.01014,0.0,0.0,5.0,,49,SY9,open,1
2013-06-29,24.0,,44.57,,62.66,,306037.0,2.5,,,7257485.0,58.1,,0.0,1326.9677,0.01039,0.0,0.0,0.13269677,0.01039,0.0,0.0,4.9,,50,SY9,open,1
2013-06-30,24.0,,44.28,,62.66,,301634.0,2.5,,,7559119.0,60.6,,0.0,1357.1311,0.01064,0.0,0.0,0.13571311,0.01064,0.0,0.0,5.0,,51,SY9,open,1
2013-07-01,24.0,,44.32,,62.64,,307719.0,2.6,,,307719.0,2.6,,,1387.903,0.0109,0.0,0.0,0.1387903,0.0109,0.0,0.0,4.8,,52,SY9,open,1
2013-07-02,24.0,,44.3,,62.63,,310453.0,2.5,,,618172.0,5.1,,,1418.9483,0.01115,0.0,0.0,0.14189483,0.01115,0.0,0.0,4.9,,53,SY9,open,1
2013-07-03,24.0,,44.15,,62.63,,307206.0,2.3,,,925378.0,7.4,,,1449.6689,0.01138,0.0,0.0,0.14496689,0.01138,0.0,0.0,5.0,,54,SY9,open,1
2013-07-04,24.0,,42.04,,62.73,,216891.0,1.7,,,1142269.0,9.1,,,1471.358,0.01155,0.0,0.0,0.1471358,0.01155,0.0,0.0,4.6,,55,SY9,open,1
2013-07-05,24.0,,44.45,,62.69,,220692.0,1.6,,,1362961.0,10.7,,,1493.4272,0.01171,0.0,0.0,0.14934272,0.01171,0.0,0.0,4.7,,56,SY9,open,1
2013-07-06,24.0,,41.78,,62.7,,217982.0,1.8,,,1580943.0,12.5,,,1515.2254,0.01189,0.0,0.0,0.15152254,0.01189,0.0,0.0,4.7,,57,SY9,open,1
2013-07-07,24.0,,41.72,,62.69,,202821.0,1.5,,,1783764.0,14.0,,,1535.5075,0.01204,0.0,0.0,0.15355075,0.01204,0.0,0.0,4.6,,58,SY9,open,1
2013-07-08,24.0,,42.18,,62.68,,210767.0,1.8,,,1994531.0,15.8,,,1556.5842,0.01222,0.0,0.0,0.15565842,0.01222,0.0,0.0,4.7,,59,SY9,open,1
2013-07-09,22.5,42.8,42.33,62.68,62.68,,198094.0,1.3,,,2192625.0,17.1,,,1576.3936,0.01235,0.0,0.0,0.15763936,0.01235,0.0,0.0,4.7,,60,SY9,open,1
2013-07-10,18.0,41.02,40.74,62.84,62.66,,116326.0,0.2,,,2308951.0,17.3,,,1588.0262,0.01237,0.0,0.0,0.15880262,0.01237,0.0,0.0,4.4,,61,SY9,open,1
2013-07-11,24.0,,41.18,,62.45,,150542.0,1.5,,,2459493.0,18.8,,,1603.0804,0.01252,0.0,0.0,0.16030804,0.01252,0.0,0.0,4.3,,62,SY9,open,1
2013-07-12,24.0,,43.05,,62.62,,205350.0,1.7,,,2664843.0,20.5,,,1623.6154,0.01269,0.0,0.0,0.16236154,0.01269,0.0,0.0,4.3,,63,SY9,open,1
2013-07-13,24.0,,44.73,,62.68,,224638.0,1.8,,,2889481.0,22.3,,,1646.0792,0.01287,0.0,0.0,0.16460792,0.01287,0.0,0.0,4.4,,64,SY9,open,1
2013-07-14,24.0,,44.92,,62.69,,204489.0,1.7,,,3093970.0,24.0,,,1666.5281,0.01304,0.0,0.0,0.16665281,0.01304,0.0,0.0,4.4,,65,SY9,open,1
2013-07-15,24.0,,45.53,,62.68,,211734.0,1.7,,,3305704.0,25.7,,,1687.7015,0.01321,0.0,0.0,0.16877015,0.01321,0.0,0.0,4.5,,66,SY9,open,1
2013-07-16,24.0,,46.64,,62.67,,227772.0,2.8,,,3533476.0,28.5,,,1710.4787,0.01349,0.0,0.0,0.17104787,0.01349,0.0,0.0,4.6,,67,SY9,open,1
2013-07-17,24.0,,46.38,,62.68,,206067.0,1.7,,,3739543.0,30.2,,,1731.0854,0.01366,0.0,0.0,0.17310854,0.01366,0.0,0.0,4.5,,68,SY9,open,1
2013-07-18,24.0,,47.0,,62.67,,226272.0,1.8,,,3965815.0,32.0,,,1753.7126,0.01384,0.0,0.0,0.17537126,0.01384,0.0,0.0,4.6,,69,SY9,open,1
2013-07-19,24.0,,46.81,,62.68,,209238.0,1.9,,,4175053.0,33.9,,,1774.6364,0.01403,0.0,0.0,0.17746364,0.01403,0.0,0.0,4.3,,70,SY9,open,1
2013-07-20,24.0,,46.96,,62.67,,212341.0,1.9,,,4387394.0,35.8,,,1795.8705,0.01422,0.0,0.0,0.17958705,0.01422,0.0,0.0,4.4,,71,SY9,open,1
2013-07-21,24.0,,47.1,,62.66,,210994.0,1.6,,,4598388.0,37.4,,,1816.9699,0.01438,0.0,0.0,0.18169699,0.01438,0.0,0.0,4.4,,72,SY9,open,1
2013-07-22,24.0,,46.78,,62.67,,175283.0,0.9,,,4773671.0,38.3,,,1834.4982,0.01447,0.0,0.0,0.18344982,0.01447,0.0,0.0,4.3,,73,SY9,open,1
2013-07-23,24.0,,43.66,,62.11,,94602.0,0.0,,,4868273.0,38.3,,,1843.9584,0.01447,0.0,0.0,0.18439584,0.01447,0.0,0.0,3.9,,74,SY9,open,1
2013-07-24,24.0,,43.53,,61.82,,102626.0,0.7,,,4970899.0,39.0,,,1854.221,0.01454,0.0,0.0,0.1854221,0.01454,0.0,0.0,4.0,,75,SY9,open,1
2013-07-25,24.0,,43.95,,61.89,,111112.0,1.0,,,5082011.0,40.0,,,1865.3322,0.01464,0.0,0.0,0.18653322,0.01464,0.0,0.0,4.1,,76,SY9,open,1
2013-07-26,24.0,,44.95,,62.26,,139371.0,2.4,,,5221382.0,42.4,,,1879.2693,0.01488,0.0,0.0,0.18792693,0.01488,0.0,0.0,4.2,,77,SY9,open,1
2013-07-27,24.0,,46.15,,62.57,,161203.0,1.4,,,5382585.0,43.8,,,1895.3896,0.01502,0.0,0.0,0.18953896,0.01502,0.0,0.0,4.4,,78,SY9,open,1
2013-07-28,24.0,,46.56,,62.56,,156677.0,1.2,,,5539262.0,45.0,,,1911.0573,0.01514,0.0,0.0,0.19110573,0.01514,0.0,0.0,4.4,,79,SY9,open,1
2013-07-29,24.0,,46.59,,62.58,,153383.0,1.5,,,5692645.0,46.5,,,1926.3956,0.01529,0.0,0.0,0.19263956,0.01529,0.0,0.0,4.3,,80,SY9,open,1
2013-07-30,24.0,,46.89,,62.61,,158052.0,1.3,,,5850697.0,47.8,,,1942.2008,0.01542,0.0,0.0,0.19422008,0.01542,0.0,0.0,4.4,,81,SY9,open,1
2013-07-31,24.0,,50.07,,62.57,,275450.0,2.5,,,6126147.0,50.3,,,1969.7458,0.01567,0.0,0.0,0.19697458,0.01567,0.0,0.0,4.6,,82,SY9,open,1
2013-08-01,24.0,,51.3,,62.58,,295633.0,1.7,,,295633.0,1.7,,,1999.3091,0.01584,0.0,0.0,0.19993091,0.01584,0.0,0.0,4.9,,83,SY9,open,1
2013-08-02,24.0,,51.18,,62.59,,294679.0,2.9,,,590312.0,4.6,,,2028.777,0.01613,0.0,0.0,0.2028777,0.01613,0.0,0.0,4.7,,84,SY9,open,1
2013-08-03,24.0,,50.2,,62.56,,304925.0,2.8,,,895237.0,7.4,,,2059.2695,0.01641,0.0,0.0,0.20592695,0.01641,0.0,0.0,5.0,,85,SY9,open,1
2013-08-04,24.0,,49.6,,62.54,,313559.0,2.6,,,1208796.0,10.0,,,2090.6254,0.01667,0.0,0.0,0.20906254,0.01667,0.0,0.0,5.0,,86,SY9,open,1
2013-08-05,24.0,,48.62,,62.55,,306438.0,2.5,,,1515234.0,12.5,,,2121.2692,0.01692,0.0,0.0,0.21212692,0.01692,0.0,0.0,5.1,,87,SY9,open,1
2013-08-06,24.0,,47.67,,62.54,,308455.0,2.6,,,1823689.0,15.1,,,2152.1147,0.01718,0.0,0.0,0.21521147,0.01718,0.0,0.0,5.0,,88,SY9,open,1
2013-08-07,24.0,,47.18,,62.55,,306165.0,2.3,,,2129854.0,17.4,,,2182.7312,0.01741,0.0,0.0,0.21827312,0.01741,0.0,0.0,4.9,,89,SY9,open,1
2013-08-08,24.0,,47.04,,62.54,,306732.0,2.2,,,2436586.0,19.6,,,2213.4044,0.01763,0.0,0.0,0.22134044,0.01763,0.0,0.0,4.9,,90,SY9,open,1
2013-08-09,24.0,,46.65,,62.58,,304891.0,2.3,,,2741477.0,21.9,,,2243.8935,0.01786,0.0,0.0,0.22438935,0.01786,0.0,0.0,4.9,,91,SY9,open,1
2013-08-10,1.0,44.48,46.71,63.19,62.59,,15556.0,0.3,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,4.9,,92,SY9,throttled,1
2013-08-11,0.0,37.99,37.99,63.08,63.08,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,93,SY9,shut_in,0
2013-08-12,0.0,37.28,37.28,62.88,62.88,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,94,SY9,shut_in,0
2013-08-13,0.0,37.6,37.6,62.94,62.94,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,95,SY9,shut_in,0
2013-08-14,0.0,38.05,38.05,62.97,62.97,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,96,SY9,shut_in,0
2013-08-15,0.0,38.56,38.56,62.99,62.99,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,97,SY9,shut_in,0
2013-08-16,0.0,39.09,39.09,63.0,63.0,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,98,SY9,shut_in,0
2013-08-17,0.0,39.63,39.63,62.8,62.8,,,,,,2757033.0,22.2,,,2245.4491,0.01789,0.0,0.0,0.22454491,0.01789,0.0,0.0,,,99,SY9,shut_in,0
2013-08-18,13.5,39.95,46.3,62.51,62.51,,149664.0,1.0,,,2906697.0,23.2,,,2260.4155,0.01799,0.0,0.0,0.22604155,0.01799,0.0,0.0,4.5,,100,SY9,throttled,1
2013-08-19,24.0,,47.71,,62.59,,188424.0,1.3,,,3095121.0,24.5,,,2279.2579,0.01812,0.0,0.0,0.22792579,0.01812,0.0,0.0,4.2,,101,SY9,open,1
2013-08-20,17.83,47.84,50.4,62.55,62.52,,216859.0,1.3,,,3311980.0,25.8,,,2300.9438,0.01825,0.0,0.0,0.23009438,0.01825,0.0,0.0,4.9,,102,SY9,throttled,1
2013-08-21,24.0,,53.14,,62.5,,346951.0,2.8,,,3658931.0,28.6,,,2335.6389,0.01853,0.0,0.0,0.23356389,0.01853,0.0,0.0,5.0,,103,SY9,open,1
2013-08-22,24.0,,54.18,,62.5,,353890.0,2.6,,,4012821.0,31.2,,,2371.0279,0.01879,0.0,0.0,0.23710279,0.01879,0.0,0.0,4.9,,104,SY9,open,1
2013-08-23,24.0,,50.79,,62.62,,269136.0,1.7,,,4281957.0,32.9,,,2397.9415,0.01896,0.0,0.0,0.23979415,0.01896,0.0,0.0,4.8,,105,SY9,open,1
2013-08-24,24.0,,50.51,,62.62,,225982.0,2.2,,,4507939.0,35.1,,,2420.5397,0.01918,0.0,0.0,0.24205397,0.01918,0.0,0.0,4.1,,106,SY9,open,1
2013-08-25,24.0,,50.35,,62.65,,220952.0,1.6,,,4728891.0,36.7,,,2442.6349,0.01934,0.0,0.0,0.24426349,0.01934,0.0,0.0,4.1,,107,SY9,open,1
2013-08-26,24.0,,52.21,,62.71,,319552.0,2.8,,,5048443.0,39.5,,,2474.5901,0.01962,0.0,0.0,0.24745901,0.01962,0.0,0.0,4.8,,108,SY9,open,1
2013-08-27,24.0,,53.85,,62.47,,347103.0,2.4,,,5395546.0,41.9,,,2509.3004,0.01986,0.0,0.0,0.25093004,0.01986,0.0,0.0,4.7,,109,SY9,open,1
2013-08-28,24.0,,53.62,,62.5,,347861.0,2.7,,,5743407.0,44.6,,,2544.0865,0.02013,0.0,0.0,0.25440865,0.02013,0.0,0.0,4.8,,110,SY9,open,1
2013-08-29,24.0,,53.2,,62.48,,343942.0,2.4,,,6087349.0,47.0,,,2578.4807,0.02037,0.0,0.0,0.25784807,0.02037,0.0,0.0,4.7,,111,SY9,open,1
2013-08-30,24.0,,52.74,,62.48,,344461.0,2.8,,,6431810.0,49.8,,,2612.9268,0.02065,0.0,0.0,0.26129268,0.02065,0.0,0.0,4.8,,112,SY9,open,1
2013-08-31,24.0,,52.22,,62.48,,339997.0,3.2,,,6771807.0,53.0,,,2646.9265,0.02097,0.0,0.0,0.26469265,0.02097,0.0,0.0,4.7,,113,SY9,open,1
2013-09-01,24.0,,51.79,,62.47,,342686.0,3.6,,,342686.0,3.6,,,2681.1951,0.02133,0.0,0.0,0.26811951,0.02133,0.0,0.0,4.7,,114,SY9,open,1
2013-09-02,24.0,,51.19,,62.46,,342110.0,2.3,,,684796.0,5.9,,,2715.4061,0.02156,0.0,0.0,0.27154061,0.02156,0.0,0.0,4.7,,115,SY9,open,1
2013-09-03,24.0,,50.07,,62.53,,309294.0,2.7,,,994090.0,8.6,,,2746.3355,0.02183,0.0,0.0,0.27463355,0.02183,0.0,0.0,4.6,,116,SY9,open,1
2013-09-04,24.0,,49.45,,6.51,,311056.0,2.5,,,1305146.0,11.1,,,2777.4411,0.02208,0.0,0.0,0.27774411,0.02208,0.0,0.0,4.6,,117,SY9,open,1
2013-09-05,24.0,,47.19,,62.62,,221728.0,1.4,,,1526874.0,12.5,,,2799.6139,0.02222,0.0,0.0,0.27996139,0.02222,0.0,0.0,4.3,,118,SY9,open,1
2013-09-06,24.0,,46.03,,62.6,,205848.0,1.5,,,1732722.0,14.0,,,2820.1987,0.02237,0.0,0.0,0.28201987,0.02237,0.0,0.0,4.2,,119,SY9,open,1
2013-09-07,24.0,,45.22,,62.58,,193367.0,2.9,,,1926089.0,16.9,,,2839.5354,0.02266,0.0,0.0,0.28395354,0.02266,0.0,0.0,4.0,,120,SY9,open,1
2013-09-08,24.0,,45.06,,62.58,,197182.0,1.8,,,2123271.0,18.7,,,2859.2536,0.02284,0.0,0.0,0.28592536,0.02284,0.0,0.0,4.0,,121,SY9,open,1
2013-09-09,24.0,,45.12,,62.58,,202800.0,2.0,,,2326071.0,20.7,,,2879.5336,0.02304,0.0,0.0,0.28795336,0.02304,0.0,0.0,4.1,,122,SY9,open,1
2013-09-10,24.0,,45.31,,62.58,,211136.0,2.0,,,2537207.0,22.7,,,2900.6472,0.02324,0.0,0.0,0.29006472,0.02324,0.0,0.0,4.2,,123,SY9,open,1
2013-09-11,24.0,,45.5,,62.58,,217823.0,1.0,,,2755030.0,23.7,,,2922.4295,0.02334,0.0,0.0,0.29224295,0.02334,0.0,0.0,4.2,,124,SY9,open,1
2013-09-12,24.0,,45.7,,62.58,,224978.0,2.0,,,2980008.0,25.7,,,2944.9273,0.02354,0.0,0.0,0.29449273,0.02354,0.0,0.0,4.0,,125,SY9,open,1
2013-09-13,24.0,,45.76,,62.58,,226640.0,1.8,,,3206648.0,27.5,,,2967.5913,0.02372,0.0,0.0,0.29675913,0.02372,0.0,0.0,4.2,,126,SY9,open,1
2013-09-14,24.0,,45.89,,62.58,,231760.0,2.0,,,3438408.0,29.5,,,2990.7673,0.02392,0.0,0.0,0.29907673,0.02392,0.0,0.0,4.3,,127,SY9,open,1
2013-09-15,24.0,,46.1,,62.57,,237340.0,2.1,,,3675748.0,31.6,,,3014.5013,0.02413,0.0,0.0,0.30145013,0.02413,0.0,0.0,4.3,,128,SY9,open,1
2013-09-16,24.0,,46.29,,62.57,,242585.0,2.0,,,3918333.0,33.6,,,3038.7598,0.02433,0.0,0.0,0.30387598,0.02433,0.0,0.0,4.4,,129,SY9,open,1
2013-09-17,24.0,,46.45,,62.57,,246194.0,1.9,,,4164527.0,35.5,,,3063.3792,0.02452,0.0,0.0,0.30633792,0.02452,0.0,0.0,4.3,,130,SY9,open,1
2013-09-18,24.0,,46.62,,62.57,,248726.0,1.7,,,4413253.0,37.2,,,3088.2518,0.02469,0.0,0.0,0.30882518,0.02469,0.0,0.0,4.4,,131,SY9,open,1
2013-09-19,22.83,46.67,46.37,62.32,62.57,,232983.0,2.0,,,4646236.0,39.2,,,3111.5501,0.02489,0.0,0.0,0.31115501,0.02489,0.0,0.0,4.3,,132,SY9,open,1
2013-09-20,24.0,,46.43,,62.56,,249399.0,2.0,,,4895635.0,41.2,,,3136.49,0.02509,0.0,0.0,0.313649,0.02509,0.0,0.0,4.3,,133,SY9,open,1
2013-09-21,24.0,,46.99,,62.55,,265231.0,2.1,,,5160866.0,43.3,,,3163.0131,0.0253,0.0,0.0,0.31630131,0.0253,0.0,0.0,4.4,,134,SY9,open,1
2013-09-22,24.0,,47.34,,62.55,,273951.0,1.9,,,5434817.0,45.2,,,3190.4082,0.02549,0.0,0.0,0.31904082,0.02549,0.0,0.0,4.4,,135,SY9,open,1
